
. tab ciclo state if father_10==1&age3040==1&husband==1 [fweight=facexp]

           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |  31303549    4285169   90147698   25781057    6021845 | 157539318 
       131 |  29803433    3752482   87710217   29197412    4717339 | 155180883 
       132 |  29765781    3674652   89717905   31280487    5571503 | 160010328 
       133 |  30324926    3866647   89952985   32279542    5598281 | 162022381 
       134 |  30574375    4008481   87792896   33010165    5312834 | 160698751 
       135 |  30716555    3342629   86032910   33332361    5728259 | 159152714 
       136 |  30827031    4368474   86663840   32987287    5332094 | 160178726 
       137 |  30562475    4353834   85812417   33684883    5210154 | 159623763 
       138 |  30079224    4774956   89120334   31480032    5960559 | 161415105 
       139 |  30393304    4906028   91077045   30796136    4884810 | 162057323 
       140 |  30859456    4052067   92133788   31135031    5417920 | 163598262 
       141 |  31088459    4366674   93459825   30734796    5773189 | 165422943 
       142 |  31086484    4499158   92647579   30766084    7167315 | 166166620 
       143 |  30342800    4157483   90670557   30082225    9251700 | 164504765 
       144 |  30753829    4414976   91819990   28578063   11151662 | 166718520 
       145 |  30592036    4764871   90194902   28246145   15185389 | 168983343 
       146 |  27220196    4207648   89002045   25882340   22196895 | 168509124 
       147 |  27952813    4429756   86592870   25601108   24195864 | 168772411 
       148 |  27078533    5701829   85027961   25250850   23715166 | 166774339 
       149 |  25710952    5573919   87280957   24824721   24354797 | 167745346 
       150 |  26280161    5206580   84927816   24978060   24614755 | 166007372 
       151 |  26808100    4806920   85965462   24716774   23720502 | 166017758 
       152 |  25915201    4538613   85976671   24500634   24947183 | 165878302 
       153 |  25060142    4153513   87257445   24067197   25377972 | 165916269 
       154 |  24506978    3913954   83720715   25471634   25925146 | 163538427 
       155 |  24066867    4469804   84199692   25076377   25250891 | 163063631 
       156 |  23147981    4471070   84339999   25256429   27013545 | 164229024 
       157 |  23727248    4197020   83093641   24324734   28490438 | 163833081 
       158 |  22825097    4492536   84152240   22680117   30521128 | 164671118 
       159 |  22786965    4085142   81310967   22002853   30576995 | 160762922 
       160 |  22955132    4372331   80998491   21164764   30717938 | 160208656 
       161 |  22333245    4558718   80095715   20081980   30592768 | 157662426 
       162 |  21523596    3785111   79793085   20341173   30505494 | 155948459 
       163 |  23164958    4315279   77616030   21413872   28041250 | 154551389 
       164 |  22715318    4249561   76712453   20443784   28367478 | 152488594 
       165 |  20668487    3220138   77330138   24712157   27575843 | 153506763 
       166 |  20241150    4218791   75903716   21980990   28327431 | 150672078 
       167 |  20554717    3674660   76463110   22216229   24809710 | 147718426 
       168 |  21011243    4182215   75953898   23062789   23919135 | 148129280 
       169 |  21896781    3333048   76394137   23051281   22565840 | 147241087 
       170 |  21827873    3402512   75993629   21840521   23470875 | 146535410 
       171 |  21489473    2880692   76399899   24017404   19872275 | 144659743 
       172 |  21797171    3585914   76838327   24991272   16780806 | 143993490 
       173 |  21323000    3179334   76419123   23708916   17698418 | 142328791 
       174 |  19849246    2716438   76448528   22140702   17314253 | 138469167 
       175 |  20384543    3143454   76334866   21513649   15056949 | 136433461 
       176 |  20516020    2210686   76412221   20794244   14375254 | 134308425 
       177 |  20562482    2508377   73117889   20646284   13801312 | 130636344 
       178 |  19724031    3424159   71949755   21124706   12268485 | 128491136 
       179 |  18526723    3568670   70352290   21331826   11877070 | 125656579 
       180 |  18173013    3202530   70062904   21663154   11142126 | 124243727 
       181 |  16770162    3389601   71422069   21447806   11443265 | 124472903 
       182 |  17590141    3278881   71702194   20099411   10724543 | 123395170 
       183 |  17436041    3821066   70808491   19872432    8970209 | 120908239 
       184 |  17202757    3646939   68195941   19259855    8927012 | 117232504 
       185 |  17576168    2783954   65003506   20566025    9477276 | 115406929 
       186 |  18182028    2830956   64494658   19188998    8523814 | 113220454 
       187 |  17992440    2589999   65977112   20376328    7751376 | 114687255 
       188 |  17781463    3232692   64240945   19163897    7510029 | 111929026 
       189 |  16461405    3001679   63820241   18577899    7891048 | 109752272 
       190 |  16148383    4232562   62105863   17399427    8054922 | 107941157 
       191 |  15323005    6738055   60303350   13136773    9739294 | 105240477 
       192 |  14231537    4398812   60445270   15286869    8862364 | 103224852 
       193 |  13249594    3836373   61229837   15510968    8928811 | 102755583 
       194 |  12674385    4813288   57745185   14227021    8736389 |  98196268 
       195 |  11950774    3637333   58826451   13956970    7143921 |  95515449 
       196 |  11171658    3224422   56788503   14987966    7992015 |  94164564 
       197 |  12381835    3639378   55220887   13871297    7214107 |  92327504 
       198 |  13756275    3435416   52619878   12047424    8519424 |  90378417 
       199 |  13053941    3795744   54169279   11363627    6502832 |  88885423 
       200 |  12077777    4927830   55110879    9962540    5659738 |  87738764 
       201 |  12555771    3725043   56299133    8275449    6393717 |  87249113 
-----------+-------------------------------------------------------+----------
     Total |1598966693  284549526 5521923245 1638826213 1093232946 | 1.014e+10 

. log close
