
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |   7345560    5931782   20982970   11773740    5859502 |  51893554 
       131 |   7827012    5713603   24123488   12968587    4979295 |  55611985 
       132 |   7345698    6329297   23996464   12330630    3401424 |  53403513 
       133 |   8352742    5993282   21997289   12576560    4476214 |  53396087 
       134 |   7869142    6287653   23221481   12933706    4596653 |  54908635 
       135 |   8333066    5531962   23873182   14732484    4389723 |  56860417 
       136 |   8061420    6173494   23906605   14864514    4242130 |  57248163 
       137 |   7233317    6864012   24009954   13337985    3989005 |  55434273 
       138 |   7227194    6155163   22629591   13635926    4875161 |  54523035 
       139 |   7051977    5926198   24124842   14906844    4032627 |  56042488 
       140 |   7576942    6651366   24403860   14138766    3967645 |  56738579 
       141 |   7257298    6431310   24249372   12935908    4598474 |  55472362 
       142 |   7037942    6424059   24966102   12467278    5371266 |  56266647 
       143 |   7877816    7317397   25395466   11857489    5493641 |  57941809 
       144 |   8591888    7445061   25077106   11743273    6179942 |  59037270 
       145 |   7781220    7843112   24745264   10066097    8684494 |  59120187 
       146 |   7059055    7749000   24582396    7978037   11153155 |  58521643 
       147 |   6939330    7060216   24310435    8048899   10953781 |  57312661 
       148 |   7046336    7474253   24974750    8481807   10810863 |  58788009 
       149 |   5719518    7167825   24531136    8965276   11844718 |  58228473 
       150 |   6138153    7155039   24458627    8885436   11207031 |  57844286 
       151 |   6640394    6395287   25107576    9441919   12486150 |  60071326 
       152 |   6550500    6433878   24505249   10254159   12962331 |  60706117 
       153 |   6547001    6686422   23365785   10691523   12048005 |  59338736 
       154 |   7043176    6519965   22112882    9722545   12243984 |  57642552 
       155 |   7028221    6595686   23655348    9918486   13219065 |  60416806 
       156 |   6395675    5719107   22780676   11135087   12539264 |  58569809 
       157 |   6226671    5820158   23014568    9130585   13407187 |  57599169 
       158 |   5955454    6114243   23603835    8248289   14328503 |  58250324 
       159 |   6111840    6199714   23451292    9209936   14440779 |  59413561 
       160 |   7417673    6507420   25053728    7491576   14747594 |  61217991 
       161 |   8013770    6059314   23594551    7788772   15115476 |  60571883 
       162 |   8082459    5935052   24226308    7985353   16551115 |  62780287 
       163 |   7349195    6654517   23887287    7796288   16842526 |  62529813 
       164 |   6904443    5775575   24747397    8342441   15781579 |  61551435 
       165 |   6444258    6121014   24427667    8933932   15475738 |  61402609 
       166 |   7768703    6533242   22861698    8337198   16204767 |  61705608 
       167 |   6662602    6314729   23928842    8987774   16349732 |  62243679 
       168 |   6183480    6008352   24636629    8780807   15159058 |  60768326 
       169 |   7239261    5738966   23224717    8810533   15609591 |  60623068 
       170 |   5895491    6396667   23678985    8605259   16626758 |  61203160 
       171 |   6024417    6073133   23113553   11112115   15043227 |  61366445 
       172 |   6393628    6090606   22673028   11582237   14166950 |  60906449 
       173 |   6573805    5533261   23565865   11488700   12152102 |  59313733 
       174 |   6729199    5677265   24100002   10449024   12786836 |  59742326 
       175 |   6705706    6343195   24061689   10891092   11687367 |  59689049 
       176 |   6251030    5829569   24033542   11467782   12288252 |  59870175 
       177 |   6723186    5530773   24065328   11277119   11769449 |  59365855 
       178 |   6665743    5148153   24150577   10721641   12302429 |  58988543 
       179 |   6817990    6390058   24309423   11101593    9849832 |  58468896 
       180 |   6755362    5815552   23779850   11248561    9688852 |  57288177 
       181 |   7329832    6255026   24333243   10626272    9014180 |  57558553 
       182 |   7086962    6707205   23152844   10766197   10388613 |  58101821 
       183 |   6972694    5873370   23362925   11474898    8758265 |  56442152 
       184 |   7075244    5551773   22383136   11767576    8337014 |  55114743 
       185 |   6900471    5811215   23119381   11257428    8523012 |  55611507 
       186 |   6654392    6569087   24687558   10626638    7852064 |  56389739 
       187 |   6062731    6109979   26055620    9145962    7652369 |  55026661 
       188 |   5555811    7142798   24873054    9941300    6484204 |  53997167 
       189 |   5242274    6994196   25338096    9133014    7176141 |  53883721 
       190 |   5232264    6166174   25425715    9243723    7441820 |  53509696 
       191 |   5630554    8445719   23539531    7257657    8407041 |  53280502 
       192 |   6593192    6904926   24687364    7936599    8604316 |  54726397 
       193 |   6298587    5929514   23444013    8068245   10190050 |  53930409 
       194 |   6365878    7330801   23666418    8513346    8977349 |  54853792 
       195 |   6698984    6795534   23232060    9372811   10016387 |  56115776 
       196 |   6240671    5845112   25033867   11224635    7593276 |  55937561 
       197 |   6714347    6542183   25185369    9184243    6755231 |  54381373 
       198 |   7648376    7163902   26888929    8228115    6266037 |  56195359 
       199 |   7459511    6723686   25415054    7851431    7585067 |  55034749 
       200 |   7061693    5367423   26558157    7097912    6423540 |  52508725 
       201 |   5811315    5373163   28259869    6335145    6897214 |  52676706 
-----------+-------------------------------------------------------+----------
     Total | 494408742  458188743 1736920460  735634715  718324432 |4143477092 
