
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |       182        369      1,016        512        248 |     2,327 
       131 |       190        344      1,071        527        232 |     2,364 
       132 |       175        332      1,026        543        208 |     2,284 
       133 |       161        287      1,039        551        222 |     2,260 
       134 |       170        312      1,088        596        228 |     2,394 
       135 |       183        329      1,125        690        219 |     2,546 
       136 |       184        319      1,124        693        207 |     2,527 
       137 |       199        292      1,121        662        204 |     2,478 
       138 |       198        346      1,202        642        207 |     2,595 
       139 |       207        325      1,214        665        206 |     2,617 
       140 |       198        316      1,199        654        168 |     2,535 
       141 |       177        325      1,168        679        206 |     2,555 
       142 |       172        289      1,189        648        242 |     2,540 
       143 |       186        289      1,193        669        214 |     2,551 
       144 |       199        323      1,189        639        198 |     2,548 
       145 |       184        289      1,208        623        245 |     2,549 
       146 |       153        287      1,263        565        320 |     2,588 
       147 |       149        285      1,221        564        332 |     2,551 
       148 |       171        333      1,248        591        331 |     2,674 
       149 |       173        332      1,245        568        388 |     2,706 
       150 |       168        328      1,298        507        408 |     2,709 
       151 |       150        292      1,276        556        428 |     2,702 
       152 |       157        298      1,266        558        451 |     2,730 
       153 |       155        307      1,273        528        428 |     2,691 
       154 |       161        296      1,243        555        438 |     2,693 
       155 |       167        278      1,279        560        440 |     2,724 
       156 |       161        281      1,239        574        453 |     2,708 
       157 |       161        276      1,137        531        531 |     2,636 
       158 |       154        306      1,157        502        541 |     2,660 
       159 |       150        282      1,153        505        570 |     2,660 
       160 |       139        274      1,127        516        597 |     2,653 
       161 |       141        296      1,098        464        617 |     2,616 
       162 |       135        302      1,117        454        646 |     2,654 
       163 |       142        300      1,101        464        639 |     2,646 
       164 |       150        279      1,082        477        619 |     2,607 
       165 |       165        285      1,055        478        628 |     2,611 
       166 |       147        285      1,017        469        625 |     2,543 
       167 |       171        273      1,010        527        620 |     2,601 
       168 |       167        274        975        507        595 |     2,518 
       169 |       159        248        929        502        616 |     2,454 
       170 |       159        258        884        472        633 |     2,406 
       171 |       147        253        936        492        560 |     2,388 
       172 |       158        253        985        518        492 |     2,406 
       173 |       139        252        990        537        477 |     2,395 
       174 |       132        255        998        508        507 |     2,400 
       175 |       131        277        970        517        473 |     2,368 
       176 |       134        258        954        522        449 |     2,317 
       177 |       135        243        929        550        417 |     2,274 
       178 |       130        236        914        521        426 |     2,227 
       179 |       143        252        910        573        367 |     2,245 
       180 |       137        258        919        568        349 |     2,231 
       181 |       123        275        889        532        373 |     2,192 
       182 |       135        267        879        515        373 |     2,169 
       183 |       132        269        878        526        339 |     2,144 
       184 |       128        286        823        531        345 |     2,113 
       185 |       132        270        867        509        327 |     2,105 
       186 |       135        250        876        517        322 |     2,100 
       187 |       138        262        892        528        298 |     2,118 
       188 |       139        284        886        550        307 |     2,166 
       189 |       150        252        913        547        282 |     2,144 
       190 |       146        278        871        481        279 |     2,055 
       191 |       128        341        764        380        289 |     1,902 
       192 |       136        252        807        431        344 |     1,970 
       193 |       124        245        779        472        316 |     1,936 
       194 |       106        249        749        444        307 |     1,855 
       195 |       108        220        763        454        268 |     1,813 
       196 |       114        227        737        456        229 |     1,763 
       197 |       106        219        743        468        191 |     1,727 
       198 |       109        198        771        442        235 |     1,755 
       199 |       110        192        768        411        192 |     1,673 
       200 |       102        189        782        344        187 |     1,604 
       201 |       102        170        777        321        186 |     1,556 
-----------+-------------------------------------------------------+----------
     Total |    10,859     20,073     73,584     38,152     26,854 |   169,522 
