
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |   7693033   14197795   49756800   22495598    9249515 | 103392741 
       131 |   7149492   14195128   51803066   25293204    7895062 | 106335952 
       132 |   6957069   14516297   49854369   26214913    8178225 | 105720873 
       133 |   6742933   12650949   50966156   26145970    8800571 | 105306579 
       134 |   6508492   13088396   53013903   27272342    8534940 | 108418073 
       135 |   6873170   13234728   53079333   29538099    8671383 | 111396713 
       136 |   7420528   13333194   54187427   30286882    7642776 | 112870807 
       137 |   8908179   13011408   53499550   28061870    7544304 | 111025311 
       138 |   7933527   14494189   55786530   25449798    8149077 | 111813121 
       139 |   9219488   13621882   56583899   26403405    7929229 | 113757903 
       140 |   9556052   13282871   55960542   27774599    6621043 | 113195107 
       141 |   8367264   14395514   54467576   27814758    7733285 | 112778397 
       142 |   8075360   12690163   55798387   25896328    9629803 | 112090041 
       143 |   7873830   13511373   55840471   27159567    8679167 | 113064408 
       144 |   8943076   13919204   55844898   26728787    8148531 | 113584496 
       145 |   8318776   12801902   56060659   24546791   11065703 | 112793831 
       146 |   6701399   12453342   59564407   22451483   14443591 | 115614222 
       147 |   7334108   13216368   58748106   22420030   13849588 | 115568200 
       148 |   7131986   13951703   56685380   22627146   12917091 | 113313306 
       149 |   7359719   11709256   54978146   21868949   15289073 | 111205143 
       150 |   7025021   12004751   54686105   19209259   16523744 | 109448880 
       151 |   6169426   10726098   55479258   21507308   17399388 | 111281478 
       152 |   6089991   10798246   54038282   21804130   18287110 | 111017759 
       153 |   6497966   11047002   55130331   20786970   17090602 | 110552871 
       154 |   6637237   11282477   53977737   21909901   16998091 | 110805443 
       155 |   6762578   10896261   56219772   22185133   16710001 | 112773745 
       156 |   6601245   12149014   53928009   22230516   17005470 | 111914254 
       157 |   5720466   11290034   51166037   19705548   19433673 | 107315758 
       158 |   5659219   11258350   51384323   18270978   20417427 | 106990297 
       159 |   6054776   10963653   50796009   18588437   19740869 | 106143744 
       160 |   5781358   10526086   51043158   19681914   21663257 | 108695773 
       161 |   5817756   10153820   49381466   17727604   22862514 | 105943160 
       162 |   5712650   11624689   49314340   18240687   23091696 | 107984062 
       163 |   6420582   11829067   49674256   17472104   22815433 | 108211442 
       164 |   6469666   12205977   48227195   17685992   21954614 | 106543444 
       165 |   6430426   11288386   47480418   17615354   22610043 | 105424627 
       166 |   6229707   11392346   45155657   17547448   23782648 | 104107806 
       167 |   6823839   10649295   46600103   18686862   23255664 | 106015763 
       168 |   7454384   10285194   45841161   18995913   21350503 | 103927155 
       169 |   7275018   10092769   46590961   18481484   22017627 | 104457859 
       170 |   7030391   10261563   47239560   17725532   22454318 | 104711364 
       171 |   6433291   10124157   48482266   18641198   20510456 | 104191368 
       172 |   6736520   10615974   50215567   20433968   19336899 | 107338928 
       173 |   5899594   10946766   50471930   21126852   19210645 | 107655787 
       174 |   5174126   11265117   51062118   19719515   20494560 | 107715436 
       175 |   5671113   11127601   49905889   20666490   19639552 | 107010645 
       176 |   5846178   10633255   49856398   20688301   18356886 | 105381018 
       177 |   6138781   10491438   48663879   21823054   16725047 | 103842199 
       178 |   6381362   10156589   47901429   20397046   17611821 | 102448247 
       179 |   6601284   10734449   48201849   22076475   15670465 | 103284522 
       180 |   6885157   11257654   46714577   22329241   15130622 | 102317251 
       181 |   6242459   12165010   46771122   20984619   15872270 | 102035480 
       182 |   6557810   12566857   45712086   20920492   16346935 | 102104180 
       183 |   6044405   12176459   46475877   23092424   15415585 | 103204750 
       184 |   6157583   12282133   44525918   23345907   15925001 | 102236542 
       185 |   6078670   11695141   46003526   22241923   14762227 | 100781487 
       186 |   6946844   11747766   46388149   22781116   14314665 | 102178540 
       187 |   7102244   12511251   47219389   22429418   13481019 | 102743321 
       188 |   6687767   13398559   48664860   23533051   13439231 | 105723468 
       189 |   7432903   11902078   49484936   23311072   12473202 | 104604191 
       190 |   7459472   13619092   50252810   21710986   14422064 | 107464424 
       191 |   6959006   19246743   46546007   18806650   15138796 | 106697202 
       192 |   6997350   14308610   49848463   20954077   18666208 | 110774708 
       193 |   5566003   12940759   49742595   22558067   16908599 | 107716023 
       194 |   5451433   14211799   48295785   21398241   17440207 | 106797465 
       195 |   5881833   12995481   50804117   24645695   15419260 | 109746386 
       196 |   6602459   12501366   50474522   25718710   14368439 | 109665496 
       197 |   6942378   12423495   53753404   26197103   10577863 | 109894243 
       198 |   7244440   11494516   53186520   24467480   13289784 | 109682740 
       199 |   7141797   10921725   54387352   23770415   11740287 | 107961576 
       200 |   6715004   11642925   56127402   21431887   12134964 | 108052182 
       201 |   6804723   11286121   57563685   20473969   13150654 | 109279152 
-----------+-------------------------------------------------------+----------
     Total | 490515172  876391626 3689538170 1605185035 1106410862 |7768040865 
