
           |                woman_status
     ciclo | couple_0k   couple_k      other     single |     Total
-----------+--------------------------------------------+----------
       130 |  59548756  193737422   24302098   79413438 | 357001714 
       131 |  59874496  192871743   23682832   82914598 | 359343669 
       132 |  58176028  197376563   24420587   81200690 | 361173868 
       133 |  59722695  199450665   23000964   80991234 | 363165558 
       134 |  59663752  199144555   23221853   83083458 | 365113618 
       135 |  61471567  197207332   23333371   85326635 | 367338905 
       136 |  60971216  198006448   23904961   86917965 | 369800590 
       137 |  64475424  198350095   25127594   84462861 | 372415974 
       138 |  63853259  199814517   26465436   84818898 | 374952110 
       139 |  66567765  198373654   25910762   86383653 | 377235834 
       140 |  66007121  200980876   26139805   86395676 | 379523478 
       141 |  66483379  202465915   25910999   86933092 | 381793385 
       142 |  69379416  203541304   25093281   85517660 | 383531661 
       143 |  69414775  205459651   25027432   85327735 | 385229593 
       144 |  70270102  206171635   24691606   85599688 | 386733031 
       145 |  71280629  206860756   23829473   86089999 | 388060857 
       146 |  70523906  206942561   23289267   87991147 | 388746881 
       147 |  69049075  209511975   23367556   87443564 | 389372170 
       148 |  71770323  207434797   26254010   84237954 | 389697084 
       149 |  72748027  208486104   24949804   83787932 | 389971867 
       150 |  74686799  207237759   25307915   82892898 | 390125371 
       151 |  72195488  207009628   26692224   84111793 | 390009133 
       152 |  71658000  207449710   26653169   84221580 | 389982459 
       153 |  72786216  207087800   26847724   82996925 | 389718665 
       154 |  75472487  203623200   27450116   82581975 | 389127778 
       155 |  75926168  201795908   27146815   83513763 | 388382654 
       156 |  73754510  202582104   27726058   83511987 | 387574659 
       157 |  74273007  204564530   27675398   80195124 | 386708059 
       158 |  72415196  204410002   28437355   80105263 | 385367816 
       159 |  71799323  200560794   29006397   79726928 | 381093442 
       160 |  69141889  201308674   29195077   81981604 | 381627244 
       161 |  71369795  198838398   30177112   79499908 | 379885213 
       162 |  69104948  196223621   31241781   80925675 | 377496025 
       163 |  68604307  194547743   30778435   80896890 | 374827375 
       164 |  68080692  193164523   30879747   79448292 | 371573254 
       165 |  66794210  193132396   31151228   77550041 | 368627875 
       166 |  67531508  190339356   31982535   75509762 | 365363161 
       167 |  67648704  187504310   30667287   77178891 | 362999192 
       168 |  67270115  187574520   30010969   75329065 | 360184669 
       169 |  64274822  189200365   29161819   74979320 | 357616326 
       170 |  62316363  187990254   29982411   74594345 | 354883373 
       171 |  63458681  184820192   28576676   75303588 | 352159137 
       172 |  59499994  182631723   28576462   78395393 | 349103572 
       173 |  58596445  181105655   28029099   77508765 | 345239964 
       174 |  59591938  176292270   27959066   78346557 | 342189831 
       175 |  58498995  174320691   28971173   77114305 | 338905164 
       176 |  59841374  171526850   28138361   76210007 | 335716592 
       177 |  62302699  169492123   26875950   74066569 | 332737341 
       178 |  61623992  167708974   27746741   72699406 | 329779113 
       179 |  60344991  165301956   27904384   73426655 | 326977986 
       180 |  60863394  163361920   27964076   72053713 | 324243103 
       181 |  57694880  165203801   26496715   72504607 | 321900003 
       182 |  56715551  162927594   26971165   72783362 | 319397672 
       183 |  56183015  159356012   28371084   73278630 | 317188741 
       184 |  59225152  156007687   27251001   72552934 | 315036774 
       185 |  59121269  155822256   27274956   70887324 | 313105805 
       186 |  59775149  152930544   26693247   71702478 | 311101418 
       187 |  58441566  152684301   26197360   71998270 | 309321497 
       188 |  57758568  149545764   25698390   74806025 | 307808747 
       189 |  58413099  147270077   26434736   74123980 | 306241892 
       190 |  56393355  147078318   24814513   76258439 | 304544625 
       191 |  56933427  144111332   26423251   75145416 | 302613426 
       192 |  54444421  142868381   25526664   77638653 | 300478119 
       193 |  52878674  142921631   26570069   75990345 | 298360719 
       194 |  55097702  138283527   26697851   75774572 | 295853652 
       195 |  52296040  136616720   25678068   78758075 | 293348903 
       196 |  51824420  136723758   24246344   78387212 | 291181734 
       197 |  53220025  133603472   24064471   78603373 | 289491341 
       198 |  56534768  129307739   23152392   78893265 | 287888164 
       199 |  60359890  126267179   23065908   77477700 | 287170677 
       200 |  61208552  123547827   25875805   76635140 | 287267324 
       201 |  59747859  123928915   25371058   78222169 | 287270001 
-----------+--------------------------------------------+----------
     Total |4587246143  1.296e+10 1923712299 5714136833 | 2.519e+10 
