"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","EPT_V3","Version 3 (2008-2019)","2008","2008","IDX","Index","0","Units",,,3.25,,
"FRA","France","EPT_V3","Version 3 (2008-2019)","2009","2009","IDX","Index","0","Units",,,3.25,,
"FRA","France","EPT_V3","Version 3 (2008-2019)","2010","2010","IDX","Index","0","Units",,,3.25,,
"FRA","France","EPT_V3","Version 3 (2008-2019)","2011","2011","IDX","Index","0","Units",,,3.25,,
"FRA","France","EPT_V3","Version 3 (2008-2019)","2012","2012","IDX","Index","0","Units",,,3.25,,
"FRA","France","EPT_V3","Version 3 (2008-2019)","2013","2013","IDX","Index","0","Units",,,3.25,,
"FRA","France","EPT_V3","Version 3 (2008-2019)","2014","2014","IDX","Index","0","Units",,,3.25,,
"FRA","France","EPT_V3","Version 3 (2008-2019)","2015","2015","IDX","Index","0","Units",,,3.25,,
"FRA","France","EPT_V3","Version 3 (2008-2019)","2016","2016","IDX","Index","0","Units",,,3.125,,
"FRA","France","EPT_V3","Version 3 (2008-2019)","2017","2017","IDX","Index","0","Units",,,3.125,,
"FRA","France","EPT_V3","Version 3 (2008-2019)","2018","2018","IDX","Index","0","Units",,,3.125,,
"FRA","France","EPT_V3","Version 3 (2008-2019)","2019","2019","IDX","Index","0","Units",,,3.125,,
"ITA","Italy","EPT_V3","Version 3 (2008-2019)","2008","2008","IDX","Index","0","Units",,,2.70833349227905,,
"ITA","Italy","EPT_V3","Version 3 (2008-2019)","2009","2009","IDX","Index","0","Units",,,2.70833349227905,,
"ITA","Italy","EPT_V3","Version 3 (2008-2019)","2010","2010","IDX","Index","0","Units",,,2.70833349227905,,
"ITA","Italy","EPT_V3","Version 3 (2008-2019)","2011","2011","IDX","Index","0","Units",,,2.70833349227905,,
"ITA","Italy","EPT_V3","Version 3 (2008-2019)","2012","2012","IDX","Index","0","Units",,,2.70833349227905,,
"ITA","Italy","EPT_V3","Version 3 (2008-2019)","2013","2013","IDX","Index","0","Units",,,2.70833349227905,,
"ITA","Italy","EPT_V3","Version 3 (2008-2019)","2014","2014","IDX","Index","0","Units",,,2.70833349227905,,
"ITA","Italy","EPT_V3","Version 3 (2008-2019)","2015","2015","IDX","Index","0","Units",,,2.33333349227905,,
"ITA","Italy","EPT_V3","Version 3 (2008-2019)","2016","2016","IDX","Index","0","Units",,,2.33333349227905,,
"ITA","Italy","EPT_V3","Version 3 (2008-2019)","2017","2017","IDX","Index","0","Units",,,2.33333349227905,,
"ITA","Italy","EPT_V3","Version 3 (2008-2019)","2018","2018","IDX","Index","0","Units",,,2.33333349227905,,
"ITA","Italy","EPT_V3","Version 3 (2008-2019)","2019","2019","IDX","Index","0","Units",,,3.625,,
"NLD","Netherlands","EPT_V3","Version 3 (2008-2019)","2008","2008","IDX","Index","0","Units",,,1.16666674613952,,
"NLD","Netherlands","EPT_V3","Version 3 (2008-2019)","2009","2009","IDX","Index","0","Units",,,1.16666674613952,,
"NLD","Netherlands","EPT_V3","Version 3 (2008-2019)","2010","2010","IDX","Index","0","Units",,,1.16666674613952,,
"NLD","Netherlands","EPT_V3","Version 3 (2008-2019)","2011","2011","IDX","Index","0","Units",,,1.16666674613952,,
"NLD","Netherlands","EPT_V3","Version 3 (2008-2019)","2012","2012","IDX","Index","0","Units",,,1.16666674613952,,
"NLD","Netherlands","EPT_V3","Version 3 (2008-2019)","2013","2013","IDX","Index","0","Units",,,1.16666674613952,,
"NLD","Netherlands","EPT_V3","Version 3 (2008-2019)","2014","2014","IDX","Index","0","Units",,,1.16666674613952,,
"NLD","Netherlands","EPT_V3","Version 3 (2008-2019)","2015","2015","IDX","Index","0","Units",,,1.16666674613952,,
"NLD","Netherlands","EPT_V3","Version 3 (2008-2019)","2016","2016","IDX","Index","0","Units",,,1.47916674613952,,
"NLD","Netherlands","EPT_V3","Version 3 (2008-2019)","2017","2017","IDX","Index","0","Units",,,1.47916674613952,,
"NLD","Netherlands","EPT_V3","Version 3 (2008-2019)","2018","2018","IDX","Index","0","Units",,,1.47916674613952,,
"NLD","Netherlands","EPT_V3","Version 3 (2008-2019)","2019","2019","IDX","Index","0","Units",,,1.47916674613952,,
"ESP","Spain","EPT_V3","Version 3 (2008-2019)","2008","2008","IDX","Index","0","Units",,,3.5,,
"ESP","Spain","EPT_V3","Version 3 (2008-2019)","2009","2009","IDX","Index","0","Units",,,3.5,,
"ESP","Spain","EPT_V3","Version 3 (2008-2019)","2010","2010","IDX","Index","0","Units",,,3.5,,
"ESP","Spain","EPT_V3","Version 3 (2008-2019)","2011","2011","IDX","Index","0","Units",,,3.16666650772094,,
"ESP","Spain","EPT_V3","Version 3 (2008-2019)","2012","2012","IDX","Index","0","Units",,,3.29166650772094,,
"ESP","Spain","EPT_V3","Version 3 (2008-2019)","2013","2013","IDX","Index","0","Units",,,3.16666650772094,,
"ESP","Spain","EPT_V3","Version 3 (2008-2019)","2014","2014","IDX","Index","0","Units",,,3.10416650772094,,
"ESP","Spain","EPT_V3","Version 3 (2008-2019)","2015","2015","IDX","Index","0","Units",,,3.10416650772094,,
"ESP","Spain","EPT_V3","Version 3 (2008-2019)","2016","2016","IDX","Index","0","Units",,,3.10416650772094,,
