"COU","Country","FREQ","Frequency","MEAS","Measure","TIME","Year","Value","Flag Codes","Flags"
"FRA","France","A","Annual","PCT","Percentage of employees with the right to bargain","2008","2008",98,,
"FRA","France","A","Annual","PCT","Percentage of employees with the right to bargain","2009","2009",98,,
"FRA","France","A","Annual","PCT","Percentage of employees with the right to bargain","2010","2010",98,,
"FRA","France","A","Annual","PCT","Percentage of employees with the right to bargain","2012","2012",98,,
"FRA","France","A","Annual","PCT","Percentage of employees with the right to bargain","2013","2013",98,,
"FRA","France","A","Annual","PCT","Percentage of employees with the right to bargain","2014","2014",98.5,,
"FRA","France","A","Annual","PCT","Percentage of employees with the right to bargain","2015","2015",98,,
"FRA","France","A","Annual","PCT","Percentage of employees with the right to bargain","2018","2018",98,,
"ITA","Italy","A","Annual","PCT","Percentage of employees with the right to bargain","2008","2008",100,,
"ITA","Italy","A","Annual","PCT","Percentage of employees with the right to bargain","2009","2009",100,,
"ITA","Italy","A","Annual","PCT","Percentage of employees with the right to bargain","2010","2010",100,,
"ITA","Italy","A","Annual","PCT","Percentage of employees with the right to bargain","2011","2011",100,,
"ITA","Italy","A","Annual","PCT","Percentage of employees with the right to bargain","2012","2012",100,,
"ITA","Italy","A","Annual","PCT","Percentage of employees with the right to bargain","2013","2013",100,,
"ITA","Italy","A","Annual","PCT","Percentage of employees with the right to bargain","2014","2014",100,,
"ITA","Italy","A","Annual","PCT","Percentage of employees with the right to bargain","2015","2015",100,,
"ITA","Italy","A","Annual","PCT","Percentage of employees with the right to bargain","2016","2016",100,,
"ITA","Italy","A","Annual","PCT","Percentage of employees with the right to bargain","2017","2017",100,,
"ITA","Italy","A","Annual","PCT","Percentage of employees with the right to bargain","2018","2018",100,,
"ITA","Italy","A","Annual","PCT","Percentage of employees with the right to bargain","2019","2019",100,,
"NLD","Netherlands","A","Annual","PCT","Percentage of employees with the right to bargain","2008","2008",81.800003,,
"NLD","Netherlands","A","Annual","PCT","Percentage of employees with the right to bargain","2009","2009",86.300003,,
"NLD","Netherlands","A","Annual","PCT","Percentage of employees with the right to bargain","2010","2010",90.599998,,
"NLD","Netherlands","A","Annual","PCT","Percentage of employees with the right to bargain","2011","2011",87.199997,,
"NLD","Netherlands","A","Annual","PCT","Percentage of employees with the right to bargain","2012","2012",85.099998,,
"NLD","Netherlands","A","Annual","PCT","Percentage of employees with the right to bargain","2013","2013",85.699997,,
"NLD","Netherlands","A","Annual","PCT","Percentage of employees with the right to bargain","2014","2014",85.900002,,
"NLD","Netherlands","A","Annual","PCT","Percentage of employees with the right to bargain","2015","2015",79.400002,,
"NLD","Netherlands","A","Annual","PCT","Percentage of employees with the right to bargain","2016","2016",79.300003,,
"NLD","Netherlands","A","Annual","PCT","Percentage of employees with the right to bargain","2017","2017",77.099998,,
"NLD","Netherlands","A","Annual","PCT","Percentage of employees with the right to bargain","2018","2018",76.699997,,
"NLD","Netherlands","A","Annual","PCT","Percentage of employees with the right to bargain","2019","2019",75.599998,,
"ESP","Spain","A","Annual","PCT","Percentage of employees with the right to bargain","2008","2008",80.300003,,
"ESP","Spain","A","Annual","PCT","Percentage of employees with the right to bargain","2009","2009",83.199997,,
"ESP","Spain","A","Annual","PCT","Percentage of employees with the right to bargain","2010","2010",79.400002,,
"ESP","Spain","A","Annual","PCT","Percentage of employees with the right to bargain","2011","2011",79.800003,,
"ESP","Spain","A","Annual","PCT","Percentage of employees with the right to bargain","2012","2012",80.099998,,
"ESP","Spain","A","Annual","PCT","Percentage of employees with the right to bargain","2013","2013",84.599998,,
"ESP","Spain","A","Annual","PCT","Percentage of employees with the right to bargain","2014","2014",83.400002,,
"ESP","Spain","A","Annual","PCT","Percentage of employees with the right to bargain","2015","2015",79.599998,,
"ESP","Spain","A","Annual","PCT","Percentage of employees with the right to bargain","2016","2016",80.800003,,
"ESP","Spain","A","Annual","PCT","Percentage of employees with the right to bargain","2017","2017",78.900002,,
"ESP","Spain","A","Annual","PCT","Percentage of employees with the right to bargain","2018","2018",80.099998,,
"GBR","United Kingdom","A","Annual","PCT","Percentage of employees with the right to bargain","2008","2008",33.700001,,
"GBR","United Kingdom","A","Annual","PCT","Percentage of employees with the right to bargain","2009","2009",32.799999,,
"GBR","United Kingdom","A","Annual","PCT","Percentage of employees with the right to bargain","2010","2010",30.9,,
"GBR","United Kingdom","A","Annual","PCT","Percentage of employees with the right to bargain","2011","2011",31.200001,,
"GBR","United Kingdom","A","Annual","PCT","Percentage of employees with the right to bargain","2012","2012",29.299999,,
"GBR","United Kingdom","A","Annual","PCT","Percentage of employees with the right to bargain","2013","2013",29.5,,
"GBR","United Kingdom","A","Annual","PCT","Percentage of employees with the right to bargain","2014","2014",27.5,,
"GBR","United Kingdom","A","Annual","PCT","Percentage of employees with the right to bargain","2015","2015",27.9,,
"GBR","United Kingdom","A","Annual","PCT","Percentage of employees with the right to bargain","2016","2016",26.299999,,
"GBR","United Kingdom","A","Annual","PCT","Percentage of employees with the right to bargain","2017","2017",26,,
"GBR","United Kingdom","A","Annual","PCT","Percentage of employees with the right to bargain","2018","2018",26,,
"GBR","United Kingdom","A","Annual","PCT","Percentage of employees with the right to bargain","2019","2019",26.9,,
