,Clase de disolución,Provincias,Periodo,Total,t
0,Total,Total Nacional,1995M01,471.0,0
1,Total,Total Nacional,1995M02,445.0,1
2,Total,Total Nacional,1995M03,454.0,2
3,Total,Total Nacional,1995M04,286.0,3
4,Total,Total Nacional,1995M05,368.0,4
5,Total,Total Nacional,1995M06,359.0,5
6,Total,Total Nacional,1995M07,307.0,6
7,Total,Total Nacional,1995M08,209.0,7
8,Total,Total Nacional,1995M09,341.0,8
9,Total,Total Nacional,1995M10,387.0,9
10,Total,Total Nacional,1995M11,384.0,10
11,Total,Total Nacional,1995M12,329.0,11
12,Total,Total Nacional,1996M01,1215.0,12
13,Total,Total Nacional,1996M02,1809.0000000000002,13
14,Total,Total Nacional,1996M03,2687.0,14
15,Total,Total Nacional,1996M04,1531.9999999999998,15
16,Total,Total Nacional,1996M05,1429.0,16
17,Total,Total Nacional,1996M06,1195.0,17
18,Total,Total Nacional,1996M07,1088.0,18
19,Total,Total Nacional,1996M08,490.0,19
20,Total,Total Nacional,1996M09,2726.0000000000005,20
21,Total,Total Nacional,1996M10,1553.0000000000002,21
22,Total,Total Nacional,1996M11,1259.0000000000002,22
23,Total,Total Nacional,1996M12,1103.0,23
24,Total,Total Nacional,1997M01,1153.0,24
25,Total,Total Nacional,1997M02,1157.0,25
26,Total,Total Nacional,1997M03,1025.0,26
27,Total,Total Nacional,1997M04,857.0,27
28,Total,Total Nacional,1997M05,701.0,28
29,Total,Total Nacional,1997M06,756.0,29
30,Total,Total Nacional,1997M07,621.0,30
31,Total,Total Nacional,1997M08,341.0,31
32,Total,Total Nacional,1997M09,557.0,32
33,Total,Total Nacional,1997M10,1733.0,33
34,Total,Total Nacional,1997M11,872.0,34
35,Total,Total Nacional,1997M12,753.0,35
36,Total,Total Nacional,1998M01,939.0,36
37,Total,Total Nacional,1998M02,896.0,37
38,Total,Total Nacional,1998M03,851.0,38
39,Total,Total Nacional,1998M04,562.0,39
40,Total,Total Nacional,1998M05,628.0,40
41,Total,Total Nacional,1998M06,675.0,41
42,Total,Total Nacional,1998M07,709.0,42
43,Total,Total Nacional,1998M08,332.0,43
44,Total,Total Nacional,1998M09,619.0,44
45,Total,Total Nacional,1998M10,758.0,45
46,Total,Total Nacional,1998M11,722.0,46
47,Total,Total Nacional,1998M12,655.0,47
48,Total,Total Nacional,1999M01,1024.0,48
49,Total,Total Nacional,1999M02,922.0,49
50,Total,Total Nacional,1999M03,748.0,50
51,Total,Total Nacional,1999M04,560.0,51
52,Total,Total Nacional,1999M05,557.0,52
53,Total,Total Nacional,1999M06,632.0,53
54,Total,Total Nacional,1999M07,545.0,54
55,Total,Total Nacional,1999M08,330.0,55
56,Total,Total Nacional,1999M09,499.0,56
57,Total,Total Nacional,1999M10,495.0,57
58,Total,Total Nacional,1999M11,1854.0,58
59,Total,Total Nacional,1999M12,667.0,59
60,Total,Total Nacional,2000M01,880.0,60
61,Total,Total Nacional,2000M02,1012.0,61
62,Total,Total Nacional,2000M03,897.0,62
63,Total,Total Nacional,2000M04,512.0,63
64,Total,Total Nacional,2000M05,582.0,64
65,Total,Total Nacional,2000M06,645.0,65
66,Total,Total Nacional,2000M07,445.0,66
67,Total,Total Nacional,2000M08,328.0,67
68,Total,Total Nacional,2000M09,584.0,68
69,Total,Total Nacional,2000M10,676.0,69
70,Total,Total Nacional,2000M11,888.0,70
71,Total,Total Nacional,2000M12,648.0,71
72,Total,Total Nacional,2001M01,1093.0,72
73,Total,Total Nacional,2001M02,889.0,73
74,Total,Total Nacional,2001M03,869.0,74
75,Total,Total Nacional,2001M04,544.0,75
76,Total,Total Nacional,2001M05,674.0,76
77,Total,Total Nacional,2001M06,505.0,77
78,Total,Total Nacional,2001M07,572.0,78
79,Total,Total Nacional,2001M08,331.0,79
80,Total,Total Nacional,2001M09,515.0,80
81,Total,Total Nacional,2001M10,743.0,81
82,Total,Total Nacional,2001M11,775.0,82
83,Total,Total Nacional,2001M12,776.0,83
84,Total,Total Nacional,2002M01,1115.0,84
85,Total,Total Nacional,2002M02,1190.0,85
86,Total,Total Nacional,2002M03,887.0,86
87,Total,Total Nacional,2002M04,745.0,87
88,Total,Total Nacional,2002M05,604.0,88
89,Total,Total Nacional,2002M06,700.0,89
90,Total,Total Nacional,2002M07,590.0,90
91,Total,Total Nacional,2002M08,390.0,91
92,Total,Total Nacional,2002M09,585.0,92
93,Total,Total Nacional,2002M10,900.0,93
