Número de sociedades y capital (en miles de euros);Comunidades y Ciudades Autónomas;Forma jurídica;Periodo;Total
Número de Sociedades;Total Nacional;Total;1995M01;12.180
Número de Sociedades;Total Nacional;Total;1995M02;13.209
Número de Sociedades;Total Nacional;Total;1995M03;15.095
Número de Sociedades;Total Nacional;Total;1995M04;8.680
Número de Sociedades;Total Nacional;Total;1995M05;12.169
Número de Sociedades;Total Nacional;Total;1995M06;7.638
Número de Sociedades;Total Nacional;Total;1995M07;5.909
Número de Sociedades;Total Nacional;Total;1995M08;4.945
Número de Sociedades;Total Nacional;Total;1995M09;5.849
Número de Sociedades;Total Nacional;Total;1995M10;7.452
Número de Sociedades;Total Nacional;Total;1995M11;7.612
Número de Sociedades;Total Nacional;Total;1995M12;5.919
Número de Sociedades;Total Nacional;Total;1996M01;8.701
Número de Sociedades;Total Nacional;Total;1996M02;10.424
Número de Sociedades;Total Nacional;Total;1996M03;9.934
Número de Sociedades;Total Nacional;Total;1996M04;8.770
Número de Sociedades;Total Nacional;Total;1996M05;9.039
Número de Sociedades;Total Nacional;Total;1996M06;7.806
Número de Sociedades;Total Nacional;Total;1996M07;7.497
Número de Sociedades;Total Nacional;Total;1996M08;4.500
Número de Sociedades;Total Nacional;Total;1996M09;6.791
Número de Sociedades;Total Nacional;Total;1996M10;7.539
Número de Sociedades;Total Nacional;Total;1996M11;6.927
Número de Sociedades;Total Nacional;Total;1996M12;5.883
Número de Sociedades;Total Nacional;Total;1997M01;8.390
Número de Sociedades;Total Nacional;Total;1997M02;9.543
Número de Sociedades;Total Nacional;Total;1997M03;8.089
Número de Sociedades;Total Nacional;Total;1997M04;9.417
Número de Sociedades;Total Nacional;Total;1997M05;8.406
Número de Sociedades;Total Nacional;Total;1997M06;7.930
Número de Sociedades;Total Nacional;Total;1997M07;6.728
Número de Sociedades;Total Nacional;Total;1997M08;4.858
Número de Sociedades;Total Nacional;Total;1997M09;7.707
Número de Sociedades;Total Nacional;Total;1997M10;8.660
Número de Sociedades;Total Nacional;Total;1997M11;7.899
Número de Sociedades;Total Nacional;Total;1997M12;6.979
Número de Sociedades;Total Nacional;Total;1998M01;9.071
Número de Sociedades;Total Nacional;Total;1998M02;10.454
Número de Sociedades;Total Nacional;Total;1998M03;10.880
Número de Sociedades;Total Nacional;Total;1998M04;9.205
Número de Sociedades;Total Nacional;Total;1998M05;9.657
Número de Sociedades;Total Nacional;Total;1998M06;8.481
Número de Sociedades;Total Nacional;Total;1998M07;8.239
Número de Sociedades;Total Nacional;Total;1998M08;5.536
Número de Sociedades;Total Nacional;Total;1998M09;8.054
Número de Sociedades;Total Nacional;Total;1998M10;8.484
Número de Sociedades;Total Nacional;Total;1998M11;8.726
Número de Sociedades;Total Nacional;Total;1998M12;7.891
Número de Sociedades;Total Nacional;Total;1999M01;8.460
Número de Sociedades;Total Nacional;Total;1999M02;9.715
Número de Sociedades;Total Nacional;Total;1999M03;11.293
Número de Sociedades;Total Nacional;Total;1999M04;9.819
Número de Sociedades;Total Nacional;Total;1999M05;10.207
Número de Sociedades;Total Nacional;Total;1999M06;10.243
Número de Sociedades;Total Nacional;Total;1999M07;8.464
