,Número de sociedades y capital (en miles de euros),Comunidades y Ciudades Autónomas,Forma jurídica,Periodo,Total,t
0,Número de Sociedades,Total Nacional,Total,1995M01,12180.0,0
1,Número de Sociedades,Total Nacional,Total,1995M02,13209.000000000002,1
2,Número de Sociedades,Total Nacional,Total,1995M03,15095.0,2
3,Número de Sociedades,Total Nacional,Total,1995M04,8680.0,3
4,Número de Sociedades,Total Nacional,Total,1995M05,12169.0,4
5,Número de Sociedades,Total Nacional,Total,1995M06,7638.0,5
6,Número de Sociedades,Total Nacional,Total,1995M07,5909.0,6
7,Número de Sociedades,Total Nacional,Total,1995M08,4945.0,7
8,Número de Sociedades,Total Nacional,Total,1995M09,5849.0,8
9,Número de Sociedades,Total Nacional,Total,1995M10,7452.000000000001,9
10,Número de Sociedades,Total Nacional,Total,1995M11,7612.0,10
11,Número de Sociedades,Total Nacional,Total,1995M12,5919.0,11
12,Número de Sociedades,Total Nacional,Total,1996M01,8701.0,12
13,Número de Sociedades,Total Nacional,Total,1996M02,10424.000000000002,13
14,Número de Sociedades,Total Nacional,Total,1996M03,9934.0,14
15,Número de Sociedades,Total Nacional,Total,1996M04,8770.0,15
16,Número de Sociedades,Total Nacional,Total,1996M05,9039.0,16
17,Número de Sociedades,Total Nacional,Total,1996M06,7806.0,17
18,Número de Sociedades,Total Nacional,Total,1996M07,7497.000000000001,18
19,Número de Sociedades,Total Nacional,Total,1996M08,4500.0,19
20,Número de Sociedades,Total Nacional,Total,1996M09,6791.0,20
21,Número de Sociedades,Total Nacional,Total,1996M10,7539.0,21
22,Número de Sociedades,Total Nacional,Total,1996M11,6927.000000000001,22
23,Número de Sociedades,Total Nacional,Total,1996M12,5882.999999999999,23
24,Número de Sociedades,Total Nacional,Total,1997M01,8390.0,24
25,Número de Sociedades,Total Nacional,Total,1997M02,9543.0,25
26,Número de Sociedades,Total Nacional,Total,1997M03,8089.0,26
27,Número de Sociedades,Total Nacional,Total,1997M04,9417.0,27
28,Número de Sociedades,Total Nacional,Total,1997M05,8406.0,28
29,Número de Sociedades,Total Nacional,Total,1997M06,7930.0,29
30,Número de Sociedades,Total Nacional,Total,1997M07,6728.0,30
31,Número de Sociedades,Total Nacional,Total,1997M08,4858.000000000001,31
32,Número de Sociedades,Total Nacional,Total,1997M09,7707.000000000001,32
33,Número de Sociedades,Total Nacional,Total,1997M10,8660.0,33
34,Número de Sociedades,Total Nacional,Total,1997M11,7899.0,34
35,Número de Sociedades,Total Nacional,Total,1997M12,6979.0,35
36,Número de Sociedades,Total Nacional,Total,1998M01,9071.0,36
37,Número de Sociedades,Total Nacional,Total,1998M02,10454.0,37
38,Número de Sociedades,Total Nacional,Total,1998M03,10880.0,38
39,Número de Sociedades,Total Nacional,Total,1998M04,9205.0,39
40,Número de Sociedades,Total Nacional,Total,1998M05,9657.0,40
41,Número de Sociedades,Total Nacional,Total,1998M06,8481.0,41
42,Número de Sociedades,Total Nacional,Total,1998M07,8238.999999999998,42
43,Número de Sociedades,Total Nacional,Total,1998M08,5536.000000000001,43
44,Número de Sociedades,Total Nacional,Total,1998M09,8054.0,44
45,Número de Sociedades,Total Nacional,Total,1998M10,8484.0,45
46,Número de Sociedades,Total Nacional,Total,1998M11,8726.0,46
47,Número de Sociedades,Total Nacional,Total,1998M12,7891.0,47
48,Número de Sociedades,Total Nacional,Total,1999M01,8460.0,48
49,Número de Sociedades,Total Nacional,Total,1999M02,9715.0,49
50,Número de Sociedades,Total Nacional,Total,1999M03,11293.0,50
51,Número de Sociedades,Total Nacional,Total,1999M04,9818.999999999998,51
52,Número de Sociedades,Total Nacional,Total,1999M05,10207.0,52
53,Número de Sociedades,Total Nacional,Total,1999M06,10243.0,53
54,Número de Sociedades,Total Nacional,Total,1999M07,8464.0,54
55,Número de Sociedades,Total Nacional,Total,1999M08,5807.0,55
56,Número de Sociedades,Total Nacional,Total,1999M09,7691.0,56
57,Número de Sociedades,Total Nacional,Total,1999M10,6029.0,57
58,Número de Sociedades,Total Nacional,Total,1999M11,9221.0,58
59,Número de Sociedades,Total Nacional,Total,1999M12,8057.0,59
60,Número de Sociedades,Total Nacional,Total,2000M01,10138.0,60
61,Número de Sociedades,Total Nacional,Total,2000M02,12335.999999999998,61
62,Número de Sociedades,Total Nacional,Total,2000M03,12865.0,62
63,Número de Sociedades,Total Nacional,Total,2000M04,8946.0,63
64,Número de Sociedades,Total Nacional,Total,2000M05,11247.0,64
65,Número de Sociedades,Total Nacional,Total,2000M06,10772.0,65
66,Número de Sociedades,Total Nacional,Total,2000M07,8068.999999999999,66
67,Número de Sociedades,Total Nacional,Total,2000M08,6162.999999999999,67
68,Número de Sociedades,Total Nacional,Total,2000M09,8472.999999999998,68
69,Número de Sociedades,Total Nacional,Total,2000M10,9350.0,69
70,Número de Sociedades,Total Nacional,Total,2000M11,9603.0,70
71,Número de Sociedades,Total Nacional,Total,2000M12,7531.000000000001,71
72,Número de Sociedades,Total Nacional,Total,2001M01,10696.0,72
73,Número de Sociedades,Total Nacional,Total,2001M02,10776.0,73
74,Número de Sociedades,Total Nacional,Total,2001M03,12026.0,74
