,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
,women,men,women,men,women,men,women,men,women,men,women,men
0,215686,263431,235892,244126,237595,278308,228844,286140,200283,238249,351605,391370
1,209307,198379,242022,230855,259126,238560,240159,276168,245717,236717,312802,263316
2,143649,177826,164324,168991,186025,197812,179208,231407,209502,242202,272556,262971
3,177150,155813,138825,131871,132286,130068,95221,142574,108336,186578,170168,246653
4,162872,169852,116469,139436,107878,136571,98590,105606,95881,112133,68770,118892
5,161465,195610,151500,172850,135041,160519,91771,107893,89703,102222,87644,82143
6,87338,93441,88498,124549,99749,113906,85016,115649,85157,120397,77759,113176
7,38657,77257,42324,88830,47299,86476,44378,79672,42404,113962,42993,91459
8,29825,42098,20395,41874,24534,30223,20361,39696,18020,21778,25808,50986
9,7232,14963,10902,25759,13984,26633,8311,14522,6206,26285,11911,26598
10,6290,9833,3155,7736,1719,9951,2244,14874,9882,8470,7669,14114
11,516,2351,2396,989,865,364,0,1746,0,1436,1897,1103
12,0,366,0,0,0,0,0,560,81,0,0,203
13,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
