,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
,women,men,women,men,women,men,women,men,women,men,women,men
0,571961,599043,578586,577162,570681,569234,496571,545879,473642,496149,563216,587884
1,266740,248635,291241,287670,330456,302611,299398,325572,303620,282843,372988,313641
2,168927,198875,195376,191663,220065,219431,207612,248887,244098,252341,303217,279021
3,200400,175169,163514,142523,149922,146476,115581,153910,143675,200118,200066,260221
4,181938,189274,134164,154359,122591,148995,111722,113330,110316,118771,80010,125721
5,176888,208567,166260,186358,151909,168856,103438,116691,105442,111597,101637,88065
6,91207,98416,90145,134125,105289,119637,91095,119820,95872,126937,84379,117279
7,45160,79176,47086,91390,51607,89879,46261,81481,47129,114852,47110,95195
8,33624,44113,23224,42290,27264,33374,22254,43336,18983,24512,25988,51901
9,7232,15387,11382,26422,14622,27847,8311,16624,6206,27014,11911,27114
10,6795,10520,3155,8832,1719,11102,2244,15476,9882,10069,8014,16422
11,516,2351,2396,989,865,364,0,1746,1758,1548,1897,1103
12,0,366,0,0,0,0,0,560,81,763,0,203
13,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
