,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
,women,men,women,men,women,men,women,men,women,men,women,men
0,913086,921306,964632,909098,914258,861130,825234,716437,834072,662267,796523,637386
2,372075,461930,442579,460393,454929,527947,439777,480126,438608,404874,377045,351153
4,319758,336770,291972,345527,352022,363515,360038,366073,357317,376395,376620,368282
6,387358,324785,312408,249565,270891,237369,234659,229451,272709,244802,273111,266403
8,469088,394893,381463,306031,325816,250195,235280,223282,198895,176100,175404,170966
10,526440,445497,492617,430318,446099,353589,343096,293960,325062,233787,246534,174246
12,351905,334360,385631,327033,393312,292989,397108,268203,246017,232088,206446,175226
14,242986,217624,236516,245316,227052,203014,257146,235611,244916,228670,197663,200585
16,148017,143508,140940,140518,138148,126923,115588,114891,136644,160293,134877,123746
18,59674,70819,75855,93391,63201,84409,51738,71836,61459,92492,52304,81226
20,19824,34523,22780,37111,13575,49885,33044,45970,39457,30863,34038,36459
22,2380,5933,5731,11342,5485,6247,3822,7754,4301,12897,11022,13911
24,0,1490,285,529,3021,1856,166,976,245,486,0,304
26,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0
