,A,I,P,T,U,dates,Total,E
130,0.09174503501423326,0.34692411596641415,0.3223152135830827,0.15133105555414156,0.0876845798821284,2005Q1,2125549.9,0.47364626913722424
131,0.09089364624689159,0.34858105533469513,0.31953733837824566,0.16205058502766015,0.0789373750125076,2005Q2,2128007.9299999997,0.4815879234059058
132,0.09303785806984788,0.3460564718063461,0.33085252358895445,0.1605747591911936,0.06947838734365809,2005Q3,2166788.4899999998,0.4914272827801481
133,0.08973131479455732,0.33296431911559055,0.3327742964360608,0.1701991895671642,0.07433088008662693,2005Q4,2173845.7800000003,0.5029734860032251
134,0.08769918015793995,0.32068373339024725,0.3307745096879055,0.17965078462392067,0.08119179213998666,2006Q1,2181915.38,0.5104252943118261
135,0.08918942853647636,0.32100323696556526,0.3262043225358844,0.17984928656085838,0.08375372540121541,2006Q2,2153717.6900000004,0.5060536090967428
136,0.08654745720661547,0.3308529806041172,0.32695318675581275,0.17345141564313962,0.08219495979031495,2006Q3,2164396.46,0.5004046023989523
137,0.08436719934042018,0.3057427950705868,0.3387128279316018,0.18488997251150424,0.08628720514588697,2006Q4,2176706.96,0.523602800443106
138,0.086335339790819,0.2995411162742461,0.356235757649674,0.17099557530763204,0.0868922109776288,2007Q1,2202322.6,0.5272313329573061
139,0.08355217565952235,0.3072653379502458,0.36933026712325906,0.16912128387148684,0.07073093539548592,2007Q2,2188204.06,0.538451550994746
140,0.08186921088094988,0.31676838411456737,0.37095332272761805,0.15828820225983456,0.07212088001703004,2007Q3,2211901.74,0.5292415249874526
141,0.08316316929396755,0.2893029297665043,0.3795841393756888,0.17511796421086973,0.0728317973529696,2007Q4,2224314.46,0.5547021035865585
142,0.0863273427588919,0.28042463814333196,0.3778491393527948,0.17203587366714126,0.08336300607783995,2008Q1,2228447.95,0.5498850130199361
143,0.07988337981507804,0.28117876337161307,0.39051778539850057,0.1608902152253184,0.08752985618948969,2008Q2,2250396.0200000005,0.551408000623819
144,0.07869222547775158,0.28135126533517085,0.38638816980755203,0.16095555185223898,0.09261278752728655,2008Q3,2254195.62,0.547343721659791
