,A,I,P,T,U,dates,E,Total
130,0.06360339627826656,0.2425725638471518,0.22487225738836952,0.09267877722266514,0.05872197065251234,2005Q1,0.3175510346110347,5247573.55
131,0.06478255964778479,0.23623563149171134,0.22430623572175779,0.0999291868684791,0.05051096368003009,2005Q2,0.3242354225902369,5335338.12
132,0.06265187974655524,0.2387089477672969,0.22601755301680984,0.10136879926397371,0.04386646792458077,2005Q3,0.32738635228078355,5421143.33
133,0.06211583420111069,0.2247845929759294,0.2272640051230501,0.1050012685493961,0.0485690254780675,2005Q4,0.3322652736724462,5495726.08
134,0.06167848839939851,0.22104226339838026,0.22701428999900172,0.10632755595781924,0.05059555628857936,2006Q1,0.3333418459568209,5559194.93
135,0.062343922352963294,0.21925392220189982,0.2272709076201,0.10651597070196861,0.05082839880099969,2006Q2,0.3337868783220686,5546013.58
136,0.06297484592101812,0.2241631473912591,0.22905568564776682,0.10308732594291331,0.04857598350636246,2006Q3,0.3321430115906801,5570535.9
137,0.05986513166622293,0.20807294014368113,0.2332634745351608,0.10745510165575872,0.05062477580825675,2006Q4,0.3407185761909195,5683750.800000001
138,0.060683390385768934,0.20049061277355013,0.24335477735971212,0.10114620749644507,0.049824027128366644,2007Q1,0.34450098485615716,5782499.26
139,0.06129619733360058,0.20447036302784322,0.24573384778856244,0.09988544933989121,0.04299484538164889,2007Q2,0.34561929712845363,5794719.99
140,0.06147261630527305,0.20966387065875536,0.24791736910130122,0.09415580845259101,0.04471715792818718,2007Q3,0.34207317755389227,5839985.859999999
141,0.05852982965474266,0.19416752906405874,0.2506393653629176,0.09952356913573861,0.04697677228388633,2007Q4,0.35016293449865615,5943682.9399999995
142,0.05909380238480883,0.187075635195809,0.25145410080914005,0.09903047007206355,0.0528614206569749,2008Q1,0.3504845708812036,5987136.48
143,0.05799650652809759,0.1839589806807901,0.2565718690506204,0.09556335702691916,0.05377406063603324,2008Q2,0.35213522607753955,6071478.63
144,0.05901337444096265,0.18741929324511697,0.25545592396324757,0.09342397452533996,0.05580753533674544,2008Q3,0.34887989848858747,6062790.2299999995
145,0.05916229749612879,0.16755404577240685,0.25745062619439796,0.09242949016016959,0.07352342402232921,2008Q4,0.34988011635456756,6098930.32
146,0.054324177065825034,0.16518729876808244,0.2617130474015209,0.08561972772780221,0.08582297390744627,2009Q1,0.3473327751293231,6060532.12
147,0.054448619797574135,0.16278268511102068,0.2646724913616074,0.08304762930475859,0.08732845375867335,2009Q2,0.347720120666366,6140763.369999999
148,0.05586575067600397,0.1682084773305366,0.2633093026166591,0.08271685657153283,0.08387345361707571,2009Q3,0.34602615918819185,6149401.84
149,0.054244691837024066,0.16116726651521024,0.2641948797726817,0.08240088661833996,0.09139650886572243,2009Q4,0.34659576639102163,6182610.66
150,0.053060590412172336,0.1574967833993992,0.26793229416894765,0.07765657534376788,0.0982648871629974,2010Q1,0.34558886951271556,6218513.7299999995
151,0.0533367687379352,0.1557147223247512,0.2674698652296552,0.07777341258202748,0.10046195331394833,2010Q2,0.3452432778116827,6287003.279999999
152,0.050276942677309984,0.1613773479878066,0.26820527186675347,0.07789309961677668,0.09614896636782314,2010Q3,0.3460983714835301,6339969.04
153,0.05035072849493758,0.1495375371617175,0.2695367875641386,0.08035891743489884,0.10032032434527016,2010Q4,0.34989570499903744,6383158.289999999
154,0.050367449113880504,0.1433246969802863,0.26785075528325464,0.08012585839002546,0.1103546265592729,2011Q1,0.34797661367328014,6386059.760000001
155,0.04879971577554365,0.14007226484738203,0.26722498979414394,0.08520300970938499,0.10627202037001657,2011Q2,0.3524279995035289,6407865.1899999995
156,0.049405729765291694,0.14814006441805186,0.2625877259687991,0.08352374196110977,0.11023126995683873,2011Q3,0.3461114679299089,6390155.99
157,0.05077925623089454,0.1363208754649809,0.2674634904465541,0.07847096128257837,0.12103096484585961,2011Q4,0.34593445172913245,6395902.66
158,0.05384470487637937,0.12714732601925285,0.26875752489081695,0.07652388940099224,0.12844514052074937,2012Q1,0.3452814142918092,6394835.3100000005
159,0.049916365465172446,0.1299729083960686,0.2710705362114726,0.07681412704883284,0.12434139961814819,2012Q2,0.3478846632603054,6374561.67
160,0.05180692691574971,0.1334343822771244,0.2676322396637751,0.07648526816906528,0.12652367514144522,2012Q3,0.34411750783284034,6373894.76
161,0.05232637512568955,0.12235663504648057,0.2696665085922088,0.07506187175904157,0.13586022912532902,2012Q4,0.34472838035125036,6402868.710000001
162,0.052116823072178936,0.12179877759313221,0.27286895749363815,0.06849215671111505,0.1433621709251824,2013Q1,0.34136111420475324,6363139.970000001
163,0.05160759609301568,0.12013037579889514,0.27305926260913727,0.07106487259664862,0.14001375769651744,2013Q2,0.34412413520578583,6384688.01
164,0.054606652734757705,0.1282143303791603,0.2680396132874952,0.07251694980078591,0.1360658907095198,2013Q3,0.3405565630882811,6363741.46
165,0.054273283736023685,0.11733540792182487,0.2699519097900621,0.07334233384767896,0.14180282106666928,2013Q4,0.3432942436377411,6409418.890000001
166,0.052400179968533654,0.11479287387616373,0.27471253380148064,0.07182037327245151,0.1397411320074382,2014Q1,0.3465329070739322,6445993.510000001
167,0.05193647026076748,0.11738058209069842,0.2780422771099564,0.0730221162196712,0.12855416098927913,2014Q2,0.3510643933296275,6409682.219999999
168,0.05253155378980823,0.1253040316336626,0.2760803801869917,0.07234258433962899,0.12531848552328792,2014Q3,0.3484229645266207,6403120.709999999
169,0.05075671377051924,0.11388286250728381,0.28048694646348515,0.07388820766389778,0.12661011546743117,2014Q4,0.35437515412738296,6468959.1899999995
170,0.05125242960967196,0.11299084817771683,0.2846650004432194,0.06898804126917948,0.12845063878781357,2015Q1,0.35365304171239886,6445454.049999999
