,A,I,P,T,U,dates,Total
130,0.10138923531912829,0.30533652954287904,0.38553375648030813,0.13580842473896249,0.07193205391872211,2005Q1,1788439.2699999998
131,0.09971050147468763,0.2930713607160628,0.39166419296996974,0.15342737030474923,0.062126574534530556,2005Q2,1772751.69
132,0.09999703364945525,0.3149978959403666,0.3787626494456722,0.15076901413387497,0.05547340683063099,2005Q3,1776256.69
133,0.0953509398875342,0.29789715001908373,0.3823751164826632,0.16304607092844622,0.06133072268227274,2005Q4,1817416.38
134,0.09846257212552728,0.28507677365919276,0.3908592039309555,0.15453309602189672,0.07106835426242782,2006Q1,1789541.5099999998
135,0.09680336627349422,0.2780667954199504,0.40090265052905,0.17160204784827862,0.05262513992922691,2006Q2,1807565.5499999998
136,0.09377031015144609,0.27809260167652594,0.39612477970706467,0.1764532235909769,0.05555908487398646,2006Q3,1814640.5799999998
137,0.09456366733916156,0.2557562443409667,0.4156974188590424,0.17058610970710664,0.06339655975372266,2006Q4,1856732.77
138,0.1019255340724789,0.24938637403962294,0.4256459391648171,0.15141246614799445,0.07162968657508662,2007Q1,1852741.04
139,0.0960352293160265,0.24558005010360634,0.4394457374529979,0.15651846458450133,0.06242051854286787,2007Q2,1868085.09
140,0.09241847133127988,0.25732643892342694,0.43742365097482194,0.14744085559912393,0.06539058317134741,2007Q3,1849229.5699999998
141,0.09620695903891942,0.24007808231631814,0.44250424660978205,0.15483482346978245,0.06637588856519794,2007Q4,1880164.51
142,0.09011629060200392,0.24212079138371861,0.4398581463934042,0.1539201612123687,0.07398461040850461,2008Q1,1893075.5899999999
143,0.09672774687229135,0.23405938211705804,0.43930094430226196,0.15132701806811302,0.0785849086402757,2008Q2,1881158.2599999998
144,0.10367155336665757,0.23045733613502822,0.43807288696704744,0.14743169500460165,0.08036652852666522,2008Q3,1903766.6899999997
145,0.09619270580067817,0.22457744917986217,0.43993125920775933,0.14502792729137493,0.09427065852032533,2008Q4,1915171.4100000001
146,0.09074279076951614,0.20944947434008016,0.4530620018448892,0.13484265135819692,0.1119030816873176,2009Q1,1926522.19
147,0.08967009050836663,0.2070615369228529,0.4541180881887321,0.13241035079993443,0.11673993358011409,2009Q2,1910921.6799999997
148,0.08866835280142639,0.20160470834180066,0.4504030807021629,0.14500651854657376,0.11431733960803628,2009Q3,1911361.6600000001
149,0.08207014924872014,0.19784435210276388,0.4621463369395916,0.1335614467211167,0.12437771498780774,2009Q4,1918084.1199999999
150,0.07951636349405997,0.19217983898153196,0.45059208416292734,0.13989674330342033,0.13781497005806034,2010Q1,1914982.82
151,0.0813019679673179,0.18158151824884308,0.46298817918237223,0.13636838009170707,0.13775995450975972,2010Q2,1855272.68
152,0.08302018341448732,0.18528336047775015,0.4552431785732545,0.14019866694867394,0.13625461058583402,2010Q3,1838155.78
153,0.0813873521069329,0.17150201201102777,0.4576826640113217,0.14421041097698734,0.14521756089373028,2010Q4,1856863.58
154,0.08208276413890732,0.17175864521924816,0.44693548451054455,0.1414834210061395,0.1577396851251605,2011Q1,1851022.46
155,0.080507496040252,0.17371688271218305,0.45357920677851776,0.14301682908756422,0.1491795853814831,2011Q2,1845458.3399999999
