,A,I,P,T,U,dates,Total,E
130,0.2185016588226217,0.03958027929943677,0.5562842373273668,0.1464393179538616,0.03919450659671322,2005Q1,12961.0,0.7027235552812283
131,0.21426900584795322,0.03641325536062378,0.5607797270955166,0.15555555555555556,0.03298245614035088,2005Q2,12825.0,0.7163352826510722
132,0.2136656844787768,0.03838496456159911,0.5606434657959704,0.15306203711077487,0.034243848052878875,2005Q3,12557.0,0.7137055029067453
133,0.21926359039190899,0.038321744627054365,0.5553887484197219,0.1556573957016435,0.0313685208596713,2005Q4,12656.0,0.7110461441213654
134,0.2200091575091575,0.037164224664224664,0.5550976800976801,0.15354090354090355,0.03418803418803419,2006Q1,13104.0,0.7086385836385837
135,0.22626129103326725,0.035396930307703606,0.5514430491297643,0.15465961665565103,0.03223911287361386,2006Q2,13617.0,0.7061026657854153
136,0.2272489344201002,0.03836087639273162,0.5544006580423241,0.14820907799297092,0.031780453151873174,2006Q3,13373.0,0.702609736035295
137,0.22606422703510082,0.040328603435399554,0.5538461538461539,0.149663928304705,0.030097087378640777,2006Q4,13390.0,0.7035100821508589
138,0.2279830582736965,0.03738863735942748,0.5592230173798743,0.1430553527092157,0.03234993427778589,2007Q1,13694.0,0.7022783700890901
139,0.22734122712594187,0.034589163975601,0.5656261212773591,0.14373878722640832,0.02870470039468963,2007Q2,13935.0,0.7093649085037675
140,0.22559965425340345,0.03529496506518764,0.5645753799611035,0.14240437945688972,0.032125621263415685,2007Q3,13883.0,0.7069797594179932
141,0.22093274706263966,0.035536653932098324,0.569523534923953,0.13926331723491675,0.034743746846392275,2007Q4,13873.0,0.7087868521588697
142,0.21696691308404506,0.0340199526304457,0.5686499677025766,0.13916600875619034,0.04119715782674227,2008Q1,13933.0,0.7078159764587669
143,0.2155203072764777,0.03257699694146098,0.5662564905043033,0.13806102852265453,0.047585176755103493,2008Q2,14059.0,0.7043175190269578
144,0.21232533142242924,0.035471157291293444,0.5593694016481547,0.13314224292368326,0.05969186671443927,2008Q3,13955.0,0.692511644571838
145,0.20887955384949664,0.03548924458607953,0.5533425074237706,0.12660244803360615,0.07568624610704715,2008Q4,13807.0,0.6799449554573767
146,0.19440214632731492,0.03415270828801392,0.555144659560583,0.11181205133782902,0.10448843448625915,2009Q1,13791.0,0.666956710898412
147,0.19137582924718777,0.03266512835304298,0.5508364580328815,0.11371502740121142,0.11140755696567638,2009Q2,13868.0,0.6645514854340929
148,0.1947075208913649,0.03809192200557103,0.5480501392757661,0.11406685236768803,0.10508356545961003,2009Q3,14360.0,0.6621169916434541
149,0.1922890229526385,0.03786145204909507,0.548852368074336,0.11393107274114139,0.10706608418278898,2009Q4,14421.0,0.6627834408154775
150,0.1923906239131947,0.03526465883007582,0.5451763232941503,0.10885442025457327,0.11831397370800584,2010Q1,14377.0,0.6540307435487237
151,0.1927491601343785,0.03219484882418813,0.5487122060470325,0.11226203807390818,0.11408174692049272,2010Q2,14288.0,0.6609742441209406
152,0.1904560214598334,0.035578144853875476,0.5446844557390936,0.11478187208809826,0.11449950585909925,2010Q3,14166.0,0.6594663278271918
153,0.19128277817150957,0.03423104181431609,0.5445074415308292,0.11148121899362154,0.1184975194897236,2010Q4,14110.0,0.6559886605244507
154,0.18711850136813302,0.034589209289272435,0.5412193924086157,0.11001192731354803,0.12706096962043079,2011Q1,14253.0,0.6512313197221637
155,0.1836186164945537,0.037133965200169754,0.5386193238081766,0.11416041872966473,0.12646767576743528,2011Q2,14138.0,0.6527797425378413
156,0.1842651585653948,0.03715369747297587,0.5352566397021977,0.11310759538979168,0.1302169088696399,2011Q3,13969.0,0.6483642350919894
157,0.18724983625645877,0.03544137981224074,0.5260898042354996,0.11389272978676952,0.13732624990903136,2011Q4,13741.0,0.6399825340222691
158,0.1827750515610554,0.03477704288457435,0.5291231064646895,0.10454448474503947,0.1487803143446412,2012Q1,14061.0,0.633667591209729
159,0.18141306691583411,0.03543448573276792,0.5208078775246172,0.10443470135844174,0.15790986846833896,2012Q2,13913.0,0.625242578883059
160,0.1833211944646759,0.03546977421704297,0.5227239621267298,0.10014566642388929,0.15833940276766206,2012Q3,13730.0,0.6228696285506191
161,0.18508246971245074,0.03503138227995913,0.520580937089476,0.1007152240548825,0.15858998686323164,2012Q4,13702.0,0.6212961611443585
162,0.1846956010868767,0.03598443122567379,0.5172945582727473,0.09377983403099067,0.16824557538371154,2013Q1,13617.0,0.611074392303738
163,0.18411289735942388,0.03608059940350622,0.5159671200989306,0.09849421692005529,0.16534516621808396,2013Q2,13747.0,0.614461337018986
164,0.18580559841304828,0.03541253397986922,0.5120123429579017,0.10462126221438542,0.16214826243479538,2013Q3,13611.0,0.6166336051722872
165,0.18130663548669979,0.034200526161940956,0.5150540777550424,0.11129786612101725,0.1581408944752996,2013Q4,13684.0,0.6263519438760596
166,0.17990311215502056,0.03611274221961245,0.5092483852025836,0.11054022313564299,0.16419553728714034,2014Q1,13624.0,0.6197886083382267
167,0.1807632224949788,0.031689355054675294,0.5174440229115524,0.11604552555233207,0.15405787398646137,2014Q2,13443.0,0.6334895484638845
168,0.18215557070362795,0.03408316291751875,0.5230629402408543,0.11785200333257594,0.142846322805423,2014Q3,13203.0,0.6409149435734303
169,0.18734024958652834,0.033453615997594346,0.5227785295444294,0.11840324763193505,0.13802435723951287,2014Q4,13302.0,0.6411817771763645
170,0.18002588109918552,0.034558879500647025,0.5296490827433965,0.11410519905610109,0.14166095760066985,2015Q1,13137.0,0.6437542817994976
171,0.1828198960192442,0.03111662916117017,0.5349577093194693,0.1261736633817025,0.1249321021184139,2015Q2,12887.0,0.6611313727011717
172,0.18800609316122827,0.03447446484406318,0.5353162831716508,0.12651326866030627,0.11568989016275154,2015Q3,12473.0,0.661829551831957
173,0.18756468434041876,0.03120770639280312,0.539686330706154,0.12889101186211288,0.11265026669851126,2015Q4,12561.0,0.6685773425682668
174,0.18656297602822094,0.030706325663433016,0.5457387957989257,0.12098131965044497,0.11601058285897539,2016Q1,12473.0,0.6667201154493706
175,0.18770226537216828,0.031229773462783172,0.5524271844660195,0.12289644012944984,0.1057443365695793,2016Q2,12360.0,0.6753236245954692
176,0.1884010751812332,0.031685265129917733,0.5546957725828785,0.12983627922130814,0.09538160788466238,2016Q3,12277.0,0.6845320518041866
177,0.18518213284984342,0.03395417834184935,0.5610680731827922,0.12732816878193506,0.09246744684358002,2016Q4,12134.0,0.6883962419647273
178,0.18616158338741076,0.03577222582738482,0.5630272550292018,0.12037637897469176,0.09466255678131083,2017Q1,12328.0,0.6834036340038936
179,0.18795081967213115,0.034508196721311474,0.5660655737704918,0.12901639344262295,0.08245901639344262,2017Q2,12200.0,0.6950819672131148
180,0.18683598937583,0.03851261620185923,0.5650730411686588,0.13437915006640105,0.075199203187251,2017Q3,12048.0,0.6994521912350598
181,0.18276288659793816,0.0337319587628866,0.571958762886598,0.13237113402061856,0.07917525773195876,2017Q4,12125.0,0.7043298969072165
182,0.18258954067063718,0.034266133637921185,0.5777922819613283,0.12547931794076855,0.07987272578934486,2018Q1,12257.0,0.7032715999020968
183,0.18183300717547293,0.03514350945857795,0.5820287018917156,0.13005544683626877,0.07093933463796477,2018Q2,12264.0,0.7120841487279843
184,0.18241285087356132,0.03494245259584334,0.587397532499793,0.1278463194501946,0.06740084458060777,2018Q3,12077.0,0.7152438519499876
185,0.1852095857695792,0.03368195668286256,0.5837931318455077,0.1331631392571852,0.06415218644486535,2018Q4,12143.0,0.7169562711026929
186,0.1848766680145572,0.033966841892438336,0.5865750101091791,0.1279417711281844,0.06663970885564093,2019Q1,12365.0,0.7145167812373635
187,0.18215794605134872,0.030549236269093272,0.5910789730256744,0.1310529736756581,0.06516087097822554,2019Q2,12308.0,0.7221319467013325
188,0.18033195020746887,0.034854771784232366,0.593195020746888,0.12804979253112034,0.06356846473029046,2019Q3,12050.0,0.7212448132780083
189,0.18219201074185967,0.03239342061094327,0.5958375293722725,0.12462235649546828,0.0649546827794562,2019Q4,11916.0,0.7204598858677409
190,0.1837215388641717,0.04422925935618948,0.5953066387507633,0.11506586408444561,0.061676698944429904,2020Q1,11463.0,0.7103725028352089
191,0.18186833394630378,0.059580728208900334,0.5917616770871644,0.09700257447591026,0.06978668628172122,2020Q2,10876.0,0.6887642515630746
192,0.179363274587834,0.04434337691870381,0.6018571157854842,0.1101951866590866,0.06424104604889141,2020Q3,10554.0,0.7120523024445707
193,0.1837378176953946,0.04127651442767055,0.6063443531435123,0.10997515765335372,0.058666157080068795,2020Q4,10466.0,0.7163195107968661
194,0.17966202193892677,0.0454590374542939,0.6063840300424943,0.10455578614487597,0.06393912441940904,2021Q1,10119.0,0.7109398161873703
195,0.18476366246283196,0.039577565877166,0.6139649338665026,0.10673638880344509,0.05495744899005434,2021Q2,9753.0,0.7207013226699477
196,0.17976075008082767,0.0359952581097101,0.6164457376872507,0.11035671947408125,0.057441534648130184,2021Q3,9279.0,0.7268024571613321
197,0.18393865161359038,0.036638619661305785,0.6147619554798168,0.10927681329215039,0.05538395995313665,2021Q4,9389.0,0.7240387687719672
