,A,I,P,T,U,dates,Total,E
130,0.20931150511660565,0.02812279524286398,0.580001360216507,0.14715227562060906,0.03541206380341435,2005Q1,971904.1,0.727153635837116
131,0.19541378483402067,0.023783274214933585,0.5804460592590852,0.17237731101969864,0.02797957067226191,2005Q2,947361.5700000001,0.7528233702787839
132,0.1869344444774266,0.01935741449446742,0.5855972756481572,0.1756211593866479,0.0324897059933009,2005Q3,992118.55,0.7612184350348051
133,0.19999845347875364,0.02258922790008387,0.5673409927756443,0.18379096182379656,0.026280364021721563,2005Q4,980264.5800000001,0.7511319545994409
134,0.20331262008654086,0.020356610619987503,0.5562479497104874,0.19075642060044945,0.029326398982534675,2006Q1,967942.5700000001,0.7470043703109368
135,0.20507833276512483,0.014281870803564974,0.5510578105421452,0.19755412649816684,0.0320278593909983,2006Q2,967983.83,0.7486119370403119
136,0.20921484647268251,0.022970584229680437,0.5498164153046672,0.19037453974979074,0.027623614243179027,2006Q3,981783.9100000001,0.7401909550544579
137,0.20609441367973932,0.02461620632618472,0.5439143923189171,0.19518795314180246,0.030187034533356357,2006Q4,983988.3400000001,0.7391023454607196
138,0.20179658941485093,0.02526287215389154,0.569260171637818,0.17086220841569846,0.03281815837774098,2007Q1,992728.77,0.7401223800535164
139,0.19698863417176443,0.025638821869398712,0.5830987958564093,0.1661923118220892,0.02808143628033842,2007Q2,1007596.6099999999,0.7492911076784985
140,0.19823641134671627,0.022077433431064046,0.5881452787971072,0.16234953426567242,0.029191342159440088,2007Q3,1016722.35,0.7504948130627797
141,0.19719403171935254,0.02404016993012653,0.5903849656189176,0.15680495893632454,0.03157587379527881,2007Q4,1029420.76,0.7471899245552421
142,0.20070657946304588,0.022496052679344913,0.5780094398799464,0.15917933904151532,0.039608588936147514,2008Q1,1025835.08,0.7371887789214617
143,0.19852087517652547,0.023741105786379692,0.5681405073371155,0.16169372523827844,0.047903786461700945,2008Q2,1016687.69,0.7298342325753939
144,0.2023072570670088,0.02385681003989413,0.5647537772692266,0.14792275057840323,0.06115940504546735,2008Q3,1030552.7,0.7126765278476297
145,0.20116706842963578,0.028395587378048304,0.554460117271803,0.1372010185142892,0.07877620840622371,2008Q4,1021311.15,0.6916611357860922
146,0.17540169425641186,0.024391929047070528,0.5521155871148676,0.12773730835832553,0.12035348122332452,2009Q1,1024447.0599999999,0.679852895473193
147,0.17052696881626855,0.027752947360863527,0.5356320139912661,0.13534217180685168,0.13074589802474995,2009Q2,1039048.2000000001,0.6709741857981179
148,0.16374447881764423,0.032632161009714666,0.5284095845356288,0.13521397650035408,0.13999979913665814,2009Q3,1025572.9000000001,0.6636235610359829
149,0.1571013029883115,0.028633338559884158,0.5429174148689453,0.13100885186772915,0.14033909171513,2009Q4,1033505.0499999999,0.6739262667366744
150,0.1678362792626009,0.028930872269254174,0.5294238573868776,0.1372260468643887,0.13658294421687872,2010Q1,1034655.98,0.6666499042512662
151,0.17232671093545412,0.026205088386662558,0.5417410100786098,0.12975233242648807,0.12997485817278545,2010Q2,1035700.38,0.6714933425050978
152,0.17581597073890756,0.026209482715627945,0.5288605056824618,0.13134372427892063,0.13777031658408215,2010Q3,1034657.1999999998,0.6602042299613824
