,A,I,P,T,U,dates,Total,E
130,0.18939267190898443,0.07227706207127321,0.552785678433997,0.14505604818470805,0.04048853940103731,2005Q1,5977.0,0.697841726618705
131,0.19265899864682004,0.06867388362652233,0.550575101488498,0.14884979702300405,0.03924221921515562,2005Q2,5912.0,0.699424898511502
132,0.1870796460176991,0.06424778761061947,0.5591150442477876,0.1520353982300885,0.03752212389380531,2005Q3,5650.0,0.7111504424778761
133,0.19105409153952843,0.06952149791955617,0.5589459084604715,0.14528432732316227,0.03519417475728155,2005Q4,5768.0,0.7042302357836339
134,0.19132313829787234,0.06682180851063829,0.5575132978723404,0.15043218085106383,0.0339095744680851,2006Q1,6016.0,0.7079454787234043
135,0.18815934498504172,0.06502912927098095,0.5573925366084082,0.15808534089119824,0.03133364824437097,2006Q2,6351.0,0.7154778774996063
136,0.18670638031039347,0.0661545696817683,0.5620003135287662,0.15315880232011286,0.031979934158959084,2006Q3,6379.0,0.7151591158488791
137,0.17820571603240104,0.0658719241937949,0.5662540119211371,0.154210606755311,0.03545774109735595,2006Q4,6543.0,0.7204646186764481
138,0.1840788699234844,0.06312536786344909,0.553708063566804,0.15935844614479105,0.039729252501471454,2007Q1,6796.0,0.713066509711595
139,0.18376005852231164,0.0632040965618142,0.5594732991953182,0.1568397951719093,0.03672275054864667,2007Q2,6835.0,0.7163130943672275
140,0.1861662987490802,0.06534216335540839,0.5607064017660044,0.15143487858719648,0.03635025754231052,2007Q3,6795.0,0.7121412803532009
141,0.1864781263809103,0.06451612903225806,0.5619384298129327,0.14891736632788333,0.038149948446015616,2007Q4,6789.0,0.7108557961408161
142,0.1856663260837834,0.06480805721792439,0.5615238651291782,0.14231499051233396,0.04568676105678003,2008Q1,6851.0,0.7038388556415122
143,0.1914738833115088,0.06270915175323731,0.5573985159319075,0.13822202822639312,0.0501964207769533,2008Q2,6873.0,0.6956205441583005
144,0.19161853990818895,0.06885828520657486,0.5561972456685917,0.12512957204205538,0.05819635717458907,2008Q3,6753.0,0.6813268177106471
145,0.1791728212703102,0.06661742983751846,0.5605612998522895,0.11314623338257017,0.08050221565731167,2008Q4,6770.0,0.6737075332348597
146,0.1710953646294656,0.065249483318571,0.5518157661647476,0.10584588131089459,0.10599350457632123,2009Q1,6774.0,0.6576616474756422
147,0.1691900632074085,0.06923416139938263,0.5454946347199765,0.10848155225635749,0.1075995884168749,2009Q2,6803.0,0.653976186976334
148,0.17182942075288235,0.07403806084178358,0.5393804695096541,0.11029309626336992,0.10445895263231005,2009Q3,7199.0,0.649673565773024
149,0.16394813885403597,0.06942701798410707,0.5370138017565872,0.11320228635159627,0.1164087550536735,2009Q4,7173.0,0.6502160881081834
150,0.1619806966009232,0.07231780668624982,0.5300041963911036,0.11036508602601762,0.12533221429570568,2010Q1,7149.0,0.6403692824171213
