,A,I,P,T,U,dates,Total,E
130,0.141161298681598,0.029215245910511382,0.5477329686205799,0.21773822162697537,0.0641522651603354,2005Q1,248524.35,0.7654711902475553
131,0.1535711188587104,0.031895084073784725,0.5375162444803115,0.2113433276823466,0.0656742249048468,2005Q2,259111.09,0.7488595721626582
132,0.1434139904678914,0.04174623661591438,0.557007518234974,0.1826225674676169,0.07520968721360334,2005Q3,256058.77000000002,0.7396300857025909
133,0.1491894412375313,0.050552547201696614,0.558122999469955,0.19962750997904877,0.04250750211176838,2005Q4,276995.33999999997,0.7577505094490038
134,0.15547410406890724,0.019532842226707342,0.5585152769138984,0.2135037044559252,0.0529740723345618,2006Q1,283604.4,0.7720189813698236
135,0.1506196045013135,0.026055309654908383,0.5422525494216762,0.23612538514077397,0.044947151281327896,2006Q2,280978.43,0.7783779345624502
136,0.15258557910205817,0.02843698867486808,0.5156803695642285,0.24330629405149373,0.059990768607351655,2006Q3,280044.42,0.7589866636157222
137,0.16998811136773423,0.017661824647870684,0.5275078615972287,0.24715360299567848,0.037688599391487915,2006Q4,302120.54,0.7746614645929072
138,0.15349456874616568,0.02479049493240539,0.5384701222386946,0.22903278171456878,0.05421203236816547,2007Q1,316697.59,0.7675029039532634
139,0.15785502525573988,0.02754679239985384,0.5602853667257605,0.19539062646185398,0.05892218915679185,2007Q2,304087.31,0.7556759931876145
140,0.17822688997352862,0.03209359551253081,0.5350352980384397,0.2052560969792129,0.04938811949628789,2007Q3,301019.56,0.7402913950176527
141,0.176660395461148,0.0465253424627692,0.5503290807808191,0.18983585126607544,0.0366493300291882,2007Q4,319029.57,0.7401649320468946
142,0.19254363045478484,0.032042490436847565,0.5491936059843312,0.165374780606387,0.06084549251764949,2008Q1,322736.14999999997,0.7145683865907182
143,0.18726703722704585,0.02698451164826989,0.5620817091750101,0.16207752198229858,0.06158921996737572,2008Q2,323844.66,0.7241592311573086
144,0.19979875921979773,0.03394925351569343,0.5690863564700422,0.11962025206879333,0.07754537872567338,2008Q3,317679.14999999997,0.6887066085388355
145,0.17190511269059117,0.034817483153914586,0.5528253308907702,0.14855118215689503,0.09190089110782904,2008Q4,338546.01,0.7013765130476652
146,0.15970501915855373,0.028722388020641927,0.5536234389487571,0.11893221351273786,0.1390169403593093,2009Q1,339321.02,0.6725556524614951
147,0.15568166707205958,0.028380329246558127,0.5322098668627987,0.15792117223130517,0.12580696458727844,2009Q2,345549.55,0.6901310390941039
148,0.1394116704044709,0.039948029245400966,0.5391510049231238,0.16609663883972606,0.11539265658727821,2009Q3,354807.24,0.70524764376285
149,0.1414146598323218,0.03225866484719314,0.5571949516578371,0.12569551364353496,0.14343621001911297,2009Q4,361628.42000000004,0.682890465301372
150,0.1343776562293947,0.029327696368124035,0.5503258617748843,0.13656953307309425,0.1493992525545026,2010Q1,365955.78,0.6868953948479786
151,0.14412701829876423,0.03170587857097413,0.5368375367503093,0.14468364939420794,0.14264591698574433,2010Q2,357112.64,0.6815211861445173
152,0.13440322543301134,0.021326455018313067,0.5554042136565976,0.14672392587895178,0.14214218001312626,2010Q3,352865.49,0.7021281395355494
153,0.14503504296284236,0.030938056397900867,0.5465170790484438,0.14008466489859014,0.13742515669222288,2010Q4,358427.17,0.686601743947034
154,0.12058429900519387,0.025129684254151,0.5668367335866149,0.1300862298577095,0.15736305329633077,2011Q1,373231.50999999995,0.6969229634443245
155,0.12364722531254471,0.02687853190495322,0.5642012835101482,0.1602812329179488,0.12499172635440521,2011Q2,371662.04,0.724482516428097
156,0.10148415207889529,0.033164869411677345,0.5778908976835947,0.16554656650035496,0.12191351432547762,2011Q3,376664.23000000004,0.7434374641839496
157,0.10479124675910714,0.03694125377365897,0.5453761533291348,0.14511031829458218,0.16778102784351676,2011Q4,391400.63000000006,0.690486471623717
158,0.11686669590375605,0.044523980090393704,0.534652603768604,0.11354316799475435,0.19041355224249185,2012Q1,375778.4,0.6481957717633584
159,0.11246739474699846,0.022771477532370705,0.5349837983145349,0.14899222164918272,0.18078510775691337,2012Q2,365807.61999999994,0.6839760199637176
160,0.11593090379557067,0.031260747708969555,0.5504487520871533,0.15225151254943964,0.15010808385886693,2012Q3,357837.89,0.7027002646365929
161,0.10904936048475684,0.036601726011543406,0.5422175521776216,0.14889106480903008,0.163240296517048,2012Q4,364545.65,0.6911086169866516
162,0.10894297877820655,0.03051126360479257,0.546422325543277,0.11553448157270449,0.19858895050101927,2013Q1,341653.50000000006,0.6619568071159815
163,0.11306626328927247,0.02654777548904782,0.5440336284644631,0.14919207067305781,0.167160262084159,2013Q2,351485.56999999995,0.693225699137521
164,0.12675190549458437,0.028653343022002037,0.5368917988707722,0.13590699602069034,0.17179595659195113,2013Q3,353581.43,0.6727987948914625
165,0.1276484344810962,0.04107719875281835,0.5508330124287456,0.1340599326696397,0.14638142166770013,2013Q4,344780.57,0.6848929450983853
166,0.1441213398035569,0.040711092994046696,0.5228142536310132,0.13310467102741705,0.15924864254396617,2014Q1,348744.26,0.6559189246584302
167,0.154033916720014,0.02062313479649255,0.5393999375357447,0.1331467424667003,0.15279626848104863,2014Q2,357484.44999999995,0.6725466800024449
168,0.15009818570238115,0.033253610897028205,0.5459630757718792,0.15132029706525196,0.11936483056345941,2014Q3,338537.07,0.6972833728371312
169,0.1435244627998104,0.037525410975317815,0.5422971674402077,0.14673703193455354,0.12991592685011052,2014Q4,327407.74,0.6890341993747613
