,A,I,P,T,U,dates,Total,E
130,0.11290322580645161,0.2157258064516129,0.4415322580645161,0.14919354838709678,0.08064516129032258,2005Q1,496.0,0.5907258064516129
131,0.088659793814433,0.20618556701030927,0.44742268041237115,0.18350515463917524,0.07422680412371134,2005Q2,485.0,0.6309278350515464
132,0.08350730688935282,0.2150313152400835,0.47390396659707723,0.15657620041753653,0.0709812108559499,2005Q3,479.0,0.6304801670146137
133,0.09771309771309772,0.1891891891891892,0.4553014553014553,0.18295218295218296,0.07484407484407485,2005Q4,481.0,0.6382536382536382
134,0.10313075506445672,0.1731123388581952,0.48250460405156537,0.17863720073664824,0.06261510128913444,2006Q1,543.0,0.6611418047882136
135,0.09601449275362318,0.14855072463768115,0.4945652173913043,0.19927536231884058,0.06159420289855073,2006Q2,552.0,0.6938405797101449
136,0.09566787003610108,0.16967509025270758,0.4675090252707581,0.20397111913357402,0.0631768953068592,2006Q3,554.0,0.6714801444043321
137,0.08093525179856115,0.1510791366906475,0.45863309352517984,0.22661870503597123,0.08273381294964029,2006Q4,556.0,0.685251798561151
138,0.09123434704830054,0.16279069767441862,0.49552772808586765,0.16815742397137745,0.08228980322003578,2007Q1,559.0,0.6636851520572451
139,0.08823529411764706,0.1522491349480969,0.48788927335640137,0.19550173010380623,0.07612456747404844,2007Q2,578.0,0.6833910034602076
140,0.1003584229390681,0.15770609318996415,0.4838709677419355,0.17921146953405018,0.07885304659498207,2007Q3,558.0,0.6630824372759857
141,0.11873840445269017,0.11873840445269017,0.5046382189239332,0.18552875695732837,0.07235621521335807,2007Q4,539.0,0.6901669758812616
142,0.10830324909747292,0.1371841155234657,0.5090252707581228,0.16787003610108303,0.0776173285198556,2008Q1,554.0,0.6768953068592057
143,0.10215053763440861,0.12544802867383512,0.5125448028673835,0.1863799283154122,0.07347670250896057,2008Q2,558.0,0.6989247311827957
144,0.10067114093959731,0.12248322147651007,0.5151006711409396,0.18120805369127516,0.08053691275167785,2008Q3,596.0,0.6963087248322147
145,0.08737864077669903,0.1343042071197411,0.5048543689320388,0.19579288025889968,0.07766990291262135,2008Q4,618.0,0.7006472491909385
146,0.08103727714748785,0.11993517017828201,0.5283630470016207,0.15883306320907617,0.11183144246353323,2009Q1,617.0,0.6871961102106969
147,0.07766990291262135,0.10841423948220065,0.5420711974110033,0.16181229773462782,0.11003236245954692,2009Q2,618.0,0.7038834951456311
148,0.08588957055214724,0.12269938650306748,0.5230061349693251,0.16717791411042945,0.10122699386503067,2009Q3,652.0,0.6901840490797546
149,0.0723781388478582,0.1137370753323486,0.5317577548005908,0.16248153618906944,0.11964549483013294,2009Q4,677.0,0.6942392909896603
150,0.06258890469416785,0.10241820768136557,0.5092460881934566,0.17354196301564723,0.15220483641536273,2010Q1,703.0,0.6827880512091038
151,0.07203389830508475,0.09887005649717515,0.5070621468926554,0.1751412429378531,0.14689265536723164,2010Q2,708.0,0.6822033898305084
152,0.07503607503607504,0.10533910533910534,0.5064935064935064,0.16017316017316016,0.15295815295815296,2010Q3,693.0,0.6666666666666666
153,0.08653846153846154,0.07692307692307693,0.5151098901098901,0.16071428571428573,0.16071428571428573,2010Q4,728.0,0.6758241758241759
154,0.08108108108108109,0.10167310167310167,0.49163449163449163,0.17245817245817247,0.15315315315315314,2011Q1,777.0,0.6640926640926641
155,0.07712082262210797,0.09511568123393316,0.5089974293059126,0.16709511568123395,0.15167095115681234,2011Q2,778.0,0.6760925449871465
156,0.0735873850197109,0.1011826544021025,0.5019710906701709,0.17082785808147175,0.15243101182654403,2011Q3,761.0,0.6727989487516426
157,0.0728744939271255,0.09446693657219973,0.5074224021592443,0.18083670715249664,0.14439946018893388,2011Q4,741.0,0.6882591093117408
158,0.06976744186046512,0.08481532147742818,0.4993160054719562,0.16415868673050615,0.18194254445964433,2012Q1,731.0,0.6634746922024624
159,0.06266666666666666,0.096,0.5066666666666667,0.16,0.17466666666666666,2012Q2,750.0,0.6666666666666666
160,0.0651872399445215,0.0970873786407767,0.4909847434119279,0.15811373092926492,0.18862690707350901,2012Q3,721.0,0.6490984743411928
161,0.0676056338028169,0.08309859154929577,0.5098591549295775,0.14084507042253522,0.19859154929577466,2012Q4,710.0,0.6507042253521127
162,0.07507082152974505,0.0679886685552408,0.5254957507082153,0.13314447592067988,0.19830028328611898,2013Q1,706.0,0.6586402266288952
163,0.07768361581920905,0.06779661016949153,0.518361581920904,0.1497175141242938,0.1864406779661017,2013Q2,708.0,0.6680790960451978
164,0.07212205270457697,0.07766990291262135,0.5090152565880721,0.1553398058252427,0.18585298196948682,2013Q3,721.0,0.6643550624133149
165,0.0728744939271255,0.08232118758434548,0.5155195681511471,0.1592442645074224,0.1700404858299595,2013Q4,741.0,0.6747638326585695
166,0.06747638326585695,0.08502024291497975,0.5263157894736842,0.15114709851551958,0.1700404858299595,2014Q1,741.0,0.6774628879892037
167,0.06382978723404255,0.08111702127659574,0.5279255319148937,0.1702127659574468,0.15691489361702127,2014Q2,752.0,0.6981382978723404
168,0.06721536351165981,0.09327846364883402,0.5075445816186557,0.15363511659807957,0.17832647462277093,2014Q3,729.0,0.6611796982167353
169,0.07636887608069164,0.08501440922190202,0.4755043227665706,0.18876080691642652,0.17435158501440923,2014Q4,694.0,0.6642651296829971
170,0.06766917293233082,0.09924812030075188,0.4932330827067669,0.15338345864661654,0.18646616541353384,2015Q1,665.0,0.6466165413533834
171,0.07339449541284404,0.0779816513761468,0.4923547400611621,0.1636085626911315,0.1926605504587156,2015Q2,654.0,0.6559633027522935
172,0.08292682926829269,0.06991869918699187,0.49105691056910566,0.1902439024390244,0.16585365853658537,2015Q3,615.0,0.6813008130081301
173,0.09180327868852459,0.08852459016393442,0.4885245901639344,0.15901639344262294,0.1721311475409836,2015Q4,610.0,0.6475409836065574
174,0.09523809523809523,0.08095238095238096,0.4857142857142857,0.15714285714285714,0.18095238095238095,2016Q1,630.0,0.6428571428571429
175,0.09268292682926829,0.08130081300813008,0.5040650406504065,0.17560975609756097,0.14634146341463414,2016Q2,615.0,0.6796747967479675
176,0.08116385911179173,0.0888208269525268,0.5038284839203675,0.18989280245022971,0.1362940275650842,2016Q3,653.0,0.6937212863705973
177,0.07357357357357357,0.09309309309309309,0.5255255255255256,0.18468468468468469,0.12312312312312312,2016Q4,666.0,0.7102102102102102
178,0.0687593423019432,0.09566517189835576,0.5216741405082213,0.19133034379671152,0.12257100149476831,2017Q1,669.0,0.7130044843049327
179,0.06986899563318777,0.10043668122270742,0.5356622998544396,0.1819505094614265,0.11208151382823872,2017Q2,687.0,0.7176128093158661
180,0.07195301027900147,0.10425844346549193,0.4948604992657856,0.21145374449339208,0.11747430249632893,2017Q3,681.0,0.7063142437591777
181,0.07142857142857142,0.08966565349544073,0.5045592705167173,0.2006079027355623,0.1337386018237082,2017Q4,658.0,0.7051671732522796
182,0.07715582450832073,0.11195158850226929,0.4947049924357035,0.1951588502269289,0.12102874432677761,2018Q1,661.0,0.6898638426626323
183,0.07053291536050156,0.10031347962382445,0.493730407523511,0.219435736677116,0.11598746081504702,2018Q2,638.0,0.713166144200627
184,0.0791044776119403,0.1044776119402985,0.49701492537313435,0.21194029850746268,0.10746268656716418,2018Q3,670.0,0.7089552238805971
185,0.06715328467153285,0.10656934306569343,0.5197080291970803,0.2,0.10656934306569343,2018Q4,685.0,0.7197080291970803
186,0.07713884992987377,0.09396914446002805,0.511921458625526,0.21037868162692847,0.10659186535764376,2019Q1,713.0,0.7223001402524544
187,0.08630952380952381,0.10416666666666667,0.5044642857142857,0.20684523809523808,0.09821428571428571,2019Q2,672.0,0.7113095238095238
188,0.07644305772230889,0.0967238689547582,0.5241809672386896,0.21996879875195008,0.08268330733229329,2019Q3,641.0,0.7441497659906396
189,0.07779578606158834,0.08265802269043761,0.5413290113452188,0.20421393841166938,0.0940032414910859,2019Q4,617.0,0.7455429497568882
190,0.08404802744425385,0.08919382504288165,0.5300171526586621,0.17667238421955403,0.12006861063464837,2020Q1,583.0,0.7066895368782161
191,0.07272727272727272,0.13272727272727272,0.4890909090909091,0.16363636363636364,0.14181818181818182,2020Q2,550.0,0.6527272727272727
192,0.08052434456928839,0.11610486891385768,0.4887640449438202,0.1947565543071161,0.1198501872659176,2020Q3,534.0,0.6835205992509363
193,0.0705244122965642,0.09584086799276673,0.5063291139240507,0.21338155515370705,0.11392405063291139,2020Q4,553.0,0.7197106690777577
194,0.08118081180811808,0.08856088560885608,0.5092250922509225,0.1992619926199262,0.12177121771217712,2021Q1,542.0,0.7084870848708487
195,0.07707910750507099,0.0973630831643002,0.49290060851926976,0.23123732251521298,0.10141987829614604,2021Q2,493.0,0.7241379310344828
196,0.07223476297968397,0.1038374717832957,0.5146726862302483,0.1986455981941309,0.11060948081264109,2021Q3,443.0,0.7133182844243793
197,0.07551487414187644,0.09382151029748284,0.5308924485125858,0.19221967963386727,0.10755148741418764,2021Q4,437.0,0.7231121281464531
198,0.06787330316742081,0.09954751131221719,0.5180995475113123,0.18552036199095023,0.12895927601809956,2022Q1,442.0,0.7036199095022625
199,0.07468879668049792,0.10995850622406639,0.5518672199170125,0.17012448132780084,0.09336099585062241,2022Q2,482.0,0.7219917012448133
200,0.07126948775055679,0.08908685968819599,0.5835189309576837,0.1514476614699332,0.10467706013363029,2022Q3,449.0,0.734966592427617
201,0.07860262008733625,0.10043668122270742,0.5873362445414847,0.12882096069868995,0.10480349344978165,2022Q4,458.0,0.7161572052401747
