,A,I,P,T,U,dates,Total,E
130,0.12858196987230164,0.09882992104174232,0.4372778381070842,0.2471321880506143,0.08817808292825743,2005Q1,840544.1300000001,0.6844100261576985
131,0.11782584166320732,0.08370145612267972,0.4276807487368059,0.282260526996235,0.08853142648107204,2005Q2,853388.26,0.709941275733041
132,0.13405131595732772,0.09324879257230437,0.42838709683384396,0.2743041897920754,0.0700086048444486,2005Q3,865256.78,0.7026912866259193
133,0.13829604511431218,0.09462505002653097,0.42424423231104413,0.26099517527894095,0.08183949726917167,2005Q4,834307.3,0.685239407589985
134,0.13662300794421964,0.08536661213474248,0.42753517392843093,0.27661507330735496,0.07386013268525192,2006Q1,859875.5200000001,0.7041502472357859
135,0.14248161085374644,0.0974459265584753,0.40989283101416313,0.277561065435475,0.07261856613814008,2006Q2,865632.9,0.6874538964496382
136,0.130232168636315,0.09719639341526119,0.4195282212662804,0.289506491959104,0.06353672472303935,2006Q3,897028.14,0.7090347132253844
137,0.12844691540950695,0.0903428497599437,0.4174168155000674,0.29561185432379294,0.068181565006689,2006Q4,918336.65,0.7130286698238603
138,0.1321905626634,0.08946254343055288,0.43553393340478924,0.2770441297730408,0.065768830728217,2007Q1,926510.77,0.7125780631778301
139,0.12245664753232316,0.09001970322452384,0.438809594441782,0.27831992686210016,0.07039412793927077,2007Q2,926731.56,0.7171295213038822
140,0.13467029678699477,0.0923431943186809,0.4410169257810271,0.2645127603265311,0.06745682278676617,2007Q3,934789.95,0.7055296861075583
141,0.13639342008217928,0.07588038307328308,0.4408527720378239,0.2670417981056658,0.07983162670104792,2007Q4,932663.3200000001,0.7078945701434898
142,0.1526442338290389,0.07632409635107537,0.4406568048800241,0.25246434997007866,0.0779105149697829,2008Q1,927031.48,0.6931211548501028
143,0.14423196767790858,0.08232789187378271,0.44316120134554454,0.24275268770786929,0.08752625139489481,2008Q2,943287.9700000001,0.6859138890534139
144,0.1375943709598751,0.07921134298234482,0.4550176439876818,0.22773003866133304,0.10044660340876534,2008Q3,922285.84,0.6827476826490148
