,A,I,P,T,U,dates,Total,E
130,0.07663317636493713,0.1263375349648003,0.4643700226150642,0.24201014946613944,0.0906491165890589,2005Q1,794134.38,0.7063801720812037
131,0.06951003971580494,0.1307220472805042,0.4819462792305886,0.242513748905832,0.0753078848672703,2005Q2,829145.98,0.7244600281364205
132,0.06477686334931392,0.1273477232767357,0.4736387092277172,0.24974179406603567,0.0844949100801976,2005Q3,812006.8999999999,0.7233805032937528
133,0.0645603695827131,0.11281912311645975,0.4802137846177279,0.2563611390338861,0.0860455836492132,2005Q4,809912.34,0.7365749236516139
134,0.06131179566454732,0.1143353469953068,0.4756678399206734,0.2636941880777278,0.08499082934174454,2006Q1,830834.5800000001,0.7393620279984013
135,0.06226234047551506,0.11197776637974764,0.46650551729832074,0.27981486671776046,0.07943950912865601,2006Q2,853266.3500000001,0.7463203840160813
136,0.0655268562718881,0.10816996233172281,0.4711282414400752,0.28587130405089445,0.06930363590541956,2006Q3,869179.6499999999,0.7569995454909696
137,0.08020716939720997,0.10161200909355887,0.4724079616483746,0.27116875664441437,0.07460410321644206,2006Q4,844628.6100000001,0.743576718292789
138,0.07245684800101976,0.12059874911367038,0.49207322877503074,0.24221045644804295,0.07266071766223606,2007Q1,848188.9800000001,0.7342836852230737
139,0.07986981055316104,0.11061318511269722,0.48803916639181727,0.2498516241261527,0.07162621381617192,2007Q2,863836.5299999999,0.73789079051797
140,0.07862332138011166,0.10638802108568489,0.4962552987026804,0.2574956876314042,0.06123767120011885,2007Q3,863956.76,0.7537509863340845
141,0.06655930287168434,0.11674229877846745,0.4796432295310512,0.2654749816099949,0.07158018720880191,2007Q4,869330.9200000002,0.7451182111410461
142,0.06183725092571522,0.10579734057269576,0.4934972261869654,0.250931164393413,0.08793701792121066,2008Q1,855176.6,0.7444283905803784
143,0.06574989949047633,0.10391351651371034,0.493037427982824,0.25961612598764044,0.07768303002534872,2008Q2,853277.3500000001,0.7526535539704645
144,0.07405042177256532,0.11365657080432347,0.4873395683404827,0.25101359014299207,0.07393984893963632,2008Q3,855996.8800000001,0.7383531584834747
145,0.06652953962747751,0.1036890243197703,0.4924674119231898,0.24046960437297718,0.0968444197565852,2008Q4,860899.99,0.7329370162961669
146,0.05283722463579206,0.09714721641257841,0.5086277259233818,0.21210534964386815,0.12928248338437956,2009Q1,879911.47,0.7207330755672501
147,0.05514580810086835,0.10094318662491847,0.5014085770794979,0.21468214630410082,0.12782028189061462,2009Q2,874435.6399999999,0.7160907233835987
148,0.055758227461222526,0.11258324246574176,0.494833931982726,0.21569397328904738,0.12113062480126241,2009Q3,842379.5399999999,0.7105279052717733
149,0.061822566524257924,0.10014239282096138,0.4867597042495332,0.20647130901858277,0.1448040273866647,2009Q4,837879.3200000001,0.693231013268116
150,0.06205929728744675,0.10225251142745669,0.502997482365739,0.1792587345661386,0.15343197435321904,2010Q1,828928.98,0.6822562169318775
151,0.052150855944778154,0.08816034869212691,0.4967789118465231,0.203465737557158,0.15944414595941378,2010Q2,841117.93,0.7002446494036811
152,0.0508271632994774,0.08736629020733166,0.4895787160487846,0.20246600693076525,0.16976182351364102,2010Q3,842215.8,0.6920447229795499
153,0.05658528915378492,0.09371727928474459,0.5007330572789292,0.19091537427440838,0.15804900000813282,2010Q4,829969.25,0.6916484315533376
154,0.05872383168360892,0.09344138354647002,0.48120390678474323,0.21238999188382207,0.15424088610135564,2011Q1,825819.7500000001,0.6935938986685654
155,0.05886985358329501,0.08511179169354396,0.49375107190416023,0.21209330490831793,0.15017397791068282,2011Q2,835137.63,0.7058443768124781
156,0.05632912314731537,0.09866238723310464,0.47768983152083305,0.2128789726916688,0.15443968540707814,2011Q3,835119.87,0.6905688042125019
157,0.05399643748914211,0.09242141704276186,0.46322427283733614,0.20277350029410765,0.1875843723366523,2011Q4,801951.24,0.6659977731314437
158,0.055479513249959624,0.09812694828802947,0.46665511852822955,0.19091691890456686,0.18882150102921452,2012Q1,801052.63,0.6575720374327965
