DATAFLOW,LAST UPDATE,freq,s_adj,nace_r2,sizeclas,indic_em,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2001-Q1,0.6,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2001-Q2,0.5,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2001-Q3,0.8,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2001-Q4,0.6,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2002-Q1,0.6,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2002-Q2,0.5,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2002-Q3,0.6,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2002-Q4,0.7,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2003-Q1,0.6,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2003-Q2,0.6,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2003-Q3,0.7,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2003-Q4,0.7,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2004-Q1,0.6,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2004-Q2,0.7,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2004-Q3,0.7,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2004-Q4,0.7,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2005-Q1,0.6,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2005-Q2,0.8,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2005-Q3,0.8,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2005-Q4,0.8,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2006-Q1,0.7,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2006-Q2,0.7,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2006-Q3,0.8,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2006-Q4,0.9,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2007-Q1,0.8,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2007-Q2,0.7,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2007-Q3,0.8,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBRATE,ES,2007-Q4,0.7,
