
. svy: mean permanent if age3040&husband&(parent_10==0&parent_15==0&parent_5==0),over(ciclo)
(running mean on estimation sample)

Survey: Mean estimation

Number of strata =       1             Number of obs   =    117,481
Number of PSUs   = 117,481             Population size = 51,188,785
                                       Design df       =    117,480

-------------------------------------------------------------------
                  |             Linearized
                  |       Mean   std. err.     [95% conf. interval]
------------------+------------------------------------------------
c.permanent@ciclo |
             130  |   .5852743   .0161606      .5535997    .6169489
             131  |   .5700685   .0153609      .5399614    .6001756
             132  |   .5622944   .0156748      .5315721    .5930167
             133  |   .5776999     .01542      .5474769    .6079229
             134  |   .5712902   .0147958      .5422906    .6002899
             135  |   .5663171   .0142457      .5383957    .5942384
             136  |    .550377   .0145169      .5219241    .5788299
             137  |   .5566055    .014065      .5290384    .5841726
             138  |   .5605411   .0136917      .5337056    .5873765
             139  |   .5639316    .013503      .5374659    .5903973
             140  |   .5692701   .0135691       .542675    .5958652
             141  |   .5773175   .0135052      .5508475    .6037874
             142  |   .5824689   .0133989      .5562072    .6087306
             143  |   .5789292   .0132758      .5529088    .6049496
             144  |   .5775631   .0133056      .5514842    .6036419
             145  |   .5714522   .0133692      .5452488    .5976556
             146  |   .5634825   .0135453      .5369339    .5900311
             147  |   .5517009   .0132893      .5256541    .5777477
             148  |    .560098   .0131936      .5342387    .5859572
             149  |    .558776   .0131153      .5330703    .5844818
             150  |   .5634575    .012878      .5382168    .5886981
             151  |    .556275     .01306      .5306776    .5818723
             152  |   .5649967   .0131373      .5392477    .5907457
             153  |   .5657288   .0132589      .5397416    .5917161
             154  |   .5736677   .0130651      .5480603    .5992751
             155  |   .5758953   .0130336      .5503496    .6014409
             156  |   .5831406   .0132823      .5571075    .6091737
             157  |   .5594495   .0139098      .5321865    .5867124
             158  |   .5391383   .0138084       .512074    .5662026
             159  |    .535998   .0137259      .5090954    .5629006
             160  |   .5512315   .0140924      .5236107    .5788523
             161  |   .5352733   .0144795      .5068937    .5636529
             162  |   .5454716   .0146888      .5166818    .5742614
             163  |   .5456965   .0143939      .5174847    .5739084
             164  |   .5373708   .0143427      .5092593    .5654823
             165  |   .5467998   .0145562      .5182699    .5753296
             166  |   .5444641   .0144946      .5160549    .5728733
             167  |   .5459024   .0147972      .5169002    .5749046
             168  |   .5409356    .015508        .51054    .5713311
             169  |   .5352766   .0159357      .5040428    .5665104
             170  |   .5238904   .0153666      .4937721    .5540088
             171  |   .5222001    .015438      .4919419    .5524584
             172  |    .534186   .0154442      .5039156    .5644565
             173  |   .5527723   .0154081      .5225726     .582972
             174  |    .561031   .0151014      .5314324    .5906296
             175  |   .5702719   .0151812       .540517    .6000268
             176  |   .5557617   .0152888      .5257959    .5857274
             177  |    .553851   .0151428      .5241715    .5835306
             178  |   .5449051   .0151133      .5152833    .5745269
             179  |    .552818   .0151572      .5231102    .5825258
             180  |   .5651142   .0151831      .5353555    .5948729
             181  |   .5769592   .0153764      .5468217    .6070968
             182  |   .5822557   .0153209       .552227    .6122844
             183  |   .5615685   .0153209      .5315398    .5915972
             184  |   .5564333   .0152128      .5266164    .5862502
             185  |   .5561659   .0149952      .5267756    .5855562
             186  |   .5643326   .0151291      .5346798    .5939855
             187  |   .5950065    .015075      .5654598    .6245532
             188  |   .6056869   .0154489      .5754073    .6359665
             189  |   .6017979   .0157029      .5710204    .6325754
             190  |   .6061986   .0159498      .5749373    .6374599
             191  |    .586763   .0167942      .5538467    .6196793
             192  |   .6057051   .0172816      .5718334    .6395767
             193  |    .612409     .01752      .5780701    .6467478
             194  |   .6060689   .0183902      .5700243    .6421134
             195  |   .6102808   .0192035      .5726423    .6479193
             196  |   .6098291   .0205227       .569605    .6500533
             197  |   .6129045   .0210637      .5716199    .6541891
             198  |    .645943   .0196924      .6073463    .6845397
             199  |   .6583851   .0188876      .6213657    .6954045
             200  |   .6883185   .0181114      .6528204    .7238166
             201  |   .6952645   .0183761      .6592477    .7312813
-------------------------------------------------------------------

. log close
