
. svy: mean permanent if age3040&husband==0&woman==0&(parent_10==0&parent_15==0&parent_5==0),over(ciclo)
(running mean on estimation sample)

Survey: Mean estimation

Number of strata =       1             Number of obs   =    271,668
Number of PSUs   = 271,668             Population size = 98,861,240
                                       Design df       =    271,667

-------------------------------------------------------------------
                  |             Linearized
                  |       Mean   std. err.     [95% conf. interval]
------------------+------------------------------------------------
c.permanent@ciclo |
             130  |   .4247931   .0106486      .4039221    .4456641
             131  |   .4314424   .0107604      .4103524    .4525325
             132  |   .4372991   .0111727      .4154009    .4591972
             133  |   .4201751   .0108431      .3989229    .4414273
             134  |   .4258561   .0103566      .4055574    .4461548
             135  |   .4145136   .0099975      .3949188    .4341083
             136  |   .4203841   .0100366      .4007126    .4400557
             137  |   .4236796    .009781      .4045092    .4428501
             138  |   .4276146   .0096601       .408681    .4465482
             139  |   .4363062   .0095595      .4175698    .4550425
             140  |   .4372517   .0095178       .418597    .4559063
             141  |   .4396869    .009506      .4210555    .4583183
             142  |   .4422253   .0095246      .4235574    .4608931
             143  |   .4402972   .0093519      .4219678    .4586267
             144  |    .443998   .0094003      .4255737    .4624223
             145  |   .4348266   .0095061       .416195    .4534582
             146  |   .4283978   .0095435      .4096929    .4471027
             147  |   .4327884    .009502      .4141648    .4514121
             148  |   .4245088   .0093107        .40626    .4427576
             149  |    .428775   .0094181      .4103158    .4472342
             150  |   .4145405   .0093461      .3962223    .4328587
             151  |   .4139978   .0094347      .3955061    .4324895
             152  |   .4121019   .0094549      .3935705    .4306333
             153  |   .4024325   .0095659      .3836836    .4211814
             154  |   .3963979   .0096367      .3775102    .4152857
             155  |   .3952314   .0098189      .3759867    .4144761
             156  |    .393182    .009707      .3741565    .4122076
             157  |   .3950821   .0099048       .375669    .4144952
             158  |   .3981953   .0099663      .3786616     .417729
             159  |   .3966737    .009874      .3773209    .4160266
             160  |   .3959567    .009923      .3765079    .4154055
             161  |   .3839148   .0098343      .3646397    .4031898
             162  |    .380094   .0097423      .3609994    .3991887
             163  |   .3736376   .0096523      .3547194    .3925559
             164  |   .3811766   .0097046      .3621558    .4001973
             165  |   .3708491   .0097135      .3518109    .3898873
             166  |   .3736815    .009674      .3547207    .3926422
             167  |   .3872649   .0100623       .367543    .4069867
             168  |   .3882615   .0098122      .3690299    .4074931
             169  |   .3798613   .0099118      .3604343    .3992882
             170  |   .3720718   .0097341      .3529933    .3911503
             171  |   .3733047   .0097621      .3541712    .3924382
             172  |   .3745057   .0098541       .355192    .3938195
             173  |   .3869498   .0100496      .3672529    .4066466
             174  |   .3871003   .0099854      .3675292    .4066715
             175  |   .3881644   .0099267      .3687084    .4076204
             176  |   .3898651    .009993       .370279    .4094512
             177  |   .3828186   .0099273      .3633614    .4022758
             178  |   .3915085   .0099414      .3720236    .4109934
             179  |   .3950488   .0098959       .375653    .4144445
             180  |   .3966391   .0099613      .3771153    .4161629
             181  |   .4016432   .0100042      .3820352    .4212512
             182  |   .3864995    .009931       .367035    .4059639
             183  |   .4047594   .0100307      .3850994    .4244194
             184  |    .399483   .0102138      .3794642    .4195018
             185  |   .4050887   .0101277      .3852388    .4249387
             186  |   .4134681   .0102136      .3934497    .4334865
             187  |   .4450632   .0105297      .4244253    .4657011
             188  |   .4344714    .010472      .4139466    .4549962
             189  |   .4370516   .0104934      .4164847    .4576184
             190  |   .4415304   .0107318      .4204964    .4625644
             191  |   .4189551   .0109991      .3973971     .440513
             192  |   .4178157   .0110693      .3961202    .4395112
             193  |   .4001531   .0109602      .3786715    .4216348
             194  |   .4252347   .0115311      .4026341    .4478354
             195  |    .402082   .0117381      .3790756    .4250883
             196  |   .4312306   .0126184       .406499    .4559622
             197  |   .4307293   .0124842      .4062606    .4551981
             198  |   .4489439   .0123107      .4248152    .4730726
             199  |   .4625714   .0123028      .4384582    .4866845
             200  |   .5159044   .0123698      .4916599     .540149
             201  |   .5398026   .0123217      .5156524    .5639529
-------------------------------------------------------------------

. log close
