
. svy: mean permanent if age3040&husband&father_10,over(ciclo)
(running mean on estimation sample)

Survey: Mean estimation

Number of strata =       1            Number of obs   =     299,339
Number of PSUs   = 299,339            Population size = 101,397,955
                                      Design df       =     299,338

-------------------------------------------------------------------
                  |             Linearized
                  |       Mean   std. err.     [95% conf. interval]
------------------+------------------------------------------------
c.permanent@ciclo |
             130  |   .5722235    .009011      .5545623    .5898847
             131  |   .5652128   .0090461      .5474828    .5829428
             132  |   .5607007   .0090976      .5428697    .5785317
             133  |   .5551886    .009121      .5373118    .5730655
             134  |   .5463197   .0087674      .5291358    .5635036
             135  |   .5406387   .0086078      .5237676    .5575098
             136  |   .5410446   .0087852      .5238258    .5582634
             137  |   .5374558   .0087368      .5203319    .5545797
             138  |   .5521189   .0085295      .5354012    .5688366
             139  |   .5620051    .008537      .5452727    .5787375
             140  |   .5631709   .0085045      .5465024    .5798395
             141  |    .564975   .0084684      .5483772    .5815727
             142  |   .5577864    .008513      .5411012    .5744716
             143  |   .5510246   .0085005      .5343638    .5676854
             144  |   .5508447   .0085036      .5341779    .5675115
             145  |   .5338644    .008601      .5170068    .5507221
             146  |   .5282688   .0086301      .5113541    .5451835
             147  |   .5131697   .0085816      .4963501    .5299894
             148  |   .5100423   .0084674      .4934465    .5266381
             149  |   .5202946   .0084291      .5037737    .5368154
             150  |   .5115571   .0083952      .4951027    .5280114
             151  |   .5180015    .008385      .5015672    .5344359
             152  |   .5185441   .0084654      .5019522    .5351361
             153  |   .5258575   .0085082      .5091817    .5425333
             154  |   .5120052     .00853      .4952867    .5287237
             155  |    .516361   .0087013      .4993067    .5334153
             156  |   .5135511   .0089642      .4959815    .5311207
             157  |   .5071848   .0092071      .4891391    .5252304
             158  |   .5110322   .0091357      .4931264     .528938
             159  |   .5053389   .0093068      .4870978    .5235801
             160  |   .5053288   .0094062      .4868929    .5237648
             161  |    .507752   .0093527      .4894209    .5260831
             162  |    .511409   .0093584      .4930667    .5297512
             163  |   .5019429   .0093047      .4837059    .5201799
             164  |   .5028588   .0092756      .4846788    .5210388
             165  |   .5035177   .0092566      .4853751    .5216603
             166  |   .5037676   .0092582      .4856219    .5219134
             167  |   .5176274   .0093887      .4992258    .5360291
             168  |   .5128658   .0094323      .4943788    .5313528
             169  |   .5189301   .0095454      .5002214    .5376388
             170  |   .5186025   .0095981      .4997904    .5374145
             171  |   .5281352   .0096469      .5092275    .5470429
             172  |   .5335246   .0097216      .5144706    .5525787
             173  |   .5367042   .0097016      .5176893     .555719
             174  |   .5521326   .0095663      .5333829    .5708823
             175  |   .5596746   .0095253      .5410052     .578344
             176  |    .569071   .0095615      .5503307    .5878113
             177  |   .5595028   .0096898       .540511    .5784945
             178  |   .5599589   .0096907      .5409653    .5789525
             179  |   .5597611   .0098966      .5403641    .5791581
             180  |   .5637877   .0099703      .5442462    .5833292
             181  |   .5735614   .0098857      .5541856    .5929371
             182  |   .5808388   .0097904      .5616498    .6000278
             183  |   .5854097   .0097809      .5662393    .6045801
             184  |   .5814069   .0100891      .5616325    .6011814
             185  |   .5629873   .0101333      .5431263    .5828484
             186  |   .5696379   .0102433      .5495613    .5897144
             187  |   .5751682   .0103211      .5549391    .5953973
             188  |   .5738761   .0105969      .5531064    .5946458
             189  |   .5814147   .0106433       .560554    .6022754
             190  |   .5753956   .0110497      .5537384    .5970527
             191  |   .5729383   .0116459      .5501127    .5957638
             192  |   .5854882   .0118784      .5622069    .6087695
             193  |   .5959286   .0120052      .5723989    .6194584
             194  |   .5878752   .0126491      .5630833    .6126672
             195  |   .6160205   .0128062      .5909208    .6411202
             196  |   .6032021   .0134377      .5768645    .6295397
             197  |   .5979112   .0132566      .5719287    .6238937
             198  |   .5824335   .0134865      .5560004    .6088666
             199  |   .6094282   .0132355       .583487    .6353693
             200  |   .6283331   .0131915       .602478    .6541882
             201  |   .6454525   .0131604      .6196585    .6712466
-------------------------------------------------------------------

. log close
