
. svy: mean permanent if age3040&wife==0&woman==1&(parent_10==0&parent_15==0&parent_5==0),over(ciclo)
(running mean on estimation sample)

Survey: Mean estimation

Number of strata =       1             Number of obs   =    167,422
Number of PSUs   = 167,422             Population size = 56,205,231
                                       Design df       =    167,421

-------------------------------------------------------------------
                  |             Linearized
                  |       Mean   std. err.     [95% conf. interval]
------------------+------------------------------------------------
c.permanent@ciclo |
             130  |   .4665359   .0145992      .4379219      .49515
             131  |   .4869171   .0137638      .4599404    .5138937
             132  |   .4775981   .0134196       .451296    .5039002
             133  |   .4847306   .0135904      .4580938    .5113674
             134  |     .48245    .012994      .4569821     .507918
             135  |   .4718154   .0124414      .4474305    .4962003
             136  |   .4769715   .0125484      .4523768    .5015661
             137  |   .4768619   .0125628      .4522391    .5014847
             138  |   .4939016    .012233      .4699253    .5178779
             139  |   .4868326   .0121813      .4629575    .5107077
             140  |   .4977426   .0123275       .473581    .5219042
             141  |   .4823122   .0121299       .458538    .5060865
             142  |   .4953452   .0121006      .4716282    .5190621
             143  |    .492562   .0121532      .4687421     .516382
             144  |   .4886571   .0120588      .4650221    .5122921
             145  |   .4947691   .0121414      .4709723     .518566
             146  |   .5074623   .0122458      .4834609    .5314638
             147  |   .4987729   .0123544      .4745586    .5229871
             148  |   .4942415   .0123644      .4700076    .5184754
             149  |   .4892499      .0124      .4649463    .5135536
             150  |   .5055199   .0122228      .4815636    .5294763
             151  |   .4984894   .0122654      .4744494    .5225293
             152  |    .492627   .0121494      .4688145    .5164395
             153  |   .5035665   .0122317      .4795927    .5275403
             154  |   .4829061   .0125318       .458344    .5074682
             155  |   .4978654   .0122997      .4737583    .5219726
             156  |   .4816939   .0124587       .457275    .5061127
             157  |   .4655175    .012667      .4406905    .4903445
             158  |   .4694113   .0122365       .445428    .4933945
             159  |   .4655219   .0122446      .4415228     .489521
             160  |   .4516769   .0125396      .4270996    .4762542
             161  |   .4489661   .0127276      .4240203     .473912
             162  |   .4500642   .0126905      .4251911    .4749374
             163  |   .4428867   .0127237      .4179485    .4678249
             164  |   .4476075   .0129938        .42214    .4730751
             165  |     .44027   .0126311      .4155133    .4650267
             166  |   .4246784    .012712      .3997633    .4495936
             167  |   .4214965   .0128424      .3963256    .4466674
             168  |   .4223304   .0130413      .3967697    .4478912
             169  |   .4253505   .0132693       .399343    .4513581
             170  |   .4356457   .0135049      .4091764     .462115
             171  |   .4498391   .0134873      .4234044    .4762739
             172  |   .4598578   .0132773      .4338346     .485881
             173  |   .4636827   .0128897      .4384192    .4889462
             174  |   .4711161   .0128414      .4459473     .496285
             175  |   .4648942   .0128756      .4396583      .49013
             176  |   .4709167   .0128973      .4456383     .496195
             177  |   .4546173   .0129743       .429188    .4800466
             178  |   .4533892    .013037       .427837    .4789414
             179  |   .4511243   .0130857      .4254766    .4767719
             180  |   .4451369   .0129727      .4197106    .4705632
             181  |    .445145   .0131368      .4193972    .4708928
             182  |   .4380363    .013151      .4122605     .463812
             183  |   .4489171   .0131719      .4231005    .4747337
             184  |    .426602   .0132903      .4005533    .4526507
             185  |   .4490153   .0133384      .4228724    .4751582
             186  |   .4480845   .0132795      .4220569     .474112
             187  |   .4560414    .013384      .4298091    .4822737
             188  |   .4486819   .0133754      .4224663    .4748974
             189  |   .4557944    .013285      .4297562    .4818327
             190  |   .4577704   .0138007      .4307212    .4848195
             191  |   .4179012   .0142374      .3899963    .4458061
             192  |   .4345478   .0140792      .4069529    .4621426
             193  |    .435225   .0144395      .4069239    .4635262
             194  |   .4320191   .0150088      .4026021     .461436
             195  |   .4489666   .0156666      .4182605    .4796727
             196  |   .4435234   .0155519      .4130421    .4740048
             197  |   .4775409   .0158961       .446385    .5086968
             198  |   .4723107   .0154234      .4420812    .5025402
             199  |   .4879321   .0156992       .457162    .5187023
             200  |   .5125167   .0156392      .4818641    .5431693
             201  |   .5238945    .015956      .4926211    .5551678
-------------------------------------------------------------------

. log close
