
. svy: mean permanent if age3040&wife&mother_10,over(ciclo)
(running mean on estimation sample)

Survey: Mean estimation

Number of strata =       1            Number of obs   =     391,498
Number of PSUs   = 391,498            Population size = 127,222,162
                                      Design df       =     391,497

-------------------------------------------------------------------
                  |             Linearized
                  |       Mean   std. err.     [95% conf. interval]
------------------+------------------------------------------------
c.permanent@ciclo |
             130  |   .3240178   .0077014      .3089232    .3391123
             131  |   .3225498   .0076897      .3074783    .3376213
             132  |   .3343181   .0078183      .3189945    .3496417
             133  |   .3352864   .0077096      .3201759    .3503969
             134  |   .3344599   .0073649      .3200249     .348895
             135  |   .3304599   .0071968      .3163544    .3445654
             136  |   .3297819   .0073779      .3153214    .3442424
             137  |   .3419533   .0074115      .3274271    .3564796
             138  |   .3562257   .0074106       .341701    .3707503
             139  |   .3686731   .0074005      .3541683    .3831779
             140  |   .3650815   .0073773      .3506222    .3795409
             141  |   .3750907   .0074254       .360537    .3896443
             142  |   .3775134   .0074494      .3629128    .3921141
             143  |   .3889182   .0075021      .3742144     .403622
             144  |     .38878   .0075166      .3740478    .4035122
             145  |   .3889405   .0075408      .3741607    .4037203
             146  |   .3962144   .0076345       .381251    .4111778
             147  |   .4012333   .0075867      .3863636     .416103
             148  |   .3979643   .0074313      .3833993    .4125294
             149  |   .3923491   .0073794      .3778857    .4068125
             150  |   .3927825   .0073662       .378345    .4072199
             151  |    .402969   .0073787       .388507    .4174309
             152  |   .4034356   .0074205      .3888915    .4179796
             153  |   .4095159   .0074717      .3948717    .4241601
             154  |   .4120099   .0074883       .397333    .4266868
             155  |   .4177823   .0076229      .4028417    .4327228
             156  |   .4101042   .0077596      .3948957    .4253128
             157  |   .4163124   .0080312      .4005715    .4320533
             158  |   .4152121   .0078806      .3997665    .4306578
             159  |   .4215908   .0080357      .4058411    .4373404
             160  |   .4149868   .0080288      .3992506    .4307231
             161  |   .4146868   .0080623      .3988849    .4304887
             162  |   .4169057   .0080879      .4010537    .4327577
             163  |   .4229524   .0080621      .4071508    .4387539
             164  |   .4093959   .0079955      .3937249    .4250669
             165  |   .4163958   .0079905      .4007347    .4320569
             166  |   .4292771    .008065        .41347    .4450841
             167  |   .4397919   .0081843      .4237509     .455833
             168  |    .429046   .0081998      .4129746    .4451175
             169  |   .4383457   .0083779      .4219253    .4547661
             170  |    .444524   .0084078      .4280448    .4610031
             171  |    .441154     .00848      .4245335    .4577746
             172  |   .4302428   .0085321      .4135202    .4469655
             173  |   .4397726   .0084913      .4231298    .4564153
             174  |   .4392999   .0084653      .4227081    .4558917
             175  |   .4384186   .0083605      .4220323    .4548049
             176  |   .4335252   .0083698      .4171206    .4499297
             177  |   .4356732   .0084219      .4191666    .4521798
             178  |   .4341897   .0084591      .4176101    .4507693
             179  |   .4348689   .0085907      .4180315    .4517063
             180  |   .4427855   .0086654      .4258016    .4597694
             181  |   .4399292    .008569      .4231341    .4567242
             182  |   .4359185   .0085213       .419217      .45262
             183  |   .4483858   .0085767      .4315757     .465196
             184  |   .4347782   .0087304      .4176669    .4518895
             185  |   .4495504   .0087283      .4324433    .4666576
             186  |     .44589   .0087635      .4287139    .4630662
             187  |   .4427638   .0088475      .4254229    .4601047
             188  |     .44655   .0090136      .4288836    .4642164
             189  |   .4415589   .0090992      .4237248     .459393
             190  |   .4370675   .0093683       .418706     .455429
             191  |    .416757   .0096884      .3977682    .4357459
             192  |   .4333785   .0099924      .4137937    .4529634
             193  |    .425122   .0101416      .4052447    .4449993
             194  |   .4250051   .0106454      .4041404    .4458698
             195  |   .4304519   .0110988      .4086986    .4522053
             196  |   .4283433   .0115266      .4057516    .4509351
             197  |   .4245514   .0112705      .4024615    .4466413
             198  |   .4103317   .0110448      .3886842    .4319792
             199  |    .430541   .0112364       .408518    .4525641
             200  |   .4583268   .0114539      .4358776    .4807761
             201  |   .4800659   .0114582      .4576082    .5025236
-------------------------------------------------------------------

. log close
