
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="0.575",="0.896",="1",="0.133",="2.241",="0.854",="1.549",="1.235",="0.658",="1.983",="1.198",="1",="0.562",="0.860",="0.102*",="1.419",="0.399",="0.687",="1.017",="1.843",="5.583*",="1.447",="5.063",="0.340",="0.228",="1",="1",="0.755",="1",="0.549",="0.0531***",="0.192",="5.102",="1.755",="0.491",="2.138",="0.196",="0.962",="0.0527**",="1",="1",="1",="0.503",="0.297",="0.895",="0.0776*",="0.323",="0.337",="0.938",="0.492",="0.359",="0.574",="0.122",="0.0857",="0.149",="0.720",="1",="0.133",="1",="1.820",="0.917",="4.231",="0.607",="0.406",="0.102",="1",="1",="1.833",="0.155",="1",="1",="1"
="",="(0.573)",="(0.739)",="(.)",="(0.184)",="(3.914)",="(0.699)",="(1.217)",="(1.279)",="(0.574)",="(1.997)",="(1.167)",="(.)",="(0.930)",="(1.020)",="(0.113)",="(2.087)",="(0.421)",="(0.707)",="(1.305)",="(1.665)",="(4.851)",="(1.369)",="(5.006)",="(0.378)",="(0.229)",="(.)",="(.)",="(0.796)",="(.)",="(0.587)",="(0.0452)",="(0.242)",="(5.241)",="(1.729)",="(0.448)",="(3.104)",="(0.280)",="(0.887)",="(0.0552)",="(.)",="(.)",="(.)",="(0.520)",="(0.360)",="(0.893)",="(0.0930)",="(0.455)",="(0.418)",="(0.910)",="(0.499)",="(0.255)",="(0.660)",="(0.158)",="(0.108)",="(0.165)",="(1.130)",="(.)",="(0.171)",="(.)",="(2.910)",="(1.201)",="(4.674)",="(0.500)",="(0.534)",="(0.130)",="(.)",="(.)",="(1.789)",="(0.212)",="(.)",="(.)",="(.)"

="2.act",="1.116",="1.199",="1.509",="0.142",="1.144",="0.341",="0.128",="0.352",="0.159*",="0.284",="0.706",="5.749",="2.270",="0.735",="0.162*",="0.628",="0.645",="1.997",="2.610",="0.978",="0.865",="0.267",="1.016",="0.585",="0.386",="0.278",="0.267",="0.230",="0.896",="0.953",="0.109***",="0.223",="1.713",="2.160",="0.480",="2.114",="1.096",="0.456",="0.383",="1",="0.169",="0.160",="0.202",="1",="0.129",="0.0783**",="0.441",="1",="0.416",="1",="1",="0.384",="0.306",="0.0475*",="0.0804*",="1.685",="0.188",="1",="0.0424**",="0.593",="0.180",="0.642",="0.278",="0.170",="0.0365**",="1",="1",="11.41**",="1.458",="1.961",="0.388",="0.951"
="",="(0.986)",="(0.904)",="(1.131)",="(0.184)",="(2.003)",="(0.305)",="(0.153)",="(0.358)",="(0.135)",="(0.275)",="(0.544)",="(7.294)",="(2.992)",="(0.755)",="(0.127)",="(0.683)",="(0.561)",="(1.678)",="(2.455)",="(0.906)",="(0.786)",="(0.236)",="(1.127)",="(0.599)",="(0.314)",="(0.365)",="(0.285)",="(0.266)",="(1.030)",="(0.859)",="(0.0708)",="(0.259)",="(1.852)",="(1.725)",="(0.416)",="(2.604)",="(1.318)",="(0.651)",="(0.345)",="(.)",="(0.192)",="(0.180)",="(0.264)",="(.)",="(0.166)",="(0.0770)",="(0.570)",="(.)",="(0.535)",="(.)",="(.)",="(0.432)",="(0.300)",="(0.0632)",="(0.0927)",="(2.534)",="(0.280)",="(.)",="(0.0519)",="(0.986)",="(0.228)",="(0.786)",="(0.258)",="(0.212)",="(0.0462)",="(.)",="(.)",="(9.983)",="(1.467)",="(3.079)",="(0.354)",="(1.473)"

="3.act",="0.445",="0.284",="1.171",="0.934",="0.356",="0.455",="0.309",="0.293",="0.112",="0.556",="0.317",="3.053",="0.213",="0.538",="0.0549*",="2.460",="0.950",="1.158",="4.664",="0.491",="2.648",="0.793",="4.400",="0.205",="0.193",="1.598",="0.0593*",="0.0676*",="1.208",="0.472",="0.0343**",="0.296",="1",="1.129",="0.136",="2.550",="0.364",="0.444",="0.149*",="1",="0.156",="0.113",="1",="0.190",="0.509",="0.173",="1",="1.796",="0.904",="1",="1",="1",="1",="0.104*",="1",="5.042",="0.166",="0.685",="0.213",="1.457",="0.317",="1.413",="0.808",="0.0608",="0.202",="0.196",="6.010",="11.53**",="0.401",="1.606",="0.867",="0.981"
="",="(0.445)",="(0.313)",="(1.020)",="(1.012)",="(0.644)",="(0.452)",="(0.302)",="(0.290)",="(0.135)",="(0.543)",="(0.306)",="(3.930)",="(0.345)",="(0.638)",="(0.0633)",="(2.710)",="(0.898)",="(1.189)",="(4.382)",="(0.483)",="(2.874)",="(0.614)",="(3.663)",="(0.222)",="(0.181)",="(1.556)",="(0.0726)",="(0.0833)",="(1.525)",="(0.448)",="(0.0425)",="(0.296)",="(.)",="(1.164)",="(0.166)",="(3.260)",="(0.521)",="(0.562)",="(0.124)",="(.)",="(0.150)",="(0.146)",="(.)",="(0.250)",="(0.656)",="(0.209)",="(.)",="(1.725)",="(0.911)",="(.)",="(.)",="(.)",="(.)",="(0.117)",="(.)",="(7.223)",="(0.224)",="(0.703)",="(0.192)",="(2.360)",="(0.411)",="(1.758)",="(0.767)",="(0.0883)",="(0.213)",="(0.260)",="(7.991)",="(10.41)",="(0.456)",="(2.185)",="(0.764)",="(1.480)"

="4.act",="0.184",="0.866",="0.604",="0.505",="1.043",="0.356",="0.313",="0.360",="0.468",="2.310",="0.829",="8.855*",="1.365",="1.212",="0.791",="1.201",="0.462",="1.126",="5.772*",="2.074",="2.434",="0.702",="3.140",="0.486",="0.481",="3.481",="0.634",="0.466",="2.918",="0.213",="0.174**",="1.777",="2.920",="2.510",="0.356",="1.975",="1.024",="1.555",="0.144*",="0.606",="0.593",="0.247",="0.469",="0.391",="0.171",="0.0702**",="1.657",="1.352",="0.850",="0.284",="0.157**",="0.510",="0.239",="0.236",="0.207",="6.800",="0.229",="0.327",="0.129",="1.609",="1.888",="4.658",="0.427",="0.0760*",="0.780",="0.359",="11.39",="1.926",="0.459",="5.027",="0.296",="3.540"
="",="(0.170)",="(0.634)",="(0.453)",="(0.429)",="(1.719)",="(0.212)",="(0.210)",="(0.296)",="(0.315)",="(1.543)",="(0.565)",="(9.731)",="(1.710)",="(1.089)",="(0.461)",="(1.172)",="(0.364)",="(0.903)",="(4.969)",="(1.608)",="(1.828)",="(0.454)",="(2.309)",="(0.437)",="(0.344)",="(2.842)",="(0.537)",="(0.330)",="(3.157)",="(0.206)",="(0.106)",="(1.181)",="(3.254)",="(2.516)",="(0.293)",="(2.295)",="(1.114)",="(1.171)",="(0.110)",="(0.643)",="(0.462)",="(0.224)",="(0.423)",="(0.370)",="(0.197)",="(0.0673)",="(1.678)",="(1.067)",="(1.373)",="(0.350)",="(0.109)",="(0.604)",="(0.264)",="(0.244)",="(0.181)",="(10.07)",="(0.252)",="(0.372)",="(0.136)",="(2.505)",="(1.646)",="(4.957)",="(0.327)",="(0.0897)",="(0.822)",="(0.351)",="(14.47)",="(1.883)",="(0.473)",="(5.990)",="(0.280)",="(4.965)"

="5.act",="0.395",="0.572",="1.168",="1.271",="1.437",="0.458",="0.623",="0.584",="0.513",="0.253",="0.396",="4.442",="0.835",="1.002",="0.439",="0.373",="0.641",="0.567",="1.641",="0.845",="0.414",="0.357",="1.491",="0.573",="0.355",="1.029",="0.117*",="0.930",="0.910",="0.375",="0.0805***",="0.595",="0.861",="1.269",="0.494",="0.827",="1.346",="1.021",="0.103***",="0.330",="0.432",="0.315",="0.280",="0.890",="0.377",="0.273",="0.618",="1.087",="1.061",="0.583",="0.134***",="0.933",="0.634",="0.291",="0.694",="0.921",="0.261",="0.230",="0.184**",="1.691",="0.908",="2.350",="0.685",="0.338",="0.725",="0.166",="5.502",="1.834",="0.881",="3.207",="0.421",="2.790"
