
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="0.396**",="0.939",="0.268**",="0.242*",="0.392*",="0.386*",="0.705",="0.866",="1.898",="1.395",="0.410*",="0.519",="0.391",="0.341*",="0.162***",="1.168",="0.391",="0.173***",="0.416*",="0.613",="2.934*",="0.500",="1.132",="0.959",="0.737",="0.363",="0.237**",="0.536",="0.255*",="0.453",="0.204**",="0.429",="1.029",="0.819",="0.547",="0.571",="0.581",="0.664",="0.104***",="0.133**",="0.641",="0.168*",="0.368",="0.407",="0.750",="0.380",="0.446",="0.623",="0.425",="0.802",="0.221**",="0.527",="0.348*",="0.227**",="0.355*",="0.709",="0.386",="0.292",="0.172**",="2.840",="0.887",="0.601",="0.398*",="0.859",="0.652",="0.558",="1.003",="1.761",="0.359",="0.579",="0.420",="0.273*"
="",="(0.120)",="(0.390)",="(0.116)",="(0.150)",="(0.186)",="(0.179)",="(0.333)",="(0.419)",="(0.994)",="(0.637)",="(0.179)",="(0.288)",="(0.236)",="(0.152)",="(0.0772)",="(0.651)",="(0.198)",="(0.0831)",="(0.175)",="(0.264)",="(1.403)",="(0.281)",="(0.575)",="(0.492)",="(0.359)",="(0.193)",="(0.125)",="(0.299)",="(0.144)",="(0.214)",="(0.116)",="(0.199)",="(0.531)",="(0.435)",="(0.258)",="(0.367)",="(0.333)",="(0.346)",="(0.0559)",="(0.101)",="(0.439)",="(0.119)",="(0.213)",="(0.247)",="(0.424)",="(0.203)",="(0.272)",="(0.307)",="(0.197)",="(0.431)",="(0.122)",="(0.303)",="(0.170)",="(0.126)",="(0.184)",="(0.412)",="(0.239)",="(0.234)",="(0.104)",="(1.926)",="(0.480)",="(0.263)",="(0.170)",="(0.477)",="(0.365)",="(0.288)",="(0.597)",="(0.966)",="(0.230)",="(0.398)",="(0.228)",="(0.177)"

="2.act",="0.424*",="0.568",="0.524",="0.218**",="0.297**",="0.210***",="0.209**",="0.378",="0.994",="0.745",="0.243***",="0.721",="0.704",="0.150***",="0.242***",="0.483",="0.833",="0.488",="0.506",="0.752",="1.330",="0.288**",="0.713",="0.490",="0.442",="0.354*",="0.130***",="0.526",="0.365*",="0.579",="0.332**",="0.742",="0.865",="0.972",="0.342*",="0.421",="0.638",="0.448",="0.402*",="0.398",="0.184*",="0.146*",="0.256*",="0.394",="0.153*",="0.107***",="0.421",="0.357",="0.194**",="0.684",="0.289*",="0.150**",="0.208***",="0.137***",="0.239**",="0.566",="0.541",="0.432",="0.306*",="1.382",="0.417",="0.509",="0.252***",="0.509",="0.513",="0.0936***",="0.325*",="0.662",="0.683",="0.949",="0.595",="0.561"
="",="(0.158)",="(0.260)",="(0.198)",="(0.125)",="(0.139)",="(0.0970)",="(0.108)",="(0.188)",="(0.430)",="(0.353)",="(0.0955)",="(0.361)",="(0.411)",="(0.0670)",="(0.0954)",="(0.242)",="(0.343)",="(0.196)",="(0.182)",="(0.288)",="(0.620)",="(0.135)",="(0.317)",="(0.250)",="(0.200)",="(0.169)",="(0.0725)",="(0.249)",="(0.162)",="(0.231)",="(0.129)",="(0.333)",="(0.414)",="(0.478)",="(0.156)",="(0.244)",="(0.357)",="(0.253)",="(0.177)",="(0.234)",="(0.148)",="(0.120)",="(0.161)",="(0.215)",="(0.113)",="(0.0665)",="(0.273)",="(0.207)",="(0.109)",="(0.406)",="(0.165)",="(0.0929)",="(0.0932)",="(0.0720)",="(0.116)",="(0.273)",="(0.226)",="(0.217)",="(0.175)",="(0.890)",="(0.206)",="(0.201)",="(0.103)",="(0.272)",="(0.270)",="(0.0644)",="(0.182)",="(0.357)",="(0.360)",="(0.525)",="(0.287)",="(0.326)"

="3.act",="0.464*",="0.662",="0.776",="1.083",="0.325*",="0.437",="0.368",="0.269*",="0.566",="0.473",="0.186***",="1.173",="0.733",="0.156***",="0.220***",="1.075",="0.743",="0.232**",="0.359*",="0.510",="1.279",="0.281*",="0.820",="0.302*",="0.140***",="0.226**",="0.141***",="0.370",="0.247*",="0.182**",="0.201***",="0.648",="0.713",="0.495",="0.128**",="0.345",="0.659",="0.777",="0.136***",="0.333",="0.418",="0.207*",="0.430",="0.201*",="0.518",="0.317*",="0.232*",="0.609",="0.394*",="0.456",="0.194**",="0.104**",="0.136***",="0.174**",="0.170***",="0.597",="0.294*",="0.557",="0.579",="1.906",="0.885",="0.613",="0.393*",="0.486",="0.624",="0.262*",="0.451",="0.962",="0.334",="0.498",="0.530",="0.383"
="",="(0.141)",="(0.354)",="(0.321)",="(0.606)",="(0.185)",="(0.229)",="(0.217)",="(0.156)",="(0.305)",="(0.222)",="(0.0780)",="(0.569)",="(0.430)",="(0.0755)",="(0.0978)",="(0.561)",="(0.368)",="(0.113)",="(0.144)",="(0.233)",="(0.789)",="(0.149)",="(0.367)",="(0.157)",="(0.0785)",="(0.119)",="(0.0777)",="(0.200)",="(0.155)",="(0.0989)",="(0.0963)",="(0.315)",="(0.413)",="(0.261)",="(0.0803)",="(0.230)",="(0.369)",="(0.454)",="(0.0766)",="(0.241)",="(0.286)",="(0.152)",="(0.260)",="(0.127)",="(0.310)",="(0.170)",="(0.144)",="(0.323)",="(0.177)",="(0.262)",="(0.105)",="(0.0880)",="(0.0763)",="(0.105)",="(0.0905)",="(0.305)",="(0.144)",="(0.285)",="(0.314)",="(1.221)",="(0.436)",="(0.242)",="(0.181)",="(0.285)",="(0.339)",="(0.151)",="(0.242)",="(0.504)",="(0.204)",="(0.312)",="(0.321)",="(0.236)"

="4.act",="0.299***",="0.941",="0.509*",="0.785",="0.553",="0.373**",="0.699",="0.750",="1.551",="1.463",="0.563*",="1.582",="1.189",="0.267***",="0.484*",="1.162",="0.670",="0.358**",="0.803",="0.820",="2.092",="0.574",="1.219",="0.788",="0.583",="0.778",="0.567",="1.152",="0.689",="0.630",="0.458",="1.316",="1.142",="1.271",="0.674",="1.196",="0.936",="1.264",="0.394*",="1.057",="1.152",="0.423",="0.653",="0.832",="0.723",="0.598",="1.267",="0.536",="0.376*",="0.873",="0.421",="0.851",="0.545",="0.540",="1.025",="1.185",="0.612",="0.493",="0.538",="4.195*",="1.617",="1.055",="0.247***",="0.398",="0.777",="0.391",="0.805",="1.012",="0.761",="1.255",="0.638",="0.632"
="",="(0.0767)",="(0.360)",="(0.161)",="(0.348)",="(0.186)",="(0.135)",="(0.257)",="(0.293)",="(0.547)",="(0.476)",="(0.164)",="(0.647)",="(0.529)",="(0.105)",="(0.144)",="(0.451)",="(0.246)",="(0.127)",="(0.273)",="(0.278)",="(0.896)",="(0.239)",="(0.460)",="(0.347)",="(0.240)",="(0.336)",="(0.226)",="(0.501)",="(0.277)",="(0.233)",="(0.191)",="(0.514)",="(0.558)",="(0.604)",="(0.267)",="(0.570)",="(0.469)",="(0.567)",="(0.148)",="(0.511)",="(0.565)",="(0.209)",="(0.289)",="(0.375)",="(0.367)",="(0.277)",="(0.613)",="(0.279)",="(0.183)",="(0.460)",="(0.189)",="(0.415)",="(0.203)",="(0.250)",="(0.468)",="(0.548)",="(0.242)",="(0.235)",="(0.263)",="(2.407)",="(0.651)",="(0.359)",="(0.0940)",="(0.206)",="(0.419)",="(0.225)",="(0.457)",="(0.524)",="(0.399)",="(0.587)",="(0.270)",="(0.354)"

="5.act",="0.600",="0.805",="0.603",="0.581",="0.448*",="0.416*",="0.626",="0.483",="1.436",="0.857",="0.251***",="1.070",="0.796",="0.406*",="0.361***",="0.608",="0.754",="0.381*",="0.415*",="0.534",="1.353",="0.441",="0.581",="0.563",="0.366*",="0.371*",="0.185***",="0.670",="0.486",="0.502",="0.314**",="0.680",="0.786",="0.753",="0.356**",="0.970",="0.886",="0.688",="0.295**",="0.939",="0.938",="0.835",="0.950",="1.406",="1.376",="0.335*",="0.834",="0.602",="0.463*",="1.046",="0.522",="0.749",="0.362**",="0.323**",="0.507*",="0.722",="0.654",="0.487",="1.134",="4.065**",="1.666",="1.037",="0.461**",="1.033",="1.755",="0.921",="0.734",="0.853",="0.532",="0.679",="0.387*",="0.871"
