
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="0.396**",="0.941",="0.267**",="0.243*",="0.391*",="0.397*",="0.748",="0.869",="1.894",="1.384",="0.409*",="0.518",="0.386",="0.339*",="0.163***",="1.169",="0.392",="0.173***",="0.415*",="0.613",="2.932*",="0.500",="1.129",="0.956",="0.743",="0.369",="0.236**",="0.534",="0.255*",="0.458",="0.206**",="0.431",="1.031",="0.816",="0.562",="0.553",="0.580",="0.682",="0.104***",="0.133**",="0.641",="0.168*",="0.368",="0.406",="0.747",="0.380",="0.455",="0.623",="0.430",="0.797",="0.218**",="0.525",="0.350*",="0.228**",="0.355*",="0.715",="0.378",="0.295",="0.173**",="2.796",="0.885",="0.599",="0.397*",="0.852",="0.631",="0.542",="0.953",="1.772",="0.362",="0.579",="0.409",="0.273*"
="",="(0.120)",="(0.393)",="(0.116)",="(0.150)",="(0.185)",="(0.186)",="(0.351)",="(0.420)",="(0.989)",="(0.631)",="(0.178)",="(0.287)",="(0.233)",="(0.151)",="(0.0772)",="(0.652)",="(0.198)",="(0.0830)",="(0.174)",="(0.264)",="(1.402)",="(0.281)",="(0.573)",="(0.491)",="(0.360)",="(0.196)",="(0.125)",="(0.299)",="(0.144)",="(0.217)",="(0.117)",="(0.199)",="(0.532)",="(0.434)",="(0.263)",="(0.358)",="(0.332)",="(0.354)",="(0.0562)",="(0.101)",="(0.439)",="(0.118)",="(0.213)",="(0.247)",="(0.422)",="(0.203)",="(0.277)",="(0.307)",="(0.200)",="(0.427)",="(0.120)",="(0.302)",="(0.171)",="(0.126)",="(0.184)",="(0.415)",="(0.233)",="(0.236)",="(0.104)",="(1.897)",="(0.479)",="(0.260)",="(0.170)",="(0.471)",="(0.352)",="(0.280)",="(0.565)",="(0.984)",="(0.230)",="(0.399)",="(0.223)",="(0.177)"

="2.act",="0.420*",="0.571",="0.523",="0.220**",="0.295**",="0.209***",="0.216**",="0.377*",="0.987",="0.732",="0.243***",="0.719",="0.701",="0.149***",="0.242***",="0.486",="0.832",="0.487",="0.504",="0.752",="1.329",="0.288**",="0.712",="0.490",="0.448",="0.359*",="0.129***",="0.522",="0.365*",="0.583",="0.335**",="0.744",="0.865",="0.967",="0.345*",="0.414",="0.637",="0.461",="0.403*",="0.397",="0.184*",="0.147*",="0.255*",="0.394",="0.153*",="0.107***",="0.424",="0.356",="0.197**",="0.682",="0.285*",="0.150**",="0.208***",="0.138***",="0.238**",="0.573",="0.530",="0.440",="0.312*",="1.378",="0.424",="0.510",="0.253***",="0.512",="0.512",="0.0941***",="0.334",="0.669",="0.707",="0.964",="0.601",="0.560"
="",="(0.155)",="(0.261)",="(0.198)",="(0.125)",="(0.138)",="(0.0973)",="(0.111)",="(0.187)",="(0.426)",="(0.349)",="(0.0953)",="(0.360)",="(0.409)",="(0.0664)",="(0.0956)",="(0.243)",="(0.343)",="(0.196)",="(0.181)",="(0.288)",="(0.620)",="(0.135)",="(0.317)",="(0.250)",="(0.201)",="(0.171)",="(0.0726)",="(0.247)",="(0.162)",="(0.232)",="(0.129)",="(0.333)",="(0.414)",="(0.479)",="(0.157)",="(0.242)",="(0.356)",="(0.261)",="(0.178)",="(0.233)",="(0.148)",="(0.121)",="(0.161)",="(0.214)",="(0.113)",="(0.0665)",="(0.275)",="(0.207)",="(0.110)",="(0.404)",="(0.162)",="(0.0928)",="(0.0932)",="(0.0723)",="(0.115)",="(0.277)",="(0.223)",="(0.221)",="(0.178)",="(0.885)",="(0.209)",="(0.201)",="(0.103)",="(0.273)",="(0.269)",="(0.0647)",="(0.189)",="(0.362)",="(0.370)",="(0.528)",="(0.290)",="(0.327)"

="3.act",="0.463*",="0.665",="0.776",="1.098",="0.320*",="0.423",="0.368",="0.267*",="0.560",="0.462",="0.185***",="1.176",="0.723",="0.155***",="0.220***",="1.078",="0.742",="0.232**",="0.359*",="0.510",="1.278",="0.282*",="0.822",="0.303*",="0.142***",="0.230**",="0.140***",="0.368",="0.247*",="0.183**",="0.201***",="0.647",="0.711",="0.494",="0.128**",="0.347",="0.659",="0.799",="0.137***",="0.333",="0.418",="0.204*",="0.430",="0.202*",="0.520",="0.317*",="0.233*",="0.607",="0.395*",="0.447",="0.193**",="0.103**",="0.136***",="0.174**",="0.170***",="0.598",="0.290*",="0.560",="0.582",="1.871",="0.876",="0.609",="0.392*",="0.489",="0.619",="0.268*",="0.450",="0.961",="0.340",="0.503",="0.537",="0.382"
="",="(0.141)",="(0.355)",="(0.321)",="(0.610)",="(0.183)",="(0.221)",="(0.215)",="(0.155)",="(0.302)",="(0.217)",="(0.0778)",="(0.571)",="(0.426)",="(0.0749)",="(0.0982)",="(0.564)",="(0.367)",="(0.113)",="(0.144)",="(0.233)",="(0.788)",="(0.149)",="(0.367)",="(0.157)",="(0.0794)",="(0.121)",="(0.0777)",="(0.198)",="(0.155)",="(0.0991)",="(0.0963)",="(0.315)",="(0.412)",="(0.261)",="(0.0802)",="(0.232)",="(0.368)",="(0.466)",="(0.0769)",="(0.239)",="(0.286)",="(0.150)",="(0.260)",="(0.127)",="(0.312)",="(0.170)",="(0.145)",="(0.322)",="(0.176)",="(0.258)",="(0.104)",="(0.0876)",="(0.0770)",="(0.105)",="(0.0905)",="(0.307)",="(0.141)",="(0.287)",="(0.314)",="(1.195)",="(0.430)",="(0.240)",="(0.181)",="(0.286)",="(0.334)",="(0.155)",="(0.244)",="(0.500)",="(0.207)",="(0.315)",="(0.324)",="(0.236)"

="4.act",="0.298***",="0.943",="0.510*",="0.787",="0.553",="0.379**",="0.727",="0.751",="1.546",="1.440",="0.562*",="1.585",="1.177",="0.265***",="0.485*",="1.166",="0.671",="0.358**",="0.803",="0.820",="2.089",="0.574",="1.215",="0.788",="0.588",="0.785",="0.566",="1.148",="0.689",="0.634",="0.460",="1.316",="1.143",="1.264",="0.686",="1.211",="0.935",="1.291",="0.395*",="1.057",="1.152",="0.427",="0.652",="0.833",="0.722",="0.599",="1.274",="0.534",="0.384",="0.872",="0.421",="0.854",="0.544",="0.547",="1.022",="1.196",="0.600",="0.503",="0.547",="4.160*",="1.616",="1.054",="0.248***",="0.400",="0.775",="0.404",="0.851",="1.024",="0.783",="1.266",="0.650",="0.634"
="",="(0.0765)",="(0.362)",="(0.161)",="(0.347)",="(0.186)",="(0.139)",="(0.264)",="(0.293)",="(0.547)",="(0.470)",="(0.164)",="(0.649)",="(0.524)",="(0.104)",="(0.144)",="(0.454)",="(0.247)",="(0.127)",="(0.273)",="(0.278)",="(0.895)",="(0.239)",="(0.458)",="(0.346)",="(0.240)",="(0.338)",="(0.226)",="(0.501)",="(0.277)",="(0.234)",="(0.193)",="(0.513)",="(0.557)",="(0.603)",="(0.270)",="(0.581)",="(0.469)",="(0.580)",="(0.148)",="(0.511)",="(0.566)",="(0.212)",="(0.289)",="(0.375)",="(0.367)",="(0.280)",="(0.617)",="(0.277)",="(0.188)",="(0.460)",="(0.189)",="(0.418)",="(0.203)",="(0.253)",="(0.467)",="(0.556)",="(0.237)",="(0.238)",="(0.265)",="(2.380)",="(0.649)",="(0.357)",="(0.0943)",="(0.205)",="(0.415)",="(0.234)",="(0.484)",="(0.528)",="(0.405)",="(0.589)",="(0.275)",="(0.355)"

="5.act",="0.599",="0.806",="0.604",="0.581",="0.445*",="0.413*",="0.638",="0.483",="1.430",="0.839",="0.250***",="1.071",="0.790",="0.403*",="0.361***",="0.609",="0.752",="0.381*",="0.414*",="0.533",="1.351",="0.441",="0.580",="0.562",="0.371*",="0.378*",="0.185***",="0.664",="0.486",="0.504",="0.315**",="0.680",="0.782",="0.749",="0.357**",="0.973",="0.886",="0.700",="0.295**",="0.938",="0.938",="0.848",="0.948",="1.401",="1.369",="0.335*",="0.840",="0.599",="0.464*",="1.032",="0.511",="0.743",="0.367**",="0.320**",="0.507*",="0.725",="0.645",="0.489",="1.138",="4.022**",="1.653",="1.030",="0.458**",="1.023",="1.708",="0.928",="0.741",="0.839",="0.542",="0.684",="0.386*",="0.871"
