
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="0.990",="0.936",="0.264",="0.160*",="0.380",="0.687",="0.829",="0.940",="1.012",="1.368",="0.520",="0.481",="0.193",="0.501",="0.0487***",="1.585",="0.669",="0.300",="0.255",="1.093",="1.597",="0.564",="1.330",="0.223",="0.690",="0.543",="0.0845**",="0.745",="0.187*",="0.477",="0.129**",="0.217*",="2.637",="0.752",="0.393",="0.489",="0.392",="1.033",="0.114***",="0.0558*",="0.638",="0.0976*",="0.622",="0.432",="0.381",="0.119**",="0.269",="0.926",="0.633",="0.410",="0.332",="0.426",="0.360",="0.0707*",="0.103**",="0.0746*",="1",="0.117",="0.212*",="1.046",="1.620",="1.351",="0.527",="0.692",="0.583",="0.339",="1",="2.697",="0.225",="0.811",="0.197*",="0.365"
="",="(0.576)",="(0.535)",="(0.184)",="(0.140)",="(0.257)",="(0.511)",="(0.526)",="(0.631)",="(0.705)",="(1.010)",="(0.344)",="(0.357)",="(0.167)",="(0.337)",="(0.0389)",="(1.454)",="(0.496)",="(0.231)",="(0.183)",="(0.645)",="(0.908)",="(0.421)",="(1.151)",="(0.205)",="(0.532)",="(0.429)",="(0.0720)",="(0.537)",="(0.158)",="(0.328)",="(0.0864)",="(0.155)",="(1.833)",="(0.541)",="(0.253)",="(0.371)",="(0.294)",="(0.707)",="(0.0664)",="(0.0638)",="(0.666)",="(0.111)",="(0.427)",="(0.332)",="(0.277)",="(0.0940)",="(0.228)",="(0.601)",="(0.385)",="(0.283)",="(0.221)",="(0.331)",="(0.327)",="(0.0789)",="(0.0907)",="(0.0860)",="(.)",="(0.137)",="(0.161)",="(1.147)",="(1.185)",="(0.967)",="(0.337)",="(0.639)",="(0.460)",="(0.323)",="(.)",="(2.014)",="(0.189)",="(0.607)",="(0.160)",="(0.454)"

="2.act",="1.384",="1.058",="0.794",="0.127*",="0.350",="0.246",="0.148*",="0.335",="0.314",="0.718",="0.227*",="0.777",="0.456",="0.231*",="0.0802***",="0.461",="0.959",="1.321",="0.493",="1.208",="0.613",="0.242*",="0.667",="0.464",="0.568",="1.102",="0.268",="0.897",="0.350",="0.580",="0.343*",="0.920",="1.382",="1.426",="0.530",="0.362",="0.884",="0.608",="0.272*",="0.162*",="0.197",="0.316",="0.340",="0.239",="0.156*",="0.0423***",="0.342",="0.389",="0.0866*",="0.0418**",="0.232",="0.0969*",="0.304",="0.121**",="0.226*",="0.674",="0.498",="0.466",="0.218*",="0.608",="0.335",="0.683",="0.295*",="0.207",="0.0951*",="1",="0.203",="1.266",="0.495",="1.298",="0.642",="0.819"
="",="(0.907)",="(0.597)",="(0.422)",="(0.108)",="(0.240)",="(0.196)",="(0.116)",="(0.221)",="(0.206)",="(0.554)",="(0.135)",="(0.491)",="(0.330)",="(0.149)",="(0.0470)",="(0.371)",="(0.619)",="(0.826)",="(0.251)",="(0.624)",="(0.323)",="(0.142)",="(0.478)",="(0.386)",="(0.381)",="(0.731)",="(0.199)",="(0.560)",="(0.202)",="(0.320)",="(0.178)",="(0.543)",="(0.957)",="(0.835)",="(0.291)",="(0.235)",="(0.622)",="(0.490)",="(0.169)",="(0.138)",="(0.221)",="(0.256)",="(0.261)",="(0.187)",="(0.130)",="(0.0383)",="(0.295)",="(0.348)",="(0.0956)",="(0.0458)",="(0.216)",="(0.0897)",="(0.207)",="(0.0967)",="(0.141)",="(0.468)",="(0.336)",="(0.398)",="(0.158)",="(0.588)",="(0.234)",="(0.477)",="(0.176)",="(0.191)",="(0.0946)",="(.)",="(0.254)",="(0.917)",="(0.349)",="(0.893)",="(0.379)",="(0.755)"

="3.act",="0.597",="0.195",="0.734",="0.374",="0.216*",="0.399",="0.174*",="0.147*",="0.238",="0.349",="0.263*",="1.057",="0.198*",="0.332",="0.166**",="1.211",="0.826",="0.443",="0.427",="0.403",="0.713",="0.385",="1.953",="0.122*",="0.137*",="0.816",="0.0444**",="0.340",="0.462",="0.237*",="0.0831**",="0.842",="2.278",="0.404",="0.151*",="0.288",="0.616",="0.630",="0.0897***",="0.156*",="0.377",="0.312",="0.324",="0.191",="0.197",="0.202*",="0.107*",="1.038",="0.573",="0.0469**",="0.0409**",="0.0550*",="0.0398**",="0.159*",="0.158*",="0.622",="0.416",="0.782",="0.477",="1.141",="0.310",="0.916",="0.384",="0.293",="0.341",="0.236",="1.469",="1.474",="0.217",="0.534",="0.777",="1.182"
="",="(0.392)",="(0.180)",="(0.415)",="(0.313)",="(0.158)",="(0.349)",="(0.142)",="(0.115)",="(0.208)",="(0.272)",="(0.160)",="(0.577)",="(0.151)",="(0.214)",="(0.101)",="(0.989)",="(0.705)",="(0.351)",="(0.237)",="(0.249)",="(0.541)",="(0.228)",="(1.220)",="(0.121)",="(0.116)",="(0.556)",="(0.0499)",="(0.293)",="(0.333)",="(0.172)",="(0.0766)",="(0.538)",="(1.766)",="(0.309)",="(0.127)",="(0.236)",="(0.442)",="(0.571)",="(0.0618)",="(0.144)",="(0.305)",="(0.268)",="(0.286)",="(0.169)",="(0.190)",="(0.157)",="(0.0988)",="(0.754)",="(0.367)",="(0.0525)",="(0.0454)",="(0.0623)",="(0.0448)",="(0.121)",="(0.119)",="(0.501)",="(0.330)",="(0.626)",="(0.359)",="(1.142)",="(0.269)",="(0.653)",="(0.292)",="(0.270)",="(0.275)",="(0.212)",="(1.398)",="(1.084)",="(0.171)",="(0.513)",="(0.507)",="(1.248)"

="4.act",="0.456",="1.175",="0.642",="0.686",="0.304*",="0.393",="0.444",="0.586",="0.825",="1.680",="0.606",="1.684",="0.429",="0.477",="0.363*",="1.310",="0.868",="0.669",="0.816",="1.193",="0.807",="0.512",="1.814",="0.767",="0.575",="2.047",="1.142",="1.370",="0.924",="0.535",="0.611",="1.466",="2.659",="1.508",="0.758",="0.800",="1.004",="1.658",="0.272**",="0.587",="0.905",="0.375",="0.776",="0.770",="0.183*",="0.272",="1.052",="1.034",="0.317",="0.414",="0.405",="0.487",="0.426",="0.709",="0.764",="0.826",="1.035",="0.935",="0.648",="2.759",="2.203",="1.650",="0.287*",="0.242",="0.494",="0.223",="4.138",="1.617",="0.558",="1.996",="0.308*",="2.119"
="",="(0.252)",="(0.581)",="(0.315)",="(0.466)",="(0.155)",="(0.234)",="(0.225)",="(0.284)",="(0.409)",="(0.934)",="(0.266)",="(0.789)",="(0.262)",="(0.260)",="(0.146)",="(0.898)",="(0.538)",="(0.389)",="(0.402)",="(0.546)",="(0.386)",="(0.261)",="(0.982)",="(0.543)",="(0.364)",="(1.168)",="(0.651)",="(0.726)",="(0.505)",="(0.301)",="(0.327)",="(0.695)",="(1.763)",="(0.870)",="(0.375)",="(0.431)",="(0.647)",="(1.008)",="(0.127)",="(0.390)",="(0.620)",="(0.270)",="(0.453)",="(0.468)",="(0.133)",="(0.184)",="(0.680)",="(0.717)",="(0.270)",="(0.252)",="(0.237)",="(0.322)",="(0.273)",="(0.480)",="(0.521)",="(0.686)",="(0.644)",="(0.700)",="(0.408)",="(2.397)",="(1.145)",="(1.069)",="(0.150)",="(0.194)",="(0.412)",="(0.186)",="(3.680)",="(1.163)",="(0.406)",="(1.187)",="(0.178)",="(1.862)"

="5.act",="1.097",="0.841",="0.847",="0.418",="0.363",="0.345",="0.486",="0.529",="0.903",="0.475",="0.256*",="1.095",="0.299",="0.566",="0.245***",="0.400",="0.878",="0.712",="0.248*",="0.732",="0.528",="0.288*",="0.813",="0.480",="0.519",="0.906",="0.178**",="0.945",="0.449",="0.526",="0.279**",="0.894",="1.280",="1.061",="0.474",="0.869",="1.025",="1.026",="0.142***",="0.474",="0.789",="0.903",="1.110",="1.507",="0.553",="0.366",="0.644",="1.195",="0.848",="0.636",="0.308*",="0.570",="0.673",="0.476",="0.499",="0.427",="0.777",="0.313",="0.751",="2.717",="2.254",="1.959",="0.589",="0.787",="1.020",="0.468",="2.193",="0.900",="0.345",="0.799",="0.339*",="2.189"
