
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="parent_10",="0.808",="0.831",="0.693",="0.652",="0.649",="0.858",="0.511*",="0.667",="0.675",="1.386",="1.041",="0.751",="0.754",="0.975",="0.943",="0.642",="0.680",="1.420",="1.158",="0.601",="1.287",="1.030",="1.309",="0.930",="1.145",="1.160",="1.006",="0.748",="0.971",="0.812",="1.111",="0.575"
="",="(0.263)",="(0.397)",="(0.208)",="(0.212)",="(0.225)",="(0.262)",="(0.169)",="(0.182)",="(0.208)",="(0.474)",="(0.336)",="(0.241)",="(0.233)",="(0.304)",="(0.308)",="(0.206)",="(0.188)",="(0.489)",="(0.322)",="(0.190)",="(0.368)",="(0.218)",="(0.344)",="(0.293)",="(0.317)",="(0.408)",="(0.409)",="(0.254)",="(0.333)",="(0.270)",="(0.336)",="(0.182)"

="30.age",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="35.age",="0.574",="1.102",="0.895",="0.881",="1.030",="0.789",="0.858",="1.268",="0.820",="0.648",="0.550*",="0.836",="1.103",="0.575",="1.363",="1.094",="1.798*",="0.603",="0.693",="0.795",="0.786",="0.765",="0.629",="0.670",="0.429**",="0.932",="0.543",="0.699",="0.592",="1.246",="0.709",="0.733"
="",="(0.178)",="(0.480)",="(0.264)",="(0.281)",="(0.345)",="(0.229)",="(0.286)",="(0.344)",="(0.244)",="(0.193)",="(0.165)",="(0.259)",="(0.331)",="(0.168)",="(0.416)",="(0.369)",="(0.527)",="(0.196)",="(0.182)",="(0.247)",="(0.198)",="(0.155)",="(0.150)",="(0.211)",="(0.115)",="(0.327)",="(0.209)",="(0.235)",="(0.197)",="(0.413)",="(0.208)",="(0.237)"

="N",="5385",="5272",="5105",="5072",="5019",="4958",="4888",="4854",="4894",="4739",="4624",="4612",="4634",="4615",="4570",="4626",="4622",="4586",="4393",="4282",="4087",="3726",="3604",="3510",="3254",="3038",="2848",="2849",="2841",="2902",="2843",="2781"

="Exponentiated coefficients; Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
