
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="0.105**",="0.857",="0.379",="0.715",="0.213",="0.155*",="0.0501**",="0.550",="0.487",="0.0896",="0.589",="0.708",="1.052",="0.892",="1.795",="0.529",="2.136",="0.118*",="0.448",="1.117",="0.621",="0.270",="0.335",="1.645",="0.478",="0.237",="0.751",="1",="3.116",="1",="0.223",="0.116",="0.173",="1.659",="0.779",="0.0803",="0.535",="0.0976**",="1",="0.0810**",="0.152",="0.620",="1",="0.613",="0.684",="0.433",="0.758",="0.476",="0.244",="0.176",="0.161**",="0.00762***",="0.289",="0.115**",="0.305",="1.105",="1.410",="1.029",="0.381",="0.952",="0.193",="0.596",="0.562",="1",="0.776",="0.0975*",="0.506",="1",="1.129",="0.618",="0.181",="0.521"
="",="(0.0766)",="(0.689)",="(0.274)",="(0.468)",="(0.181)",="(0.144)",="(0.0561)",="(0.411)",="(0.415)",="(0.113)",="(0.418)",="(0.542)",="(0.767)",="(0.548)",="(1.129)",="(0.466)",="(2.038)",="(0.115)",="(0.292)",="(0.808)",="(0.896)",="(0.382)",="(0.308)",="(1.760)",="(0.461)",="(0.191)",="(0.777)",="(.)",="(3.036)",="(.)",="(0.233)",="(0.128)",="(0.206)",="(1.246)",="(0.670)",="(0.146)",="(0.444)",="(0.0866)",="(.)",="(0.0633)",="(0.211)",="(0.587)",="(.)",="(0.628)",="(0.774)",="(0.380)",="(0.833)",="(0.394)",="(0.230)",="(0.172)",="(0.110)",="(0.00893)",="(0.266)",="(0.0960)",="(0.261)",="(0.806)",="(0.848)",="(0.778)",="(0.310)",="(1.183)",="(0.224)",="(0.356)",="(0.692)",="(.)",="(0.707)",="(0.113)",="(0.414)",="(.)",="(0.984)",="(0.575)",="(0.162)",="(0.648)"

="2.act",="0.307",="0.483",="0.332",="0.464",="0.396",="0.318*",="0.771",="0.138**",="0.191",="0.334",="0.0389**",="0.0583*",="0.163*",="0.174*",="0.307",="0.194*",="1.925",="0.239*",="0.800",="0.865",="0.628",="0.747",="0.174*",="1.114",="0.330",="0.478",="1.578",="1.056",="3.182",="0.553",="1.038",="0.625",="0.251",="0.612",="0.925",="0.254",="0.161*",="0.109*",="0.0439**",="0.123**",="0.142",="0.724",="0.432",="0.171",="0.709",="0.367",="0.284",="0.346",="0.204*",="0.0785***",="0.459",="0.00972***",="0.0550*",="1",="0.402",="0.184*",="0.155**",="0.590",="0.152*",="1.223",="1.889",="0.547",="1.134",="0.524",="0.554",="0.906",="1",="0.909",="0.124*",="0.944",="0.197*",="0.460"
="",="(0.210)",="(0.419)",="(0.203)",="(0.302)",="(0.261)",="(0.183)",="(0.493)",="(0.103)",="(0.168)",="(0.337)",="(0.0440)",="(0.0658)",="(0.126)",="(0.121)",="(0.204)",="(0.142)",="(1.625)",="(0.157)",="(0.496)",="(0.596)",="(0.884)",="(0.856)",="(0.135)",="(1.085)",="(0.239)",="(0.291)",="(1.150)",="(0.930)",="(2.693)",="(0.363)",="(0.865)",="(0.424)",="(0.223)",="(0.496)",="(0.733)",="(0.390)",="(0.139)",="(0.121)",="(0.0508)",="(0.0842)",="(0.191)",="(0.595)",="(0.333)",="(0.171)",="(0.743)",="(0.273)",="(0.304)",="(0.249)",="(0.154)",="(0.0583)",="(0.242)",="(0.0111)",="(0.0634)",="(.)",="(0.262)",="(0.124)",="(0.102)",="(0.466)",="(0.137)",="(1.436)",="(1.388)",="(0.373)",="(0.950)",="(0.441)",="(0.542)",="(0.760)",="(.)",="(1.346)",="(0.119)",="(0.663)",="(0.151)",="(0.557)"

="3.act",="0.0968**",="0.656",="0.223",="0.464",="0.297",="1",="0.132",="0.260",="1",="1",="0.197",="0.596",="0.571",="0.0547**",="0.695",="0.732",="1.566",="0.260",="0.742",="1",="1.352",="1.451",="0.391",="1",="0.0788*",="0.558",="1.891",="0.625",="0.918",="0.279",="0.746",="0.793",="0.156",="0.314",="0.787",="1",="0.156*",="0.331",="0.0397**",="1",="0.335",="1.102",="0.326",="0.395",="1",="0.220",="0.474",="0.405",="0.214",="0.0633***",="0.132*",="1",="0.419",="0.193",="0.161*",="0.288",="0.231*",="0.320",="0.222",="2.464",="0.896",="0.434",="1.768",="1.066",="2.561",="0.374",="0.112*",="1.772",="0.551",="0.397",="0.316",="0.385"
="",="(0.0784)",="(0.792)",="(0.202)",="(0.408)",="(0.262)",="(.)",="(0.150)",="(0.217)",="(.)",="(.)",="(0.178)",="(0.439)",="(0.449)",="(0.0594)",="(0.595)",="(0.524)",="(1.443)",="(0.200)",="(0.549)",="(.)",="(1.894)",="(1.604)",="(0.314)",="(.)",="(0.0919)",="(0.506)",="(1.666)",="(0.694)",="(0.936)",="(0.315)",="(0.695)",="(0.650)",="(0.153)",="(0.295)",="(0.755)",="(.)",="(0.140)",="(0.272)",="(0.0486)",="(.)",="(0.454)",="(1.042)",="(0.285)",="(0.436)",="(.)",="(0.191)",="(0.496)",="(0.339)",="(0.183)",="(0.0462)",="(0.115)",="(.)",="(0.510)",="(0.180)",="(0.141)",="(0.194)",="(0.170)",="(0.307)",="(0.197)",="(2.937)",="(0.788)",="(0.260)",="(1.515)",="(0.809)",="(2.037)",="(0.315)",="(0.115)",="(2.581)",="(0.529)",="(0.344)",="(0.265)",="(0.452)"

="4.act",="0.277**",="1.117",="0.307*",="0.586",="0.421",="0.280*",="0.497",="0.774",="0.370",="0.451",="0.307",="0.596",="0.843",="0.483",="0.973",="0.749",="3.917",="0.389",="1.279",="1.304",="3.365",="2.390",="0.349",="1.563",="0.443",="0.699",="0.821",="2.060",="6.154*",="1.932",="1.695",="1.177",="0.316",="0.775",="1.536",="0.135",="0.717",="0.255*",="0.0872**",="0.170*",="1.798",="0.816",="0.132*",="0.799",="0.202",="0.272",="0.547",="0.555",="0.253",="0.101***",="0.196**",="0.0574**",="0.767",="0.638",="0.185*",="0.275",="0.429",="1.485",="0.182*",="1.841",="3.672*",="0.817",="0.729",="0.367",="1.743",="0.960",="0.424",="1.224",="0.864",="0.459",="0.495",="0.504"
="",="(0.129)",="(0.759)",="(0.163)",="(0.316)",="(0.264)",="(0.158)",="(0.274)",="(0.409)",="(0.230)",="(0.401)",="(0.190)",="(0.337)",="(0.478)",="(0.266)",="(0.547)",="(0.450)",="(3.078)",="(0.208)",="(0.730)",="(0.796)",="(4.168)",="(2.447)",="(0.195)",="(1.537)",="(0.292)",="(0.378)",="(0.580)",="(1.598)",="(4.490)",="(1.060)",="(1.287)",="(0.700)",="(0.204)",="(0.567)",="(1.087)",="(0.221)",="(0.536)",="(0.171)",="(0.0805)",="(0.128)",="(1.744)",="(0.569)",="(0.108)",="(0.857)",="(0.241)",="(0.223)",="(0.774)",="(0.627)",="(0.199)",="(0.0585)",="(0.119)",="(0.0559)",="(0.573)",="(0.346)",="(0.125)",="(0.185)",="(0.253)",="(1.024)",="(0.132)",="(2.030)",="(2.384)",="(0.433)",="(0.576)",="(0.310)",="(1.375)",="(0.709)",="(0.343)",="(1.773)",="(0.746)",="(0.418)",="(0.345)",="(0.543)"

="5.act",="0.151***",="0.646",="0.229**",="0.570",="0.326",="0.139**",="0.279*",="0.936",="0.799",="0.609",="0.225*",="0.374",="0.654",="0.0942***",="0.270",="0.551",="3.316",="0.124**",="0.652",="0.566",="2.733",="3.982",="0.253*",="0.863",="0.459",="0.237*",="0.701",="1.710",="2.727",="0.626",="1.020",="0.407",="0.203",="0.216",="0.546",="0.0766",="0.246",="0.419",="0.245*",="0.116***",="0.395",="0.357",="0.325",="0.254",="0.865",="0.385",="0.474",="0.501",="0.684",="0.190**",="0.239**",="0.138**",="1.076",="0.236*",="0.296",="0.237**",="0.144**",="0.373",="0.303",="1.628",="2.030",="1.832",="2.907",="1.995",="5.482*",="0.917",="0.414",="2.919",="0.720",="0.328",="0.416",="0.747"
