
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="m130",="m131",="m132",="m133",="m134",="m135",="m136",="m137",="m138",="m139",="m140",="m141",="m142",="m143",="m144",="m145",="m146",="m147",="m148",="m149",="m150",="m151",="m152",="m153",="m154",="m155",="m156",="m157",="m158",="m159",="m160",="m161",="m162",="m163",="m164",="m165",="m166",="m167",="m168",="m169",="m170",="m171",="m172",="m173",="m174",="m175",="m176",="m177",="m178",="m179",="m180",="m181",="m182",="m183",="m184",="m185",="m186",="m187",="m188",="m189",="m190",="m191",="m192",="m193",="m194",="m195",="m196",="m197",="m198",="m199",="m200",="m201"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="-1.581***",="-0.336",="-1.362*",="-2.071*",="-0.441",="-0.198",="-0.0820",="0.193",="0.924",="0.979",="-0.465",="-0.623",="-0.0728",="-0.693",="-1.412*",="-0.0274",="-0.656",="-1.268*",="0.134",="-0.500",="1.535**",="-0.325",="0.000877",="-0.246",="-0.518",="-0.707",="-1.078",="-0.693",="-1.079",="-0.526",="-2.166**",="-0.781",="0.507",="0.168",="-0.915",="-0.0712",="-1.087",="-0.564",="-2.672**",="-3.312**",="0",="0",="-1.226",="-1.029",="0.0511",="-0.750",="-0.612",="-1.517*",="-1.715*",="0.129",="-1.298*",="-0.581",="-1.054",="-1.567*",="-0.872",="-1.931",="0",="-2.894*",="-2.972*",="1.004",="-0.350",="-0.225",="-1.138*",="-0.353",="-1.424",="-1.093",="0.652",="0.445",="-0.842",="0",="-0.932",="-0.847"
="",="(0.421)",="(0.611)",="(0.593)",="(0.910)",="(0.758)",="(0.537)",="(0.578)",="(0.683)",="(0.671)",="(0.647)",="(0.612)",="(0.861)",="(0.977)",="(0.620)",="(0.552)",="(0.739)",="(0.710)",="(0.629)",="(0.608)",="(0.588)",="(0.591)",="(0.658)",="(0.655)",="(0.618)",="(0.595)",="(0.768)",="(0.678)",="(0.770)",="(0.813)",="(0.643)",="(0.718)",="(0.622)",="(0.763)",="(0.781)",="(0.646)",="(1.132)",="(1.005)",="(0.704)",="(0.836)",="(1.160)",="(.)",="(.)",="(0.854)",="(0.811)",="(0.699)",="(0.701)",="(0.881)",="(0.743)",="(0.727)",="(0.705)",="(0.638)",="(0.718)",="(0.709)",="(0.726)",="(0.669)",="(1.146)",="(.)",="(1.125)",="(1.171)",="(0.789)",="(0.727)",="(0.603)",="(0.557)",="(0.764)",="(0.801)",="(0.761)",="(0.674)",="(0.736)",="(0.790)",="(.)",="(0.775)",="(0.820)"

