
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="m130",="m131",="m132",="m133",="m134",="m135",="m136",="m137",="m138",="m139",="m140",="m141",="m142",="m143",="m144",="m145",="m146",="m147",="m148",="m149",="m150",="m151",="m152",="m153",="m154",="m155",="m156",="m157",="m158",="m159",="m160",="m161",="m162",="m163",="m164",="m165",="m166",="m167",="m168",="m169",="m170",="m171",="m172",="m173",="m174",="m175",="m176",="m177",="m178",="m179",="m180",="m181",="m182",="m183",="m184",="m185",="m186",="m187",="m188",="m189",="m190",="m191",="m192",="m193",="m194",="m195",="m196",="m197",="m198",="m199",="m200",="m201"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="-2.255**",="-0.154",="-0.970",="-0.336",="-1.546",="-1.867*",="-2.994**",="-0.597",="-0.719",="-2.412",="-0.529",="-0.345",="0.0511",="-0.114",="0.585",="-0.637",="0.759",="-2.133*",="-0.802",="0.110",="-0.476",="-1.310",="-1.094",="0.498",="-0.739",="-1.438",="-0.287",="0",="1.136",="0",="-1.502",="-2.152",="-1.752",="0.506",="-0.250",="-2.522",="-0.625",="-2.327**",="0",="-2.513**",="-1.884",="-0.478",="0",="-0.490",="-0.379",="-0.836",="-0.277",="-0.742",="-1.411",="-1.737",="-1.827**",="-4.877***",="-1.241",="-2.165**",="-1.187",="0.0999",="0.344",="0.0282",="-0.966",="-0.0495",="-1.646",="-0.517",="-0.576",="0",="-0.253",="-2.328*",="-0.681",="0",="0.121",="-0.481",="-1.709",="-0.652"
="",="(0.731)",="(0.804)",="(0.724)",="(0.654)",="(0.848)",="(0.930)",="(1.119)",="(0.747)",="(0.852)",="(1.258)",="(0.709)",="(0.765)",="(0.729)",="(0.614)",="(0.629)",="(0.882)",="(0.954)",="(0.969)",="(0.650)",="(0.724)",="(1.443)",="(1.417)",="(0.920)",="(1.070)",="(0.965)",="(0.806)",="(1.035)",="(.)",="(0.974)",="(.)",="(1.046)",="(1.103)",="(1.188)",="(0.751)",="(0.860)",="(1.820)",="(0.829)",="(0.887)",="(.)",="(0.782)",="(1.387)",="(0.947)",="(.)",="(1.024)",="(1.131)",="(0.877)",="(1.099)",="(0.827)",="(0.944)",="(0.979)",="(0.683)",="(1.172)",="(0.920)",="(0.836)",="(0.855)",="(0.729)",="(0.602)",="(0.756)",="(0.813)",="(1.243)",="(1.161)",="(0.597)",="(1.231)",="(.)",="(0.910)",="(1.155)",="(0.818)",="(.)",="(0.872)",="(0.930)",="(0.892)",="(1.244)"

