
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="0.443**",="0.296**",="0.221***",="0.512",="0.605",="0.653",="0.362*",="0.289**",="0.418*",="0.399*",="0.153***",="0.154***",="0.321**",="0.402*",="0.692",="0.323*",="0.950",="0.524",="0.128***",="0.484",="0.290*",="0.112***",="0.0874***",="0.0983***",="0.0779***",="0.266",="0.173***",="1.003",="0.331",="0.222**",="0.267**",="0.424",="0.155**",="0.354",="0.283*",="0.501",="0.335*",="0.456",="0.628",="1.091",="0.371",="0.126*",="0.301",="0.423",="0.557",="0.812",="0.217*",="0.195**",="0.439",="0.172*",="0.338",="0.433",="0.336",="0.131***",="0.141**",="0.195*",="0.311",="0.251*",="0.290*",="0.689",="0.775",="1.440",="0.468",="0.347",="0.145*",="0.453",="0.215*",="1.278",="0.993",="0.631",="0.279",="0.619"
="",="(0.118)",="(0.128)",="(0.0897)",="(0.258)",="(0.278)",="(0.276)",="(0.187)",="(0.124)",="(0.169)",="(0.164)",="(0.0571)",="(0.0621)",="(0.122)",="(0.149)",="(0.308)",="(0.170)",="(0.428)",="(0.247)",="(0.0544)",="(0.233)",="(0.142)",="(0.0634)",="(0.0451)",="(0.0469)",="(0.0452)",="(0.188)",="(0.0884)",="(0.650)",="(0.215)",="(0.124)",="(0.126)",="(0.231)",="(0.109)",="(0.238)",="(0.160)",="(0.353)",="(0.177)",="(0.252)",="(0.356)",="(0.697)",="(0.316)",="(0.110)",="(0.186)",="(0.335)",="(0.340)",="(0.474)",="(0.153)",="(0.123)",="(0.269)",="(0.129)",="(0.215)",="(0.297)",="(0.208)",="(0.0772)",="(0.0930)",="(0.140)",="(0.210)",="(0.148)",="(0.167)",="(0.421)",="(0.451)",="(0.824)",="(0.320)",="(0.285)",="(0.111)",="(0.289)",="(0.156)",="(1.070)",="(0.647)",="(0.406)",="(0.213)",="(0.400)"

="2.act",="0.248**",="0.0596***",="0.0508***",="0.0911**",="0.385",="0.454",="0.204*",="0.173**",="0.269**",="0.426",="0.295**",="0.195**",="0.0810***",="0.159**",="0.420",="0.415",="1.100",="0.361*",="0.0900***",="0.350*",="0.367*",="0.0898***",="0.344",="0.170***",="0.159**",="0.488",="0.215*",="0.763",="0.306",="0.0976**",="0.151**",="0.308",="0.239*",="0.402",="0.121**",="0.192",="0.102*",="0.333",="0.433",="0.544",="0.0948*",="1",="0.0428**",="0.0689*",="0.533",="1.262",="0.266",="0.181**",="0.192*",="0.497",="0.217",="0.349",="0.0655**",="0.337",="0.231",="0.165*",="0.503",="0.0895*",="0.206",="0.516",="0.191*",="1.100",="0.352",="0.385",="0.0440**",="0.132",="1",="1.014",="0.634",="0.120*",="0.218",="0.744"
="",="(0.115)",="(0.0441)",="(0.0351)",="(0.0710)",="(0.236)",="(0.264)",="(0.141)",="(0.0998)",="(0.126)",="(0.186)",="(0.127)",="(0.0971)",="(0.0485)",="(0.0940)",="(0.227)",="(0.223)",="(0.569)",="(0.169)",="(0.0458)",="(0.169)",="(0.184)",="(0.0487)",="(0.202)",="(0.0908)",="(0.110)",="(0.326)",="(0.128)",="(0.520)",="(0.230)",="(0.0719)",="(0.107)",="(0.200)",="(0.167)",="(0.319)",="(0.0868)",="(0.184)",="(0.113)",="(0.290)",="(0.314)",="(0.413)",="(0.110)",="(.)",="(0.0486)",="(0.0785)",="(0.433)",="(0.888)",="(0.190)",="(0.109)",="(0.128)",="(0.403)",="(0.188)",="(0.293)",="(0.0686)",="(0.244)",="(0.192)",="(0.135)",="(0.403)",="(0.0905)",="(0.185)",="(0.398)",="(0.146)",="(0.682)",="(0.267)",="(0.286)",="(0.0520)",="(0.157)",="(.)",="(1.097)",="(0.538)",="(0.120)",="(0.198)",="(0.503)"

="3.act",="0.258**",="0.119***",="0.115***",="0.180**",="0.672",="1.102",="0.130***",="0.556",="0.328*",="0.474",="0.170***",="0.197**",="0.313*",="0.213**",="0.262*",="0.276**",="0.631",="0.246**",="0.0577***",="0.395",="0.414",="0.207**",="0.147***",="0.291*",="0.393",="0.357",="0.295*",="1.416",="0.338",="0.143*",="0.121*",="0.218",="0.0934**",="0.113*",="0.0672**",="0.223",="0.248",="0.576",="1.249",="0.623",="0.119",="1",="1",="1",="0.105*",="0.687",="0.138*",="0.0430**",="0.0750*",="0.0832*",="0.682",="0.567",="0.387",="0.218*",="0.184*",="0.208*",="0.117*",="0.0865**",="0.0641**",="0.121",="1.024",="0.559",="0.527",="0.558",="1",="1.031",="0.109*",="0.199",="0.483",="0.867",="0.0793*",="0.0573*"
="",="(0.124)",="(0.0727)",="(0.0681)",="(0.107)",="(0.428)",="(0.624)",="(0.0770)",="(0.305)",="(0.157)",="(0.223)",="(0.0786)",="(0.0992)",="(0.161)",="(0.106)",="(0.160)",="(0.134)",="(0.309)",="(0.122)",="(0.0318)",="(0.227)",="(0.254)",="(0.114)",="(0.0830)",="(0.152)",="(0.242)",="(0.275)",="(0.183)",="(1.029)",="(0.219)",="(0.119)",="(0.121)",="(0.172)",="(0.0776)",="(0.101)",="(0.0702)",="(0.199)",="(0.242)",="(0.459)",="(1.168)",="(0.496)",="(0.130)",="(.)",="(.)",="(.)",="(0.115)",="(0.658)",="(0.110)",="(0.0452)",="(0.0862)",="(0.0945)",="(0.414)",="(0.472)",="(0.246)",="(0.166)",="(0.124)",="(0.149)",="(0.102)",="(0.0741)",="(0.0539)",="(0.137)",="(0.847)",="(0.424)",="(0.391)",="(0.573)",="(.)",="(0.997)",="(0.120)",="(0.229)",="(0.455)",="(0.690)",="(0.0877)",="(0.0674)"

="4.act",="0.211***",="0.355",="0.212**",="0.345*",="0.319",="0.377",="0.187**",="0.643",="0.390",="0.415",="0.140**",="0.287*",="0.192**",="0.275*",="1.228",="0.621",="1.435",="0.258*",="0.330*",="0.614",="0.382",="0.0260***",="0.132**",="0.238*",="0.186*",="1.101",="0.0971**",="0.675",="1.041",="0.621",="1.106",="0.655",="0.591",="1.209",="0.794",="1",="0.123",="1",="0.934",="1",="0.922",="1",="1",="0.908",="0.226",="1.716",="0.322",="0.104*",="0.638",="0.157",="0.480",="0.740",="1",="0.253",="1",="0.159",="0.270",="1.254",="0.805",="1.121",="1",="2.695",="1.222",="1",="0.619",="1.433",="0.712",="1",="1",="1",="1",="1"
="",="(0.0860)",="(0.197)",="(0.117)",="(0.182)",="(0.213)",="(0.227)",="(0.107)",="(0.363)",="(0.223)",="(0.218)",="(0.0955)",="(0.167)",="(0.102)",="(0.152)",="(0.592)",="(0.304)",="(0.684)",="(0.160)",="(0.151)",="(0.330)",="(0.209)",="(0.0275)",="(0.0931)",="(0.137)",="(0.130)",="(0.755)",="(0.0809)",="(0.485)",="(0.622)",="(0.416)",="(0.725)",="(0.425)",="(0.486)",="(1.048)",="(0.857)",="(.)",="(0.134)",="(.)",="(0.809)",="(.)",="(1.015)",="(.)",="(.)",="(0.769)",="(0.264)",="(1.695)",="(0.249)",="(0.114)",="(0.533)",="(0.174)",="(0.387)",="(0.598)",="(.)",="(0.222)",="(.)",="(0.177)",="(0.243)",="(1.078)",="(0.706)",="(1.314)",="(.)",="(2.772)",="(1.383)",="(.)",="(0.570)",="(1.343)",="(0.625)",="(.)",="(.)",="(.)",="(.)",="(.)"

="5.act",="0.292***",="0.269***",="0.206***",="0.398**",="0.634",="0.677",="0.368**",="0.411**",="0.371**",="0.414**",="0.291***",="0.347***",="0.246***",="0.351***",="0.598",="0.502",="0.825",="0.299***",="0.149***",="0.652",="0.670",="0.257***",="0.243***",="0.206***",="0.342**",="0.749",="0.252***",="0.729",="0.484",="0.328**",="0.431*",="0.384*",="0.231**",="0.356",="0.295**",="0.716",="0.605",="0.461",="0.484",="0.537",="0.489",="0.350*",="0.472",="0.520",="0.457",="0.919",="0.159***",="0.358*",="0.621",="0.729",="0.440",="0.763",="0.669",="0.242***",="0.341*",="0.450",="0.760",="0.526",="0.441*",="1.038",="1.127",="1.316",="0.927",="1.232",="0.465",="0.751",="0.351",="0.848",="0.620",="0.374",="0.351*",="0.487"
