
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="0.387***",="0.260***",="0.179***",="0.521",="0.412**",="0.424**",="0.297**",="0.409**",="0.643",="0.303***",="0.183***",="0.240***",="0.429**",="0.315***",="0.403*",="0.260***",="0.471*",="0.527",="0.278***",="0.374**",="0.325**",="0.276**",="0.277***",="0.275**",="0.357**",="0.314*",="0.314**",="1.150",="0.482",="0.523",="0.575",="0.423",="0.255**",="0.255**",="0.145***",="0.652",="0.340*",="0.203**",="0.357*",="0.543",="0.195**",="0.183**",="0.294**",="0.248*",="0.324*",="0.670",="0.276**",="0.217***",="0.459",="0.345*",="0.421",="0.369",="0.195**",="0.142***",="0.244**",="0.311*",="0.349*",="0.186***",="0.124***",="0.400",="0.362*",="0.856",="0.398",="0.611",="0.174**",="0.404",="0.147**",="0.489",="0.547",="0.310*",="0.243*",="0.348"
="",="(0.106)",="(0.0907)",="(0.0615)",="(0.219)",="(0.135)",="(0.132)",="(0.118)",="(0.137)",="(0.196)",="(0.0984)",="(0.0501)",="(0.0707)",="(0.120)",="(0.0887)",="(0.143)",="(0.0936)",="(0.177)",="(0.191)",="(0.0832)",="(0.142)",="(0.123)",="(0.109)",="(0.0971)",="(0.110)",="(0.138)",="(0.147)",="(0.112)",="(0.486)",="(0.203)",="(0.225)",="(0.241)",="(0.211)",="(0.111)",="(0.120)",="(0.0679)",="(0.332)",="(0.154)",="(0.101)",="(0.170)",="(0.280)",="(0.120)",="(0.109)",="(0.136)",="(0.162)",="(0.154)",="(0.326)",="(0.131)",="(0.100)",="(0.196)",="(0.166)",="(0.202)",="(0.209)",="(0.111)",="(0.0709)",="(0.125)",="(0.178)",="(0.157)",="(0.0816)",="(0.0534)",="(0.199)",="(0.167)",="(0.374)",="(0.188)",="(0.307)",="(0.100)",="(0.228)",="(0.0900)",="(0.297)",="(0.299)",="(0.180)",="(0.149)",="(0.231)"

="2.act",="0.0880***",="0.127***",="0.178***",="0.133***",="0.499",="0.420*",="0.222**",="0.250**",="0.600",="0.317**",="0.220***",="0.196***",="0.102***",="0.156***",="0.337*",="0.256**",="0.673",="0.381*",="0.173***",="0.390*",="0.369*",="0.174***",="0.322*",="0.330*",="0.636",="0.467",="0.211***",="0.750",="0.441",="0.177*",="0.214*",="0.232*",="0.105***",="0.286*",="0.0694***",="0.441",="0.0692***",="0.426",="0.499",="0.437",="0.0320***",="0.117*",="0.0576***",="0.0901***",="0.313",="0.728",="0.245*",="0.132***",="0.287*",="1.072",="0.609",="0.601",="0.258",="0.438",="0.392",="0.617",="0.283*",="0.166***",="0.231*",="0.362",="0.183*",="0.819",="0.341",="0.0905***",="0.0396***",="0.260",="0.0621**",="0.261",="0.454",="0.0495**",="0.0636**",="0.449"
="",="(0.0639)",="(0.0558)",="(0.0851)",="(0.0771)",="(0.238)",="(0.184)",="(0.118)",="(0.132)",="(0.209)",="(0.112)",="(0.0809)",="(0.0815)",="(0.0478)",="(0.0622)",="(0.145)",="(0.121)",="(0.274)",="(0.150)",="(0.0692)",="(0.153)",="(0.160)",="(0.0886)",="(0.158)",="(0.179)",="(0.302)",="(0.237)",="(0.0992)",="(0.365)",="(0.232)",="(0.134)",="(0.146)",="(0.133)",="(0.0641)",="(0.158)",="(0.0382)",="(0.248)",="(0.0524)",="(0.274)",="(0.250)",="(0.272)",="(0.0334)",="(0.128)",="(0.0389)",="(0.0627)",="(0.208)",="(0.413)",="(0.138)",="(0.0649)",="(0.146)",="(0.584)",="(0.361)",="(0.385)",="(0.185)",="(0.237)",="(0.236)",="(0.330)",="(0.180)",="(0.0825)",="(0.132)",="(0.212)",="(0.143)",="(0.398)",="(0.191)",="(0.0593)",="(0.0325)",="(0.209)",="(0.0539)",="(0.226)",="(0.358)",="(0.0565)",="(0.0604)",="(0.338)"

="3.act",="0.204**",="0.121***",="0.108***",="0.237**",="0.342*",="0.406",="0.146***",="0.304*",="0.378*",="0.252***",="0.158***",="0.162***",="0.345*",="0.294**",="0.365*",="0.401*",="0.568",="0.390*",="0.203***",="0.263**",="0.707",="0.476",="0.306**",="0.483",="0.426",="0.357",="0.184***",="1.018",="0.302*",="0.183**",="0.0581**",="0.120**",="0.103***",="0.0802***",="0.0527***",="0.0852*",="0.200*",="0.300",="0.559",="0.477",="0.169**",="0.134**",="0.241",="0.0784**",="0.0379**",="0.264",="0.237*",="0.183**",="0.216*",="0.289",="0.753",="0.486",="0.222**",="0.379",="0.411",="0.435",="0.0919***",="0.242*",="0.0609***",="0.0846**",="0.370",="0.372",="0.196**",="0.171*",="0.0223***",="0.200*",="0.0574***",="0.0567**",="0.418",="0.244",="0.0653**",="0.356"
="",="(0.107)",="(0.0600)",="(0.0527)",="(0.124)",="(0.186)",="(0.216)",="(0.0600)",="(0.142)",="(0.155)",="(0.0906)",="(0.0607)",="(0.0703)",="(0.148)",="(0.126)",="(0.186)",="(0.180)",="(0.253)",="(0.170)",="(0.0888)",="(0.123)",="(0.276)",="(0.183)",="(0.125)",="(0.204)",="(0.224)",="(0.207)",="(0.0904)",="(0.567)",="(0.166)",="(0.113)",="(0.0520)",="(0.0824)",="(0.0592)",="(0.0535)",="(0.0376)",="(0.0889)",="(0.153)",="(0.210)",="(0.465)",="(0.277)",="(0.107)",="(0.101)",="(0.251)",="(0.0649)",="(0.0393)",="(0.183)",="(0.136)",="(0.119)",="(0.165)",="(0.191)",="(0.364)",="(0.320)",="(0.128)",="(0.194)",="(0.241)",="(0.302)",="(0.0629)",="(0.145)",="(0.0368)",="(0.0721)",="(0.278)",="(0.211)",="(0.110)",="(0.124)",="(0.0239)",="(0.150)",="(0.0488)",="(0.0604)",="(0.325)",="(0.180)",="(0.0677)",="(0.331)"

="4.act",="0.245**",="0.294**",="0.245***",="0.848",="0.243**",="0.282**",="0.136***",="0.274*",="0.413",="0.356**",="0.161***",="0.405*",="0.340**",="0.217***",="0.798",="0.448*",="0.650",="0.235**",="0.412*",="0.511",="0.701",="0.352*",="0.469",="0.478",="0.767",="0.664",="0.175**",="0.968",="1.051",="1.461",="0.998",="0.490",="0.557",="1.020",="0.837",="0.882",="0.396",="0.243",="0.232",="1",="0.276",="0.229*",="0.0900*",="0.867",="0.457",="0.885",="0.402",="0.220*",="0.239",="0.299",="0.866",="0.666",="0.560",="0.334",="0.349",="0.485",="0.627",="0.578",="0.268",="0.588",="1",="1.171",="0.541",="0.209",="0.617",="1.163",="0.470",="0.303",="0.216",="0.133*",="0.154*",="1.624"
="",="(0.109)",="(0.136)",="(0.0998)",="(0.331)",="(0.122)",="(0.137)",="(0.0644)",="(0.155)",="(0.203)",="(0.142)",="(0.0721)",="(0.166)",="(0.136)",="(0.0924)",="(0.316)",="(0.183)",="(0.260)",="(0.110)",="(0.145)",="(0.195)",="(0.271)",="(0.152)",="(0.202)",="(0.223)",="(0.353)",="(0.338)",="(0.0934)",="(0.582)",="(0.491)",="(0.660)",="(0.475)",="(0.250)",="(0.317)",="(0.571)",="(0.449)",="(0.519)",="(0.222)",="(0.190)",="(0.204)",="(.)",="(0.243)",="(0.167)",="(0.0970)",="(0.548)",="(0.294)",="(0.536)",="(0.217)",="(0.149)",="(0.250)",="(0.213)",="(0.541)",="(0.474)",="(0.458)",="(0.230)",="(0.280)",="(0.406)",="(0.430)",="(0.434)",="(0.244)",="(0.651)",="(.)",="(1.013)",="(0.564)",="(0.170)",="(0.424)",="(0.878)",="(0.352)",="(0.267)",="(0.240)",="(0.111)",="(0.136)",="(1.528)"

="5.act",="0.408***",="0.244***",="0.173***",="0.456***",="0.446***",="0.433***",="0.312***",="0.340***",="0.514**",="0.277***",="0.244***",="0.314***",="0.349***",="0.274***",="0.343***",="0.449**",="0.613",="0.372***",="0.188***",="0.458**",="0.489**",="0.336***",="0.283***",="0.335***",="0.519*",="0.430**",="0.252***",="0.549",="0.470*",="0.415**",="0.543*",="0.329***",="0.204***",="0.293***",="0.203***",="0.991",="0.540*",="0.576",="0.403**",="0.579",="0.287***",="0.399*",="0.405**",="0.539",="0.312***",="0.599",="0.239***",="0.268***",="0.615",="0.643",="0.759",="0.806",="0.707",="0.285***",="0.559",="0.732",="0.500*",="0.401**",="0.338***",="0.706",="0.507",="0.933",="0.442*",="0.953",="0.505",="0.785",="0.204***",="0.556",="0.674",="0.360**",="0.357**",="0.857"
