
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="parent_10",="1.753*",="2.108**",="2.351***",="1.549*",="1.963**",="1.878**",="1.622*",="1.497*",="1.726**",="1.663*",="1.575**",="1.594*",="1.453*",="2.043***",="1.684**",="2.607***",="2.049***",="1.568*",="1.650**",="1.266",="1.526*",="1.787***",="1.519*",="2.014**",="1.956***",="1.464",="1.460",="3.052***",="2.870***",="2.578***",="3.515***",="2.110**"
="",="(0.387)",="(0.494)",="(0.519)",="(0.338)",="(0.407)",="(0.367)",="(0.310)",="(0.297)",="(0.338)",="(0.333)",="(0.275)",="(0.301)",="(0.261)",="(0.440)",="(0.326)",="(0.535)",="(0.401)",="(0.285)",="(0.297)",="(0.240)",="(0.270)",="(0.285)",="(0.275)",="(0.447)",="(0.392)",="(0.334)",="(0.383)",="(0.814)",="(0.737)",="(0.640)",="(0.854)",="(0.483)"

="30.age",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="35.age",="0.756",="0.884",="0.834",="0.753",="0.592***",="0.697*",="0.824",="0.703*",="0.650**",="0.702*",="0.655**",="0.530***",="0.535***",="0.607**",="0.969",="0.742*",="0.659**",="0.874",="0.731*",="0.732*",="0.716*",="0.719*",="0.912",="0.938",="0.875",="0.828",="0.683",="0.776",="0.640*",="0.886",="0.773",="0.650*"
="",="(0.125)",="(0.148)",="(0.129)",="(0.123)",="(0.0922)",="(0.106)",="(0.120)",="(0.110)",="(0.101)",="(0.111)",="(0.0939)",="(0.0810)",="(0.0791)",="(0.0931)",="(0.143)",="(0.107)",="(0.0988)",="(0.127)",="(0.101)",="(0.115)",="(0.105)",="(0.0931)",="(0.140)",="(0.166)",="(0.147)",="(0.168)",="(0.154)",="(0.152)",="(0.124)",="(0.172)",="(0.141)",="(0.126)"

="N",="5393",="5315",="5070",="5134",="5066",="5095",="5068",="5076",="5108",="4938",="4847",="4906",="4913",="4861",="4827",="4996",="5025",="4975",="4822",="4723",="4518",="4168",="4013",="3956",="3718",="3446",="3249",="3293",="3304",="3352",="3267",="3217"

="Exponentiated coefficients; Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
