
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="parent_10",="1.622*",="1.996**",="2.167***",="1.402",="1.762**",="1.779**",="1.513*",="1.372",="1.537*",="1.542*",="1.485*",="1.517*",="1.345",="1.861**",="1.552*",="2.384***",="1.857**",="1.437*",="1.559*",="1.188",="1.440*",="1.690**",="1.454*",="1.876**",="1.721**",="1.372",="1.317",="2.672***",="2.605***",="2.388***",="3.167***",="2.035**"
="",="(0.362)",="(0.470)",="(0.487)",="(0.309)",="(0.370)",="(0.349)",="(0.291)",="(0.274)",="(0.299)",="(0.310)",="(0.263)",="(0.290)",="(0.244)",="(0.405)",="(0.303)",="(0.495)",="(0.365)",="(0.264)",="(0.286)",="(0.225)",="(0.258)",="(0.271)",="(0.269)",="(0.418)",="(0.351)",="(0.324)",="(0.342)",="(0.711)",="(0.671)",="(0.595)",="(0.780)",="(0.477)"

="30.age",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="35.age",="0.782",="0.909",="0.865",="0.803",="0.619**",="0.725*",="0.840",="0.724*",="0.687*",="0.727*",="0.656**",="0.551***",="0.567***",="0.649**",="1.021",="0.779",="0.700*",="0.911",="0.766",="0.748",="0.728*",="0.733*",="0.928",="1.018",="0.930",="0.857",="0.700",="0.804",="0.638*",="0.894",="0.766",="0.644*"
="",="(0.130)",="(0.155)",="(0.135)",="(0.132)",="(0.0969)",="(0.110)",="(0.123)",="(0.113)",="(0.107)",="(0.116)",="(0.0950)",="(0.0853)",="(0.0836)",="(0.101)",="(0.152)",="(0.113)",="(0.106)",="(0.134)",="(0.108)",="(0.117)",="(0.107)",="(0.0962)",="(0.143)",="(0.181)",="(0.159)",="(0.174)",="(0.158)",="(0.161)",="(0.125)",="(0.173)",="(0.142)",="(0.125)"

="0.act",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="0.198***",="0.129***",="0.251**",="0.287*",="0.309**",="0.494",="0.284**",="0.204***",="0.400*",="0.293**",="0.388*",="0.377*",="0.248**",="0.236***",="0.361*",="0.279**",="0.232***",="0.149***",="0.0903***",="0.256**",="0.278**",="0.529",="0.376**",="0.613",="0.177***",="0.386",="0.151**",="0.380*",="0.372*",="0.434*",="0.172***",="0.176**"
="",="(0.0918)",="(0.0653)",="(0.109)",="(0.154)",="(0.126)",="(0.234)",="(0.112)",="(0.0812)",="(0.149)",="(0.117)",="(0.158)",="(0.187)",="(0.123)",="(0.0963)",="(0.143)",="(0.134)",="(0.0939)",="(0.0608)",="(0.0380)",="(0.125)",="(0.121)",="(0.197)",="(0.140)",="(0.250)",="(0.0854)",="(0.208)",="(0.0873)",="(0.188)",="(0.175)",="(0.183)",="(0.0870)",="(0.0967)"

="2.act",="0.0246***",="0.0725*",="0.0406***",="0.0591***",="0.215*",="0.448",="0.214**",="0.0880***",="0.180***",="0.572",="0.373",="0.443",="0.252*",="0.259**",="0.208**",="0.327*",="0.148**",="0.0968***",="0.155***",="0.243**",="0.121**",="0.427",="0.258**",="0.0855***",="0.0342***",="0.138*",="0.0442***",="0.166",="0.178*",="0.0357**",="0.0308***",="0.205*"
="",="(0.0255)",="(0.0758)",="(0.0266)",="(0.0395)",="(0.140)",="(0.240)",="(0.105)",="(0.0431)",="(0.0829)",="(0.261)",="(0.199)",="(0.250)",="(0.153)",="(0.127)",="(0.114)",="(0.156)",="(0.0868)",="(0.0466)",="(0.0797)",="(0.133)",="(0.0898)",="(0.186)",="(0.133)",="(0.0500)",="(0.0262)",="(0.108)",="(0.0347)",="(0.156)",="(0.150)",="(0.0376)",="(0.0282)",="(0.162)"

="3.act",="0.166***",="0.112***",="0.193",="0.0751***",="0.0288***",="0.170**",="0.231*",="0.115**",="0.170*",="0.164**",="0.437",="0.408",="0.189**",="0.346*",="0.235**",="0.252*",="0.0564***",="0.144***",="0.0371***",="0.0551***",="0.256*",="0.214**",="0.156***",="0.177**",="0.0249***",="0.123**",="0.0487***",="0.0352**",="0.158*",="0.167**",="0.0259***",="0.162*"
="",="(0.0833)",="(0.0678)",="(0.178)",="(0.0588)",="(0.0300)",="(0.112)",="(0.136)",="(0.0833)",="(0.123)",="(0.102)",="(0.193)",="(0.249)",="(0.114)",="(0.160)",="(0.114)",="(0.152)",="(0.0377)",="(0.0767)",="(0.0207)",="(0.0448)",="(0.176)",="(0.108)",="(0.0847)",="(0.114)",="(0.0260)",="(0.0893)",="(0.0384)",="(0.0371)",="(0.116)",="(0.115)",="(0.0273)",="(0.134)"

="4.act",="0.197",="0.151**",="0.0616**",="0.493",="0.308",="0.478",="0.275*",="0.141**",="0.113*",="0.166**",="0.327",="0.260",="0.258",="0.148**",="0.109**",="0.159*",="0.274*",="0.283",="0.128*",="0.268",="1",="0.456",="0.295",="0.128**",="0.342",="0.652",="0.281",="0.151*",="0.0821*",="0.114**",="0.0626**",="0.533"
="",="(0.167)",="(0.105)",="(0.0644)",="(0.291)",="(0.190)",="(0.272)",="(0.141)",="(0.0924)",="(0.118)",="(0.109)",="(0.196)",="(0.181)",="(0.203)",="(0.0942)",="(0.0833)",="(0.128)",="(0.180)",="(0.200)",="(0.113)",="(0.280)",="(.)",="(0.389)",="(0.305)",="(0.101)",="(0.233)",="(0.468)",="(0.201)",="(0.125)",="(0.0874)",="(0.0915)",="(0.0538)",="(0.475)"

="5.act",="0.256***",="0.340***",="0.337***",="0.426**",="0.245***",="0.447**",="0.199***",="0.181***",="0.412**",="0.498*",="0.483**",="0.649",="0.688",="0.244***",="0.381***",="0.547*",="0.335***",="0.240***",="0.206***",="0.412**",="0.340***",="0.612",="0.360***",="0.720",="0.485*",="0.536",="0.184***",="0.404**",="0.390**",="0.297***",="0.241***",="0.383**"
="",="(0.0731)",="(0.111)",="(0.0980)",="(0.134)",="(0.0708)",="(0.133)",="(0.0500)",="(0.0482)",="(0.114)",="(0.140)",="(0.134)",="(0.221)",="(0.196)",="(0.0622)",="(0.103)",="(0.137)",="(0.0897)",="(0.0613)",="(0.0496)",="(0.123)",="(0.0983)",="(0.157)",="(0.0998)",="(0.203)",="(0.142)",="(0.193)",="(0.0630)",="(0.131)",="(0.131)",="(0.0991)",="(0.0781)",="(0.142)"

