
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="0.391***",="0.268***",="0.181***",="0.529",="0.446*",="0.435**",="0.295**",="0.405**",="0.632",="0.322***",="0.182***",="0.235***",="0.420**",="0.308***",="0.431*",="0.265***",="0.490",="0.536",="0.261***",="0.380*",="0.325**",="0.283**",="0.287***",="0.286**",="0.385*",="0.329*",="0.319**",="1.157",="0.474",="0.506",="0.568",="0.426",="0.263**",="0.263**",="0.148***",="0.691",="0.366*",="0.206**",="0.376*",="0.578",="0.198**",="0.185**",="0.289**",="0.240*",="0.326*",="0.663",="0.284**",="0.217***",="0.447",="0.354*",="0.410",="0.378",="0.199**",="0.139***",="0.249**",="0.326",="0.347*",="0.179***",="0.124***",="0.409",="0.374*",="0.867",="0.428",="0.622",="0.171**",="0.428",="0.150**",="0.502",="0.512",="0.285*",="0.231*",="0.341"
="",="(0.107)",="(0.0932)",="(0.0619)",="(0.224)",="(0.147)",="(0.134)",="(0.117)",="(0.134)",="(0.193)",="(0.106)",="(0.0497)",="(0.0689)",="(0.118)",="(0.0863)",="(0.153)",="(0.0948)",="(0.182)",="(0.191)",="(0.0813)",="(0.145)",="(0.123)",="(0.110)",="(0.0986)",="(0.112)",="(0.145)",="(0.152)",="(0.113)",="(0.487)",="(0.197)",="(0.216)",="(0.235)",="(0.213)",="(0.114)",="(0.124)",="(0.0696)",="(0.348)",="(0.164)",="(0.102)",="(0.180)",="(0.303)",="(0.123)",="(0.109)",="(0.132)",="(0.156)",="(0.153)",="(0.322)",="(0.136)",="(0.100)",="(0.192)",="(0.171)",="(0.197)",="(0.213)",="(0.113)",="(0.0687)",="(0.128)",="(0.187)",="(0.156)",="(0.0781)",="(0.0531)",="(0.205)",="(0.172)",="(0.379)",="(0.196)",="(0.317)",="(0.0989)",="(0.238)",="(0.0914)",="(0.307)",="(0.279)",="(0.164)",="(0.143)",="(0.229)"

="2.act",="0.0896***",="0.131***",="0.177***",="0.134***",="0.533",="0.433",="0.220**",="0.235**",="0.586",="0.323**",="0.220***",="0.196***",="0.102***",="0.157***",="0.349*",="0.253**",="0.691",="0.382*",="0.164***",="0.393*",="0.369*",="0.173***",="0.322*",="0.326*",="0.656",="0.488",="0.215**",="0.766",="0.436",="0.174*",="0.209*",="0.233*",="0.108***",="0.295*",="0.0714***",="0.445",="0.0701***",="0.422",="0.494",="0.453",="0.0321***",="0.122",="0.0560***",="0.0863***",="0.318",="0.760",="0.261*",="0.136***",="0.287*",="1.090",="0.603",="0.586",="0.252",="0.406",="0.401",="0.663",="0.293",="0.159***",="0.230**",="0.366",="0.184*",="0.807",="0.343",="0.0920***",="0.0390***",="0.264",="0.0605**",="0.264",="0.422",="0.0459**",="0.0617**",="0.445"
="",="(0.0653)",="(0.0571)",="(0.0842)",="(0.0775)",="(0.256)",="(0.190)",="(0.117)",="(0.124)",="(0.205)",="(0.114)",="(0.0807)",="(0.0811)",="(0.0478)",="(0.0623)",="(0.151)",="(0.120)",="(0.280)",="(0.150)",="(0.0669)",="(0.154)",="(0.159)",="(0.0877)",="(0.158)",="(0.176)",="(0.307)",="(0.245)",="(0.101)",="(0.372)",="(0.226)",="(0.133)",="(0.142)",="(0.132)",="(0.0658)",="(0.162)",="(0.0392)",="(0.250)",="(0.0532)",="(0.272)",="(0.248)",="(0.283)",="(0.0336)",="(0.133)",="(0.0377)",="(0.0596)",="(0.212)",="(0.428)",="(0.147)",="(0.0665)",="(0.145)",="(0.592)",="(0.352)",="(0.371)",="(0.179)",="(0.220)",="(0.241)",="(0.353)",="(0.188)",="(0.0788)",="(0.131)",="(0.215)",="(0.143)",="(0.392)",="(0.192)",="(0.0603)",="(0.0321)",="(0.212)",="(0.0520)",="(0.228)",="(0.334)",="(0.0521)",="(0.0586)",="(0.337)"

="3.act",="0.209**",="0.130***",="0.110***",="0.247**",="0.375",="0.424",="0.148***",="0.294**",="0.428*",="0.268***",="0.163***",="0.161***",="0.348*",="0.293**",="0.409",="0.413*",="0.598",="0.395*",="0.188***",="0.270**",="0.705",="0.471*",="0.300**",="0.467",="0.434",="0.372",="0.188***",="1.027",="0.297*",="0.180**",="0.0571**",="0.123**",="0.108***",="0.0837***",="0.0543***",="0.0865*",="0.204*",="0.296",="0.545",="0.481",="0.170**",="0.140**",="0.239",="0.0760**",="0.0373**",="0.261*",="0.247*",="0.184**",="0.205*",="0.290",="0.713",="0.503",="0.213**",="0.353*",="0.422",="0.472",="0.0966***",="0.234*",="0.0602***",="0.0854**",="0.363",="0.371",="0.194**",="0.174*",="0.0219***",="0.205*",="0.0572***",="0.0569**",="0.392",="0.257*",="0.0599**",="0.326"
="",="(0.110)",="(0.0640)",="(0.0529)",="(0.128)",="(0.205)",="(0.227)",="(0.0603)",="(0.138)",="(0.169)",="(0.0950)",="(0.0622)",="(0.0700)",="(0.149)",="(0.123)",="(0.202)",="(0.182)",="(0.264)",="(0.170)",="(0.0848)",="(0.126)",="(0.275)",="(0.180)",="(0.122)",="(0.200)",="(0.229)",="(0.214)",="(0.0925)",="(0.570)",="(0.162)",="(0.111)",="(0.0510)",="(0.0843)",="(0.0615)",="(0.0556)",="(0.0387)",="(0.0902)",="(0.156)",="(0.206)",="(0.452)",="(0.280)",="(0.107)",="(0.104)",="(0.247)",="(0.0625)",="(0.0386)",="(0.178)",="(0.141)",="(0.119)",="(0.155)",="(0.191)",="(0.341)",="(0.329)",="(0.125)",="(0.184)",="(0.248)",="(0.325)",="(0.0662)",="(0.140)",="(0.0363)",="(0.0727)",="(0.273)",="(0.211)",="(0.109)",="(0.126)",="(0.0234)",="(0.154)",="(0.0482)",="(0.0607)",="(0.304)",="(0.174)",="(0.0619)",="(0.299)"

="4.act",="0.246**",="0.310*",="0.244***",="0.844",="0.259**",="0.294*",="0.133***",="0.266*",="0.416",="0.370*",="0.161***",="0.400*",="0.343**",="0.218***",="0.837",="0.443*",="0.658",="0.240**",="0.417*",="0.507",="0.691",="0.346*",="0.471",="0.471",="0.778",="0.681",="0.179**",="0.978",="1.011",="1.421",="0.962",="0.493",="0.574",="1.061",="0.867",="0.881",="0.384",="0.238",="0.223",="1",="0.268",="0.228*",="0.0883*",="0.842",="0.452",="0.873",="0.410",="0.214*",="0.225",="0.295",="0.821",="0.661",="0.518",="0.311",="0.362",="0.523",="0.613",="0.553",="0.261",="0.582",="1",="1.143",="0.545",="0.212",="0.609",="1.157",="0.474",="0.318",="0.204",="0.125*",="0.142*",="1.444"
="",="(0.109)",="(0.143)",="(0.0994)",="(0.329)",="(0.131)",="(0.142)",="(0.0631)",="(0.151)",="(0.205)",="(0.147)",="(0.0719)",="(0.165)",="(0.137)",="(0.0925)",="(0.327)",="(0.181)",="(0.263)",="(0.112)",="(0.148)",="(0.194)",="(0.267)",="(0.148)",="(0.202)",="(0.219)",="(0.356)",="(0.347)",="(0.0953)",="(0.584)",="(0.470)",="(0.641)",="(0.458)",="(0.251)",="(0.325)",="(0.596)",="(0.464)",="(0.520)",="(0.216)",="(0.186)",="(0.196)",="(.)",="(0.237)",="(0.167)",="(0.0951)",="(0.528)",="(0.286)",="(0.525)",="(0.222)",="(0.145)",="(0.238)",="(0.210)",="(0.520)",="(0.477)",="(0.418)",="(0.211)",="(0.290)",="(0.437)",="(0.417)",="(0.413)",="(0.236)",="(0.645)",="(.)",="(1.009)",="(0.570)",="(0.173)",="(0.419)",="(0.880)",="(0.356)",="(0.278)",="(0.224)",="(0.104)",="(0.124)",="(1.355)"

="5.act",="0.415***",="0.252***",="0.172***",="0.458***",="0.475***",="0.454***",="0.308***",="0.328***",="0.518**",="0.288***",="0.243***",="0.320***",="0.356***",="0.272***",="0.355***",="0.433**",="0.616",="0.374***",="0.197***",="0.460**",="0.486**",="0.335***",="0.283***",="0.342***",="0.538*",="0.442**",="0.257***",="0.563",="0.464**",="0.409**",="0.536*",="0.333***",="0.210***",="0.306***",="0.209***",="0.995",="0.548*",="0.588",="0.422**",="0.603",="0.296***",="0.408*",="0.399**",="0.523",="0.320***",="0.610",="0.248***",="0.273***",="0.597",="0.679",="0.742",="0.804",="0.684",="0.273***",="0.575",="0.787",="0.521*",="0.386**",="0.338***",="0.723",="0.505",="0.938",="0.445*",="0.944",="0.506",="0.912",="0.212***",="0.580",="0.648",="0.337**",="0.336**",="0.847"
