
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="0.209**",="0.123**",="0.0770***",="0.317",="0.160**",="0.246*",="0.279*",="1.341",="1.132",="0.635",="0.131**",="0.284",="0.407",="0.347",="0.372",="0.216",="0.0954**",="0.303",="0.253",="0.123***",="0.607",="0.191**",="0.290",="0.462",="0.396",="0.129*",="0.128*",="0.102*",="0.228",="0.0602***",="0.133**",="0.494",="0.185*",="1.058",="0.371",="0.169",="1.121",="0.0953*",="0.550",="1.177",="1.287",="1.002",="0.973",="1.152",="1",="0.0553**",="0.0236***",="0.649",="0.491",="0.207*",="0.137**",="0.171**",="0.537",="0.144**",="0.150*",="0.0455*",="0.371",="0.304",="0.881",="1.541",="0.203*",="0.647",="0.0513***",="0.129**",="0.108**",="0.145",="0.138**",="0.0223**",="0.324",="0.0633***",="0.830",="0.145**"
="",="(0.110)",="(0.0801)",="(0.0528)",="(0.203)",="(0.0965)",="(0.135)",="(0.159)",="(0.728)",="(0.660)",="(0.385)",="(0.0852)",="(0.236)",="(0.248)",="(0.276)",="(0.278)",="(0.182)",="(0.0699)",="(0.203)",="(0.194)",="(0.0752)",="(0.359)",="(0.120)",="(0.194)",="(0.295)",="(0.250)",="(0.115)",="(0.116)",="(0.0974)",="(0.179)",="(0.0410)",="(0.0903)",="(0.421)",="(0.152)",="(0.738)",="(0.231)",="(0.154)",="(0.784)",="(0.114)",="(0.458)",="(0.952)",="(1.031)",="(0.844)",="(0.619)",="(0.896)",="(.)",="(0.0529)",="(0.0260)",="(0.467)",="(0.338)",="(0.136)",="(0.0880)",="(0.107)",="(0.376)",="(0.101)",="(0.143)",="(0.0564)",="(0.356)",="(0.265)",="(0.624)",="(1.223)",="(0.134)",="(0.412)",="(0.0382)",="(0.101)",="(0.0914)",="(0.185)",="(0.0945)",="(0.0275)",="(0.305)",="(0.0452)",="(0.595)",="(0.105)"

="2.act",="0.0757***",="0.0562**",="1",="0.200",="0.130*",="1.134",="0.553",="0.503",="1.210",="0.0199***",="0.0446**",="0.0427*",="0.519",="1",="0.0453**",="0.1000*",="1",="0.247",="0.120*",="0.0333**",="1.025",="0.240*",="0.342",="0.265",="0.388",="0.436",="1",="1",="0.0613*",="0.0531***",="0.114*",="0.651",="0.238",="0.208",="0.185",="1",="0.311",="0.378",="0.309",="0.462",="0.165",="0.197",="0.402",="0.466",="0.596",="0.212*",="0.0987**",="0.231",="0.0945*",="0.0553*",="1",="1",="1",="0.582",="0.327",="0.0413**",="0.274",="1",="0.114**",="1.372",="0.0734*",="0.390",="0.0318**",="0.183*",="0.110*",="1",="0.0237***",="0.0503*",="0.250",="0.0574**",="0.228",="1"
="",="(0.0560)",="(0.0496)",="(.)",="(0.238)",="(0.132)",="(1.312)",="(0.568)",="(0.410)",="(1.018)",="(0.0228)",="(0.0467)",="(0.0591)",="(0.364)",="(.)",="(0.0487)",="(0.106)",="(.)",="(0.246)",="(0.111)",="(0.0355)",="(0.735)",="(0.155)",="(0.226)",="(0.296)",="(0.351)",="(0.386)",="(.)",="(.)",="(0.0709)",="(0.0470)",="(0.0979)",="(0.505)",="(0.263)",="(0.234)",="(0.165)",="(.)",="(0.341)",="(0.318)",="(0.244)",="(0.443)",="(0.191)",="(0.205)",="(0.365)",="(0.416)",="(0.560)",="(0.163)",="(0.0880)",="(0.215)",="(0.104)",="(0.0646)",="(.)",="(.)",="(.)",="(0.408)",="(0.265)",="(0.0488)",="(0.266)",="(.)",="(0.0870)",="(0.947)",="(0.0763)",="(0.243)",="(0.0347)",="(0.142)",="(0.110)",="(.)",="(0.0267)",="(0.0651)",="(0.217)",="(0.0525)",="(0.260)",="(.)"

="3.act",="0.142*",="0.0632**",="0.0618*",="1",="1",="1",="0.200",="0.934",="3.123",="1",="0.104*",="0.241",="0.0859*",="1",="1",="1.180",="0.419",="0.231",="1",="0.212*",="0.0922*",="1",="1",="0.188",="0.296",="0.274",="0.240",="1",="1",="1",="0.0626*",="1",="1",="1",="0.734",="1.021",="1.741",="0.509",="0.579",="0.498",="1",="1",="1",="0.807",="1",="0.271",="1",="1.022",="1",="0.0458*",="0.0675*",="1",="1",="0.0940*",="0.0938*",="0.315",="0.215",="0.0555*",="0.128*",="0.307",="0.170",="0.746",="0.201*",="0.283",="0.389",="0.215",="1",="0.0906",="0.166",="0.147*",="1.009",="0.148*"
="",="(0.111)",="(0.0567)",="(0.0853)",="(.)",="(.)",="(.)",="(0.193)",="(0.725)",="(2.094)",="(.)",="(0.0929)",="(0.251)",="(0.0973)",="(.)",="(.)",="(0.958)",="(0.309)",="(0.222)",="(.)",="(0.163)",="(0.108)",="(.)",="(.)",="(0.186)",="(0.293)",="(0.224)",="(0.272)",="(.)",="(.)",="(.)",="(0.0740)",="(.)",="(.)",="(.)",="(0.636)",="(0.768)",="(1.598)",="(0.606)",="(0.504)",="(0.534)",="(.)",="(.)",="(.)",="(0.688)",="(.)",="(0.254)",="(.)",="(1.115)",="(.)",="(0.0604)",="(0.0761)",="(.)",="(.)",="(0.100)",="(0.0894)",="(0.261)",="(0.198)",="(0.0637)",="(0.114)",="(0.342)",="(0.159)",="(0.450)",="(0.127)",="(0.237)",="(0.358)",="(0.271)",="(.)",="(0.111)",="(0.204)",="(0.128)",="(0.840)",="(0.139)"

="4.act",="1",="1",="0.0739*",="1",="0.442",="0.491",="0.129",="0.466",="3.060",="0.656",="0.0592*",="0.350",="0.256",="0.317",="0.0766*",="0.422",="0.315",="0.319",="0.117*",="1",="0.103*",="0.0567**",="0.0800**",="0.0610*",="0.376",="1",="1.150",="0.292",="0.412",="0.294",="0.504",="0.457",="0.156",="0.0988**",="0.169",="0.716",="0.322",="1",="0.557",="1",="0.792",="1",="1",="0.284",="1",="0.158",="1",="1",="0.440",="1",="1",="1",="0.202",="0.127",="0.208",="0.530",="0.542",="0.249",="0.340",="1.850",="0.450",="0.679",="0.0844*",="1",="1",="1",="0.136*",="0.122",="0.240",="0.0481*",="0.425",="0.544"
="",="(.)",="(.)",="(0.0879)",="(.)",="(0.428)",="(0.372)",="(0.149)",="(0.453)",="(2.950)",="(0.610)",="(0.0654)",="(0.366)",="(0.227)",="(0.253)",="(0.0842)",="(0.364)",="(0.270)",="(0.251)",="(0.100)",="(.)",="(0.116)",="(0.0611)",="(0.0681)",="(0.0705)",="(0.296)",="(.)",="(0.918)",="(0.335)",="(0.344)",="(0.201)",="(0.352)",="(0.359)",="(0.174)",="(0.0883)",="(0.161)",="(0.627)",="(0.369)",="(.)",="(0.634)",="(.)",="(0.926)",="(.)",="(.)",="(0.325)",="(.)",="(0.191)",="(.)",="(.)",="(0.384)",="(.)",="(.)",="(.)",="(0.239)",="(0.145)",="(0.196)",="(0.631)",="(0.684)",="(0.302)",="(0.279)",="(1.508)",="(0.372)",="(0.519)",="(0.0936)",="(.)",="(.)",="(.)",="(0.126)",="(0.165)",="(0.255)",="(0.0621)",="(0.510)",="(0.667)"

="5.act",="0.222***",="0.0901***",="0.187***",="0.206**",="0.267**",="0.316**",="0.595",="0.483",="0.821",="0.267**",="0.189***",="0.482",="0.368*",="0.456",="0.487",="0.610",="0.344*",="0.280**",="0.189***",="0.195***",="0.368*",="0.157***",="0.146***",="0.185**",="0.256*",="0.212***",="0.233**",="0.622",="0.332*",="0.130***",="0.401",="0.478",="0.283**",="0.188**",="0.161***",="0.222**",="0.400",="0.204**",="0.209**",="0.460",="0.906",="0.295*",="0.284*",="0.438",="0.853",="0.203**",="0.189**",="0.844",="0.433",="0.154***",="0.232**",="0.199***",="0.636",="0.253**",="0.174**",="0.591",="0.847",="0.177**",="0.160***",="0.987",="0.453",="0.802",="0.164***",="0.434",="0.393",="0.259*",="0.175**",="0.151*",="0.308",="0.0764***",="0.375",="0.293*"
