
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="m130",="m131",="m132",="m133",="m134",="m135",="m136",="m137",="m138",="m139",="m140",="m141",="m142",="m143",="m144",="m145",="m146",="m147",="m148",="m149",="m150",="m151",="m152",="m153",="m154",="m155",="m156",="m157",="m158",="m159",="m160",="m161",="m162",="m163",="m164",="m165",="m166",="m167",="m168",="m169",="m170",="m171",="m172",="m173",="m174",="m175",="m176",="m177",="m178",="m179",="m180",="m181",="m182",="m183",="m184",="m185",="m186",="m187",="m188",="m189",="m190",="m191",="m192",="m193",="m194",="m195",="m196",="m197",="m198",="m199",="m200",="m201"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="-1.126***",="-1.079**",="-1.373***",="-0.773",="-0.784*",="-1.244***",="-1.243**",="-0.518",="0.0438",="-1.394***",="-1.678***",="-1.615***",="-1.386***",="-1.481***",="-1.267**",="-0.813",="-1.283**",="-0.910*",="-1.246**",="-1.023*",="-0.938*",="-0.953*",="-0.779",="-0.918",="-0.0100",="-1.006*",="-0.774",="0.0748",="-0.502",="-0.389",="0.0367",="-0.623",="-1.185*",="-1.110",="-2.618***",="-0.387",="-1.317*",="-2.439***",="-1.773**",="-1.958**",="-2.102***",="-0.517",="-1.426**",="-1.987**",="-0.787",="-0.705",="-1.631**",="-1.772**",="-0.395",="-0.212",="-0.428",="-1.620*",="-2.075**",="-2.544***",="-1.394*",="-0.760",="-0.908",="-1.932***",="-2.395***",="-1.679**",="-0.907",="-0.632",="-1.215*",="-0.203",="-1.322*",="0.0769",="-2.249***",="-1.784*",="-2.104*",="-1.292",="-1.410",="-1.162"
="",="(0.244)",="(0.411)",="(0.403)",="(0.500)",="(0.342)",="(0.361)",="(0.432)",="(0.390)",="(0.381)",="(0.409)",="(0.338)",="(0.392)",="(0.368)",="(0.356)",="(0.426)",="(0.428)",="(0.455)",="(0.391)",="(0.380)",="(0.502)",="(0.432)",="(0.465)",="(0.420)",="(0.558)",="(0.452)",="(0.493)",="(0.412)",="(0.485)",="(0.435)",="(0.536)",="(0.549)",="(0.649)",="(0.469)",="(0.767)",="(0.587)",="(0.600)",="(0.660)",="(0.672)",="(0.550)",="(0.621)",="(0.581)",="(0.586)",="(0.537)",="(0.678)",="(0.561)",="(0.533)",="(0.559)",="(0.671)",="(0.532)",="(0.509)",="(0.483)",="(0.648)",="(0.732)",="(0.631)",="(0.583)",="(0.592)",="(0.501)",="(0.556)",="(0.549)",="(0.591)",="(0.537)",="(0.509)",="(0.498)",="(0.544)",="(0.641)",="(0.667)",="(0.657)",="(0.744)",="(0.841)",="(0.736)",="(0.760)",="(0.986)"

