
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent"

="permanent",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="6.018***",="4.623***",="4.372***",="4.627***",="3.253***",="4.817***",="4.597***",="7.294***",="4.222***",="3.056***",="3.691***",="3.489***",="4.913***",="4.283***",="4.725***",="4.049***",="3.912***",="6.676***",="6.771***",="4.847***",="4.030***",="4.081***",="4.237***",="4.602***",="5.422***",="4.087***",="6.883***",="6.277***",="7.013***",="6.893***",="4.762***",="6.899***",="6.722***",="5.029***",="6.720***",="7.903***",="6.751***",="5.382***",="5.689***",="6.215***",="4.590***",="4.095***",="4.626***",="4.878***",="6.190***",="4.442***",="3.724***",="4.118***",="3.640***",="5.204***",="3.371***",="4.269***",="3.591***",="3.455***",="3.944***",="5.023***",="6.617***",="6.295***",="5.780***",="4.761***",="3.313***",="2.541**",="1.834*",="2.358**",="3.130***",="3.343***",="3.174***",="4.215***",="3.945***",="4.049***",="6.449***",="3.791***"
="",="(1.517)",="(1.191)",="(1.135)",="(1.296)",="(0.807)",="(1.220)",="(1.192)",="(1.868)",="(1.168)",="(0.851)",="(1.009)",="(0.943)",="(1.460)",="(1.241)",="(1.294)",="(1.089)",="(1.030)",="(1.694)",="(1.703)",="(1.181)",="(0.942)",="(0.965)",="(1.014)",="(1.063)",="(1.251)",="(0.997)",="(1.648)",="(1.425)",="(1.600)",="(1.659)",="(1.198)",="(1.797)",="(1.730)",="(1.325)",="(1.744)",="(2.048)",="(1.613)",="(1.392)",="(1.452)",="(1.550)",="(1.207)",="(1.084)",="(1.203)",="(1.207)",="(1.525)",="(1.056)",="(0.874)",="(0.975)",="(0.846)",="(1.329)",="(0.818)",="(1.039)",="(0.877)",="(0.852)",="(0.989)",="(1.293)",="(1.805)",="(1.730)",="(1.559)",="(1.258)",="(0.913)",="(0.725)",="(0.506)",="(0.651)",="(0.948)",="(1.052)",="(1.035)",="(1.382)",="(1.242)",="(1.406)",="(2.172)",="(1.227)"

