
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent"

="permanent",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="7.113***",="4.887***",="4.661***",="4.807***",="3.060***",="4.588***",="4.162***",="5.960***",="3.897***",="2.874***",="3.578***",="3.293***",="4.521***",="4.175***",="4.649***",="3.761***",="3.501***",="5.843***",="6.193***",="4.416***",="3.968***",="4.043***",="4.200***",="4.947***",="5.980***",="4.660***",="7.811***",="7.014***",="7.309***",="7.345***",="4.731***",="6.542***",="6.985***",="5.267***",="6.232***",="6.999***",="7.106***",="6.410***",="6.700***",="7.584***",="5.169***",="4.482***",="4.706***",="4.493***",="5.954***",="4.119***",="3.651***",="4.102***",="3.675***",="5.426***",="3.225***",="4.173***",="3.524***",="3.443***",="3.711***",="4.488***",="6.310***",="6.096***",="6.310***",="4.795***",="3.059***",="2.501**",="1.634",="2.258**",="3.097***",="3.774***",="3.508***",="4.164***",="3.721***",="3.966***",="5.607***",="3.600***"
="",="(1.914)",="(1.324)",="(1.292)",="(1.397)",="(0.796)",="(1.208)",="(1.110)",="(1.502)",="(1.100)",="(0.836)",="(1.022)",="(0.899)",="(1.369)",="(1.240)",="(1.291)",="(1.054)",="(0.962)",="(1.527)",="(1.616)",="(1.111)",="(0.945)",="(0.978)",="(1.038)",="(1.175)",="(1.396)",="(1.170)",="(1.949)",="(1.657)",="(1.726)",="(1.829)",="(1.221)",="(1.745)",="(1.849)",="(1.429)",="(1.643)",="(1.833)",="(1.740)",="(1.738)",="(1.765)",="(1.989)",="(1.421)",="(1.237)",="(1.266)",="(1.138)",="(1.499)",="(1.006)",="(0.882)",="(1.000)",="(0.880)",="(1.438)",="(0.805)",="(1.046)",="(0.883)",="(0.872)",="(0.950)",="(1.177)",="(1.740)",="(1.697)",="(1.776)",="(1.311)",="(0.860)",="(0.724)",="(0.458)",="(0.636)",="(0.943)",="(1.230)",="(1.188)",="(1.401)",="(1.201)",="(1.416)",="(1.923)",="(1.187)"

