
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent"

="permanent",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="5.726***",="5.834***",="7.947***",="4.550***",="5.246***",="5.895***",="6.630***",="6.683***",="9.610***",="8.320***",="10.02***",="9.822***",="4.971***",="5.031***",="4.263***",="5.922***",="6.535***",="4.362***",="6.027***",="6.956***",="9.816***",="7.258***",="9.156***",="6.969***",="6.748***",="7.747***",="4.998***",="6.765***",="9.140***",="7.569***",="4.545***",="6.397***",="5.509***",="4.964***",="6.300***",="4.550***",="6.859***",="7.278***",="4.944***",="5.415***",="5.793***",="6.171***",="4.948***",="5.933***",="4.352***",="2.320**",="3.953***",="4.452***",="5.345***",="4.499***",="4.323***",="5.607***",="5.224***",="3.627***",="3.652***",="3.855***",="4.405***",="5.195***",="5.383***",="3.368***",="4.232***",="5.159***",="4.260***",="4.547***",="5.908***",="6.025***",="4.464***",="3.393***",="4.725***",="4.066***",="5.794***",="7.992***"
="",="(1.649)",="(1.763)",="(2.659)",="(1.360)",="(1.728)",="(1.834)",="(2.037)",="(2.007)",="(2.914)",="(2.458)",="(2.928)",="(2.995)",="(1.452)",="(1.562)",="(1.240)",="(1.798)",="(1.992)",="(1.299)",="(1.746)",="(2.059)",="(2.843)",="(2.096)",="(2.963)",="(2.154)",="(1.977)",="(2.230)",="(1.524)",="(2.101)",="(2.749)",="(2.347)",="(1.381)",="(1.966)",="(1.668)",="(1.601)",="(2.047)",="(1.391)",="(2.211)",="(2.146)",="(1.399)",="(1.576)",="(1.839)",="(1.953)",="(1.575)",="(1.720)",="(1.307)",="(0.672)",="(1.107)",="(1.282)",="(1.519)",="(1.309)",="(1.200)",="(1.556)",="(1.422)",="(0.957)",="(0.977)",="(1.044)",="(1.195)",="(1.436)",="(1.524)",="(0.967)",="(1.339)",="(1.774)",="(1.334)",="(1.462)",="(1.926)",="(1.993)",="(1.512)",="(1.166)",="(1.676)",="(1.371)",="(2.070)",="(2.930)"

