
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent"

="permanent",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="7.118***",="6.951***",="13.18***",="16.46***",="9.868***",="6.512***",="8.984***",="7.368***",="6.115***",="9.142***",="9.836***",="8.307***",="7.802***",="8.457***",="8.431***",="6.415***",="7.252***",="4.858***",="5.544***",="7.015***",="9.480***",="5.942***",="5.393***",="5.923***",="10.48***",="9.579***",="6.626***",="6.605***",="10.20***",="7.430***",="10.18***",="11.70***",="8.376***",="10.28***",="12.94***",="10.36***",="10.43***",="8.678***",="7.503***",="7.609***",="7.928***",="6.237***",="5.380***",="6.301***",="6.660***",="5.278***",="7.441***",="7.472***",="9.595***",="9.990***",="8.630***",="8.094***",="8.651***",="11.32***",="7.952***",="6.484***",="7.853***",="12.60***",="8.108***",="6.171***",="5.597***",="4.663***",="8.763***",="5.133***",="13.72***",="4.574***",="5.411***",="2.691*",="3.416**",="3.012**",="3.536**",="3.478**"
="",="(2.036)",="(2.117)",="(4.461)",="(6.559)",="(3.082)",="(1.903)",="(2.798)",="(2.524)",="(1.965)",="(3.022)",="(3.091)",="(2.315)",="(2.155)",="(2.390)",="(2.387)",="(1.837)",="(2.080)",="(1.437)",="(1.822)",="(2.181)",="(2.976)",="(1.761)",="(1.616)",="(1.805)",="(3.545)",="(3.296)",="(2.151)",="(2.183)",="(3.816)",="(2.605)",="(3.510)",="(4.147)",="(3.114)",="(3.811)",="(4.564)",="(3.622)",="(3.577)",="(2.710)",="(2.453)",="(2.686)",="(2.730)",="(2.053)",="(1.860)",="(2.266)",="(2.170)",="(1.750)",="(2.442)",="(2.477)",="(3.275)",="(3.575)",="(3.274)",="(2.996)",="(3.145)",="(4.162)",="(2.733)",="(2.163)",="(2.578)",="(4.125)",="(2.752)",="(2.208)",="(2.056)",="(1.763)",="(3.521)",="(1.778)",="(5.125)",="(1.734)",="(2.331)",="(1.124)",="(1.454)",="(1.171)",="(1.374)",="(1.331)"

