
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="parent_10",="2.652***",="3.407***",="3.097***",="2.965***",="3.280***",="3.613***",="2.889***",="2.703***",="2.697***",="2.514***",="2.568***",="2.565***",="2.316***",="2.644***",="2.688***",="2.726***",="2.967***",="2.489***",="2.437***",="2.386***",="2.130***",="2.313***",="2.561***",="2.623***",="2.574***",="2.405***",="2.629***",="3.148***",="2.838***",="3.077***",="3.252***",="3.543***"
="",="(0.349)",="(0.469)",="(0.432)",="(0.431)",="(0.442)",="(0.473)",="(0.361)",="(0.332)",="(0.329)",="(0.303)",="(0.291)",="(0.312)",="(0.272)",="(0.341)",="(0.338)",="(0.345)",="(0.402)",="(0.314)",="(0.304)",="(0.311)",="(0.268)",="(0.281)",="(0.346)",="(0.372)",="(0.393)",="(0.361)",="(0.426)",="(0.562)",="(0.448)",="(0.490)",="(0.522)",="(0.546)"

="30.age",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="35.age",="1.015",="0.982",="0.858",="0.734***",="0.705***",="0.691***",="0.751***",="0.722***",="0.725***",="0.773**",="0.690***",="0.756**",="0.684***",="0.819*",="1.009",="0.846",="0.791**",="0.956",="0.857",="0.796*",="0.740**",="0.743**",="0.830",="0.845",="0.829",="0.807",="0.766*",="0.740*",="0.785*",="0.904",="0.832",="0.617***"
="",="(0.0906)",="(0.0877)",="(0.0748)",="(0.0651)",="(0.0612)",="(0.0589)",="(0.0631)",="(0.0611)",="(0.0616)",="(0.0657)",="(0.0569)",="(0.0644)",="(0.0572)",="(0.0715)",="(0.0888)",="(0.0747)",="(0.0711)",="(0.0866)",="(0.0761)",="(0.0742)",="(0.0684)",="(0.0676)",="(0.0810)",="(0.0874)",="(0.0898)",="(0.0894)",="(0.0919)",="(0.0879)",="(0.0891)",="(0.106)",="(0.0936)",="(0.0691)"

="N",="7023",="6870",="6540",="6586",="6487",="6424",="6360",="6331",="6366",="6173",="6069",="6085",="6078",="6012",="5902",="6039",="6049",="5947",="5745",="5626",="5406",="4983",="4826",="4759",="4481",="4246",="3965",="4006",="4010",="4059",="3926",="3859"

="Exponentiated coefficients; Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
