
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent"

="permanent",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="13.30***",="6.855***",="25.20***",="27.60***",="11.44***",="9.051***",="10.73***",="5.419***",="8.318***",="9.373***",="9.114***",="11.00***",="12.19***",="10.49***",="10.94***",="8.740***",="7.585***",="9.678***",="6.202***",="10.61***",="8.690***",="3.792***",="4.427***",="6.849***",="11.01***",="12.68***",="13.46***",="7.478***",="14.45***",="13.38***",="14.12***",="12.41***",="11.54***",="10.04***",="9.477***",="6.264***",="9.795***",="5.188***",="7.924***",="10.48***",="6.645***",="5.777***",="5.317***",="7.531***",="5.868***",="5.277***",="8.596***",="7.178***",="7.946***",="7.694***",="6.857***",="5.292***",="6.911***",="10.86***",="13.28***",="8.681***",="7.118***",="11.81***",="8.631***",="5.640***",="4.061**",="2.579*",="5.256***",="3.790**",="11.44***",="6.730***",="6.833***",="2.556",="3.432*",="3.420**",="4.252**",="4.851***"
="",="(5.204)",="(2.635)",="(12.34)",="(14.69)",="(5.011)",="(3.648)",="(4.279)",="(2.606)",="(3.844)",="(4.279)",="(4.007)",="(4.320)",="(4.741)",="(4.176)",="(4.226)",="(3.703)",="(3.030)",="(4.014)",="(2.925)",="(4.661)",="(3.436)",="(1.373)",="(1.683)",="(2.718)",="(5.048)",="(6.149)",="(5.568)",="(3.067)",="(6.428)",="(6.220)",="(6.276)",="(5.822)",="(5.755)",="(4.873)",="(4.469)",="(2.771)",="(4.590)",="(2.000)",="(3.411)",="(5.023)",="(2.968)",="(2.375)",="(2.271)",="(3.224)",="(2.254)",="(2.081)",="(3.531)",="(2.978)",="(3.380)",="(3.472)",="(3.422)",="(2.373)",="(3.189)",="(4.857)",="(6.037)",="(3.971)",="(2.832)",="(4.882)",="(3.604)",="(2.508)",="(1.787)",="(1.131)",="(2.428)",="(1.624)",="(5.339)",="(3.382)",="(3.445)",="(1.339)",="(1.819)",="(1.617)",="(1.975)",="(2.317)"

