
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent",="permanent"

="permanent",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="19.69***",="9.793**",="18.28***",="11.07***",="11.44***",="6.065***",="4.969**",="5.037***",="7.305***",="11.00***",="21.21***",="26.69***",="14.40***",="5.378**",="2.273",="5.598**",="11.31***",="5.993**",="9.601***",="7.487***",="3.351*",="4.258**",="6.473***",="7.965***",="14.24***",="47.32***",="17.25***",="24.56***",="31.24***",="21.17***",="25.13***",="17.44***",="19.99***",="49.85***",="27.30***",="11.74***",="22.91***",="23.87***",="6.833**",="6.856***",="12.02***",="8.371***",="7.398***",="10.12***",="9.575***",="8.208***",="9.480***",="8.603***",="7.979***",="20.54***",="31.21***",="17.70***",="8.337***",="5.029***",="5.814***",="3.666**",="2.756*",="3.586**",="4.665**",="13.20***",="20.08***",="14.71***",="9.172***",="13.16***",="11.44***",="5.321**",="7.981***",="7.110***",="5.566**",="10.15***",="4.490*",="5.826**"
="",="(13.04)",="(7.447)",="(12.11)",="(6.066)",="(6.237)",="(3.001)",="(2.850)",="(2.442)",="(3.540)",="(6.634)",="(16.40)",="(18.16)",="(8.423)",="(3.487)",="(1.423)",="(3.695)",="(8.072)",="(4.052)",="(5.543)",="(3.591)",="(1.694)",="(2.061)",="(3.381)",="(4.009)",="(7.052)",="(31.02)",="(10.21)",="(15.38)",="(18.30)",="(11.63)",="(13.02)",="(9.543)",="(11.29)",="(35.19)",="(16.91)",="(7.424)",="(14.51)",="(16.58)",="(4.056)",="(3.401)",="(6.969)",="(4.499)",="(3.736)",="(5.612)",="(4.523)",="(4.103)",="(4.412)",="(3.925)",="(3.555)",="(10.51)",="(18.33)",="(10.18)",="(4.163)",="(2.337)",="(2.712)",="(1.704)",="(1.401)",="(1.755)",="(2.519)",="(8.200)",="(10.18)",="(7.660)",="(5.230)",="(6.915)",="(6.222)",="(3.008)",="(4.388)",="(3.232)",="(2.978)",="(5.083)",="(2.728)",="(3.383)"

