ten_y | Coefficient std t p_stat lower_95 upper_95q75                  |
              ttrend |  -.0148154   .0014891    -9.95   0.000    -.0177339   -.0118968
                     |
      sexo1#c.ttrend |
                  1  |   .0320644   .0018676    17.17   0.000      .028404    .0357248
                     |
       sexo1#c.urate |
                  0  |  -.0233274   .0031817    -7.33   0.000    -.0295634   -.0170914
                  1  |  -.0674239   .0033124   -20.36   0.000    -.0739161   -.0609317
                     |
            occgroup |
                  2  |   1.300592   .0444509    29.26   0.000      1.21347    1.387714
                  3  |   1.875174   .0618135    30.34   0.000     1.754021    1.996326
                  4  |  -1.174641     .05664   -20.74   0.000    -1.285654   -1.063629
                  5  |  -4.862228   .0788519   -61.66   0.000    -5.016775    -4.70768
                     |
      covid#occgroup |
                1 1  |   .5302847   .2142876     2.47   0.013      .110288    .9502814
                1 2  |   .0630257   .1929091     0.33   0.744    -.3150698    .4411213
                1 3  |   -.642413   .1538325    -4.18   0.000    -.9439197   -.3409063
                1 4  |   2.003218   .2575812     7.78   0.000     1.498368    2.508069
                1 5  |  -.4758622    .460431    -1.03   0.301    -1.378292    .4265676
                2 1  |   1.003143   .1698554     5.91   0.000     .6702322    1.336054
                2 2  |   .8692182   .0730971    11.89   0.000     .7259503    1.012486
                2 3  |  -.5386965   .1587475    -3.39   0.001    -.8498365   -.2275566
                2 4  |   1.598257   .1733118     9.22   0.000     1.258571    1.937942
                2 5  |   .7680827   .3995289     1.92   0.055    -.0149809    1.551146
                3 1  |   1.345113   .1603899     8.39   0.000     1.030754    1.659472
                3 2  |   .7813439   .1720704     4.54   0.000     .4440915    1.118596
                3 3  |   .1631674   .1495164     1.09   0.275    -.1298799    .4562147
                3 4  |   1.443501   .2018632     7.15   0.000     1.047856    1.839147
                3 5  |   1.040674   .4533462     2.30   0.022     .1521302    1.929218
                     |
      sexo1#occgroup |
                1 1  |   .1334032   .1090201     1.22   0.221    -.0802726    .3470791
                1 2  |  -1.485409   .1081801   -13.73   0.000    -1.697439    -1.27338
                1 3  |   -4.67883   .0966328   -48.42   0.000    -4.868227   -4.489433
                1 4  |  -1.062654   .1590636    -6.68   0.000    -1.374413   -.7508947
                1 5  |  -1.913983   .1197849   -15.98   0.000    -2.148758   -1.679209
                     |
covid#sexo1#occgroup |
              1 1 1  |  -.8298503   .2125706    -3.90   0.000    -1.246482   -.4132189
              1 1 2  |  -.3582626   .2230914    -1.61   0.108    -.7955144    .0789892
              1 1 3  |   2.319807   .1815097    12.78   0.000     1.964054     2.67556
              1 1 4  |  -.5154187   .5132031    -1.00   0.315     -1.52128    .4904424
              1 1 5  |   1.292478   .5083075     2.54   0.011     .2962121    2.288744
              2 1 1  |  -1.309507   .2308036    -5.67   0.000    -1.761874   -.8571392
              2 1 2  |  -1.005572   .1186043    -8.48   0.000    -1.238033   -.7731117
              2 1 3  |   2.354515   .2400351     9.81   0.000     1.884054    2.824976
              2 1 4  |  -.4505885   .4870213    -0.93   0.355    -1.405134    .5039573
              2 1 5  |  -1.164832    .823995    -1.41   0.157    -2.779835    .4501711
              3 1 1  |  -1.559286   .2291368    -6.81   0.000    -2.008387   -1.110185
              3 1 2  |  -.5954797      .2204    -2.70   0.007    -1.027456   -.1635029
              3 1 3  |   1.724868   .2795967     6.17   0.000     1.176868    2.272869
              3 1 4  |  -.2089237   .6700274    -0.31   0.755    -1.522155    1.104308
              3 1 5  |  -2.428566    .606435    -4.00   0.000    -3.617159   -1.239973
                     |
               _cons |   15.14781   .0803978   188.41   0.000     14.99023    15.30538
