ten_y | Coefficient std t p_stat lower_95 upper_95q75                  |
              ttrend |  -.0153679   .0013852   -11.09   0.000    -.0180829   -.0126529
                     |
      sexo1#c.ttrend |
                  1  |   .0287129    .002375    12.09   0.000     .0240579    .0333679
                     |
       sexo1#c.urate |
                  0  |  -.0144592   .0049746    -2.91   0.004    -.0242092   -.0047092
                  1  |  -.0682976   .0052936   -12.90   0.000    -.0786729   -.0579223
                     |
            occgroup |
                  2  |   1.537513   .0760311    20.22   0.000     1.388494    1.686532
                  3  |   2.640269   .0714796    36.94   0.000     2.500171    2.780367
                  4  |   .3801028   .0526422     7.22   0.000     .2769255      .48328
                  5  |  -3.265287   .1159125   -28.17   0.000    -3.492473   -3.038102
                     |
      covid#occgroup |
                1 1  |   .4319902   .2035345     2.12   0.034     .0330681    .8309122
                1 2  |   .6728581   .2582393     2.61   0.009     .1667161       1.179
                1 3  |  -.1515164   .1346524    -1.13   0.260    -.4154315    .1123986
                1 4  |   1.163602   .1457191     7.99   0.000     .8779961    1.449207
                1 5  |  -1.274341   .7241378    -1.76   0.078    -2.693632    .1449491
                2 1  |   .7736604   .3264571     2.37   0.018     .1338134    1.413507
                2 2  |   1.978601   .1948291    10.16   0.000     1.596741    2.360461
                2 3  |  -.4527229   .2716051    -1.67   0.096    -.9850615    .0796157
                2 4  |   1.143558   .4170007     2.74   0.006     .3262476    1.960868
                2 5  |   1.448069   .6433602     2.25   0.024     .1871003    2.709037
                3 1  |   1.043848   .7280928     1.43   0.152     -.383194     2.47089
                3 2  |   2.089668   .1970361    10.61   0.000     1.703482    2.475853
                3 3  |  -.3484039    .603983    -0.58   0.564    -1.532194    .8353864
                3 4  |   .4970783   .5626957     0.88   0.377      -.60579    1.599947
                3 5  |   1.807152   .6272008     2.88   0.004     .5778557    3.036449
                     |
      sexo1#occgroup |
                1 1  |   .8888915   .1349321     6.59   0.000     .6244283    1.153355
                1 2  |  -.2617988   .1756445    -1.49   0.136    -.6060573    .0824597
                1 3  |  -2.614554   .1647577   -15.87   0.000    -2.937475   -2.291634
                1 4  |   .1942107   .1914937     1.01   0.310    -.1811116     .569533
                1 5  |  -1.309392   .1815373    -7.21   0.000      -1.6652   -.9535836
                     |
covid#sexo1#occgroup |
              1 1 1  |  -.7383505   .2798674    -2.64   0.008    -1.286883    -.189818
              1 1 2  |  -1.136216   .3888779    -2.92   0.003    -1.898406   -.3740259
              1 1 3  |   1.362087   .3119751     4.37   0.000     .7506247     1.97355
              1 1 4  |   .2131602    .437247     0.49   0.626    -.6438319    1.070152
              1 1 5  |   1.335306   .9033392     1.48   0.139    -.4352144    3.105826
              2 1 1  |  -1.122647   .3071135    -3.66   0.000    -1.724581   -.5207127
              2 1 2  |  -2.214411   .2674943    -8.28   0.000    -2.738692   -1.690129
              2 1 3  |   1.425663   .3326941     4.29   0.000     .7735921    2.077735
              2 1 4  |   -.094633   .6994162    -0.14   0.892     -1.46547    1.276204
              2 1 5  |  -2.146915   1.018244    -2.11   0.035    -4.142645   -.1511844
              3 1 1  |  -1.272242   .9071194    -1.40   0.161    -3.050172     .505687
              3 1 2  |  -2.038218   .3879126    -5.25   0.000    -2.798516    -1.27792
              3 1 3  |   .6498536   .9142404     0.71   0.477    -1.142033     2.44174
              3 1 4  |    1.16047   1.263201     0.92   0.358     -1.31537     3.63631
              3 1 5  |  -.3219761   1.621166    -0.20   0.843    -3.499417    2.855465
                     |
               _cons |   12.69878   .1011547   125.54   0.000     12.50052    12.89704
