ten_y | Coefficient std t p_stat lower_95 upper_95q25            |
        ttrend |  -.0107732   .0008779   -12.27   0.000    -.0124939   -.0090524
               |
sexo1#c.ttrend |
            1  |   .0066685   .0015164     4.40   0.000     .0036963    .0096406
               |
 sexo1#c.urate |
            0  |   .0547586   .0040686    13.46   0.000     .0467843     .062733
            1  |   .0859665   .0040403    21.28   0.000     .0780477    .0938854
               |
         covid |
            1  |    .519091   .1096582     4.73   0.000      .304163    .7340191
            2  |   .7765807   .1735846     4.47   0.000     .4363581    1.116803
            3  |   .4289179   .2172312     1.97   0.048     .0031489    .8546869
               |
       1.sexo1 |  -.7224636   .0918108    -7.87   0.000    -.9024111    -.542516
               |
   covid#sexo1 |
          1 1  |  -.4733973   .1403621    -3.37   0.001    -.7485044   -.1982903
          2 1  |  -.7505586   .1935389    -3.88   0.000    -1.129891    -.371226
          3 1  |  -.6267186   .2915879    -2.15   0.032    -1.198226   -.0552118
               |
         _cons |   .9651062   .0624414    15.46   0.000     .8427223     1.08749
