ten_y | Coefficient std t p_stat lower_95 upper_95q75            |
        ttrend |  -.0141492   .0008785   -16.11   0.000     -.015871   -.0124274
               |
sexo1#c.ttrend |
            1  |   .0347761   .0013045    26.66   0.000     .0322193    .0373329
               |
 sexo1#c.urate |
            0  |  -.0303197   .0021135   -14.35   0.000     -.034462   -.0261774
            1  |  -.0768018   .0040202   -19.10   0.000    -.0846813   -.0689224
               |
         covid |
            1  |   .9707825   .0698262    13.90   0.000     .8339254     1.10764
            2  |   1.132396   .0397695    28.47   0.000     1.054449    1.210343
            3  |   1.152609   .0765067    15.07   0.000     1.002659     1.30256
               |
       1.sexo1 |   -1.40279   .1040077   -13.49   0.000    -1.606642   -1.198938
               |
   covid#sexo1 |
          1 1  |  -.5932186   .1594177    -3.72   0.000    -.9056722   -.2807651
          2 1  |  -.5640065   .1166919    -4.83   0.000    -.7927189   -.3352941
          3 1  |  -.4587205   .0943578    -4.86   0.000    -.6436586   -.2737824
               |
         _cons |   15.24311   .0601835   253.28   0.000     15.12515    15.36107
