ten_y | Coefficient std t p_stat lower_95 upper_95q75                  |
              ttrend |  -.0040307   .0014449    -2.79   0.005    -.0068627   -.0011987
                     |
      sexo1#c.ttrend |
                  1  |   .0259493   .0021517    12.06   0.000     .0217321    .0301665
                     |
       sexo1#c.urate |
                  0  |   .0033824   .0037745     0.90   0.370    -.0040156    .0107803
                  1  |  -.0272132    .003917    -6.95   0.000    -.0348904   -.0195359
                     |
             1.sexo1 |   .5206049    .104251     4.99   0.000     .3162762    .7249337
              35.age |   3.479931   .0408426    85.20   0.000     3.399881    3.559982
                     |
           sexo1#age |
               1 35  |  -.0885344   .0586779    -1.51   0.131    -.2035413    .0264724
                     |
            occgroup |
                  2  |   1.506483   .0521176    28.91   0.000     1.404334    1.608632
                  3  |   2.376078   .0617318    38.49   0.000     2.255086    2.497071
                  4  |    .623908   .0741477     8.41   0.000     .4785807    .7692353
                  5  |  -2.822199   .1100054   -25.66   0.000    -3.037807   -2.606592
                     |
      covid#occgroup |
                1 1  |   .0222392   .2132527     0.10   0.917    -.3957297    .4402081
                1 2  |   .2647697   .2722322     0.97   0.331    -.2687972    .7983367
                1 3  |  -.1828033   .1315464    -1.39   0.165    -.4406302    .0750236
                1 4  |   1.044929   .1723536     6.06   0.000     .7071215    1.382737
                1 5  |  -.8432833   .4708701    -1.79   0.073    -1.766175    .0796078
                2 1  |   .2042678   .4000896     0.51   0.610    -.5798957    .9884313
                2 2  |   1.614452   .2305167     7.00   0.000     1.162646    2.066258
                2 3  |  -.2487452    .256104    -0.97   0.331    -.7507013    .2532108
                2 4  |   1.074892   .3485969     3.08   0.002     .3916522    1.758131
                2 5  |   .2699561   .2993076     0.90   0.367    -.3166777    .8565899
                3 1  |    .299721   .2369739     1.26   0.206    -.1647406    .7641827
                3 2  |   .7299739   .3770167     1.94   0.053    -.0089675    1.468915
                3 3  |   .3256245   .2767237     1.18   0.239    -.2167456    .8679946
                3 4  |  -.1374512   .2691769    -0.51   0.610    -.6650298    .3901274
                3 5  |    .293971   .5446663     0.54   0.589    -.7735586    1.361501
                     |
      sexo1#occgroup |
                1 2  |  -1.192375   .0681647   -17.49   0.000    -1.325975   -1.058774
                1 3  |  -2.881808   .0760039   -37.92   0.000    -3.030774   -2.732843
                1 4  |  -.6754923   .1478925    -4.57   0.000    -.9653572   -.3856275
                1 5  |  -1.687992   .1380991   -12.22   0.000    -1.958662   -1.417322
                     |
covid#sexo1#occgroup |
              1 1 1  |   -.377593    .238637    -1.58   0.114    -.8453144    .0901283
              1 1 2  |  -.6060453   .3177206    -1.91   0.056    -1.228768    .0166776
              1 1 3  |   1.161366    .260584     4.46   0.000     .6506291    1.672103
              1 1 4  |  -.1820319    .392311    -0.46   0.643    -.9509495    .5868858
              1 1 5  |   .3895173   .5006852     0.78   0.437    -.5918106    1.370845
              2 1 1  |  -.5259845     .44133    -1.19   0.233    -1.390978    .3390089
              2 1 2  |  -2.055758   .3254399    -6.32   0.000    -2.693611   -1.417906
              2 1 3  |   .5994244   .3494114     1.72   0.086    -.0854114     1.28426
              2 1 4  |  -1.762181   1.164199    -1.51   0.130    -4.043976    .5196141
              2 1 5  |  -1.107243   .6232583    -1.78   0.076     -2.32881    .1143249
              3 1 1  |  -1.093244   .2908283    -3.76   0.000    -1.663259   -.5232295
              3 1 2  |  -1.296018   .5220829    -2.48   0.013    -2.319284   -.2727508
              3 1 3  |  -.7965597   .4084655    -1.95   0.051     -1.59714    .0040204
              3 1 4  |  -2.088919   .8105015    -2.58   0.010    -3.677477   -.5003602
              3 1 5  |  -1.702382   .7078221    -2.41   0.016    -3.089692   -.3150718
                     |
               _cons |   8.526157   .0488419   174.57   0.000     8.430429    8.621886
