ten_y | Coefficient std t p_stat lower_95 upper_95q50                  |
              ttrend |   .0031196   .0011459     2.72   0.006     .0008738    .0053655
                     |
      sexo1#c.ttrend |
                  1  |    .036629   .0018067    20.27   0.000      .033088      .04017
                     |
       sexo1#c.urate |
                  0  |   .0358423    .003566    10.05   0.000     .0288531    .0428315
                  1  |   .0094176   .0045718     2.06   0.039     .0004571    .0183782
                     |
            occgroup |
                  2  |    .176457   .0561052     3.15   0.002     .0664925    .2864215
                  3  |   .5114829   .0840566     6.08   0.000     .3467344    .6762315
                  4  |  -1.965153   .0324188   -60.62   0.000    -2.028693   -1.901613
                  5  |  -4.950086   .0650759   -76.07   0.000    -5.077633   -4.822539
                     |
      covid#occgroup |
                1 1  |  -1.584694   .1923568    -8.24   0.000    -1.961708    -1.20768
                1 2  |  -.3444845   .3829079    -0.90   0.368    -1.094973    .4060036
                1 3  |   1.141245   .2687176     4.25   0.000     .6145663    1.667923
                1 4  |  -.6674965   .1563293    -4.27   0.000    -.9738973   -.3610956
                1 5  |  -.5158968   .2666462    -1.93   0.053    -1.038515    .0067218
                2 1  |  -1.559405   .2002416    -7.79   0.000    -1.951873   -1.166938
                2 2  |   -1.00614   .7732542    -1.30   0.193    -2.521695    .5094152
                2 3  |   .6177482   .5905634     1.05   0.296    -.5397385    1.775235
                2 4  |  -.4478631   .2511819    -1.78   0.075    -.9401721    .0444459
                2 5  |   .2037366   .1690007     1.21   0.228    -.1274997    .5349729
                3 1  |  -.9280835   .1909492    -4.86   0.000    -1.302338   -.5538288
                3 2  |  -.7313159    .315084    -2.32   0.020    -1.348871   -.1137606
                3 3  |  -1.171446   .5353932    -2.19   0.029    -2.220801   -.1220914
                3 4  |  -.3511883   .2354327    -1.49   0.136    -.8126295    .1102528
                3 5  |   1.105336   .2278761     4.85   0.000     .6587059    1.551967
                     |
      sexo1#occgroup |
                1 1  |  -.2574475   .0698979    -3.68   0.000    -.3944452   -.1204497
                1 2  |  -.8840036   .0804874   -10.98   0.000    -1.041757   -.7262506
                1 3  |  -3.305295   .1062121   -31.12   0.000    -3.513468   -3.097123
                1 4  |  -.3589522   .1370606    -2.62   0.009     -.627587   -.0903174
                1 5  |  -.9762943   .0924025   -10.57   0.000      -1.1574   -.7951882
                     |
covid#sexo1#occgroup |
              1 1 1  |   .8320759   .3207488     2.59   0.009     .2034178    1.460734
              1 1 2  |  -1.243143    .553034    -2.25   0.025    -2.327074   -.1592132
              1 1 3  |  -1.312972   .4688914    -2.80   0.005    -2.231985   -.3939585
              1 1 4  |  -.4739369   1.398136    -0.34   0.735    -3.214242    2.266369
              1 1 5  |  -.8528969   .4685626    -1.82   0.069    -1.771266    .0654718
              2 1 1  |   .0520223   .3642248     0.14   0.886    -.6618475    .7658921
              2 1 2  |  -1.323188   .8811939    -1.50   0.133    -3.050301    .4039261
              2 1 3  |  -2.027477   .6711962    -3.02   0.003    -3.343002   -.7119526
              2 1 4  |  -2.409529   .6928093    -3.48   0.001    -3.767414   -1.051643
              2 1 5  |  -1.847387   .2916993    -6.33   0.000    -2.419109   -1.275665
              3 1 1  |  -1.859248   .2768692    -6.72   0.000    -2.401903   -1.316592
              3 1 2  |   -1.56397    .334559    -4.67   0.000    -2.219696   -.9082445
              3 1 3  |  -.2461869    .655345    -0.38   0.707    -1.530644     1.03827
              3 1 4  |  -2.869485   .7453335    -3.85   0.000    -4.330316   -1.408653
              3 1 5  |    -3.0987   .2394644   -12.94   0.000    -3.568043   -2.629357
                     |
               _cons |   7.142772   .0675598   105.73   0.000     7.010357    7.275187
