ten_y | Coefficient std t p_stat lower_95 upper_95q50              |
          ttrend |  -.0038021    .001334    -2.85   0.004    -.0064168   -.0011874
                 |
  sexo1#c.ttrend |
              1  |   .0504597   .0017896    28.20   0.000     .0469521    .0539673
                 |
   sexo1#c.urate |
              0  |   .0383992   .0034562    11.11   0.000     .0316252    .0451731
              1  |   .0204174   .0045989     4.44   0.000     .0114037    .0294311
                 |
            act1 |
              1  |   4.488204   .1445842    31.04   0.000     4.204824    4.771585
              2  |   4.757669   .0913057    52.11   0.000     4.578712    4.936625
              3  |   5.462568    .116969    46.70   0.000     5.233312    5.691823
              4  |   .5242709   .1060419     4.94   0.000      .316432    .7321098
              5  |   3.490342   .1162313    30.03   0.000     3.262532    3.718152
              6  |   2.675497   .1154312    23.18   0.000     2.449255    2.901738
              7  |   4.206184   .1227529    34.27   0.000     3.965592    4.446776
              8  |   6.966099   .1132246    61.52   0.000     6.744182    7.188016
              9  |    2.68437   .1565973    17.14   0.000     2.377444    2.991296
                 |
      covid#act1 |
            1 0  |  -.3777014   .2278302    -1.66   0.097    -.8242417    .0688388
            1 1  |   -1.56333   .3156476    -4.95   0.000     -2.18199     -.94467
            1 2  |  -.9918187   .4477894    -2.21   0.027    -1.869472   -.1141649
            1 3  |  -.5069358   .5439115    -0.93   0.351    -1.572986    .5591142
            1 4  |   .7646944   .2458353     3.11   0.002     .2828646    1.246524
            1 5  |  -1.087286   .1797628    -6.05   0.000    -1.439616   -.7349567
            1 6  |  -.9391078   .3526974    -2.66   0.008    -1.630384   -.2478316
            1 7  |   .8327817   .4998349     1.67   0.096    -.1468795    1.812443
            1 8  |   1.549751    .265079     5.85   0.000     1.030204    2.069298
            1 9  |   1.157172   .5937201     1.95   0.051    -.0065018    2.320845
            2 0  |   .3885763   .2164074     1.80   0.073    -.0355758    .8127283
            2 1  |  -.1507893   .5137553    -0.29   0.769    -1.157734    .8561556
            2 2  |   -1.08692   .3417506    -3.18   0.001    -1.756741   -.4170993
            2 3  |  -1.073991   .5269285    -2.04   0.042    -2.106755   -.0412275
            2 4  |   .8131443   .3476443     2.34   0.019     .1317719    1.494517
            2 5  |  -.5169422   .2425098    -2.13   0.033     -.992254   -.0416304
            2 6  |  -1.338082   .1999506    -6.69   0.000    -1.729979   -.9461844
            2 7  |   .3505501   .6117236     0.57   0.567    -.8484096     1.54951
            2 8  |   1.507302   .3488862     4.32   0.000     .8234953    2.191108
            2 9  |    2.03903   .4656173     4.38   0.000     1.126434    2.951626
            3 0  |   1.379579   .3899922     3.54   0.000     .6152057    2.143952
            3 1  |   .1822198    .388989     0.47   0.639    -.5801869    .9446266
            3 2  |  -.3372445   .4764438    -0.71   0.479     -1.27106     .596571
            3 3  |   -.832989   .5055416    -1.65   0.099    -1.823835    .1578571
            3 4  |   1.400031   .2774416     5.05   0.000     .8562541    1.943808
            3 5  |   .1392363   .2500257     0.56   0.578    -.3508066    .6292791
            3 6  |  -1.045918   .4557223    -2.30   0.022     -1.93912   -.1527163
            3 7  |   .0900616   .4886999     0.18   0.854    -.8677754    1.047898
            3 8  |   .5801466   .5197445     1.12   0.264     -.438537     1.59883
            3 9  |   1.736054   .5609632     3.09   0.002     .6365835    2.835525
                 |
      sexo1#act1 |
            1 0  |  -2.591395   .1181859   -21.93   0.000    -2.823036   -2.359754
            1 1  |  -1.914974   .2451109    -7.81   0.000    -2.395384   -1.434565
            1 2  |   -1.26021   .1495386    -8.43   0.000    -1.553301   -.9671191
            1 3  |  -1.699305   .1048269   -16.21   0.000    -1.904762   -1.493847
            1 4  |   1.735438   .1893059     9.17   0.000     1.364404    2.106472
            1 5  |  -1.750446   .1149167   -15.23   0.000    -1.975679   -1.525213
            1 6  |   .1921221   .1557681     1.23   0.217    -.1131786    .4974228
            1 7  |  -1.302796   .1064925   -12.23   0.000    -1.511519   -1.094074
            1 8  |  -3.522179   .0737601   -47.75   0.000    -3.666747   -3.377612
            1 9  |  -3.544745   .1575122   -22.50   0.000    -3.853465   -3.236026
                 |
covid#sexo1#act1 |
          1 1 0  |  -1.192625    .576595    -2.07   0.039    -2.322733    -.062516
          1 1 1  |    .367096   .6197183     0.59   0.554    -.8475331    1.581725
          1 1 2  |   .4159722   .7245124     0.57   0.566     -1.00405    1.835995
          1 1 3  |  -1.769682   1.463151    -1.21   0.226    -4.637414     1.09805
          1 1 4  |  -3.019458   .5858757    -5.15   0.000    -4.167757   -1.871159
          1 1 5  |  -.3589475    .307749    -1.17   0.243    -.9621261    .2442312
          1 1 6  |  -.4418658   .8094429    -0.55   0.585    -2.028349    1.144618
          1 1 7  |  -1.082857   .8046953    -1.35   0.178    -2.660035    .4943218
          1 1 8  |  -2.405392    .399418    -6.02   0.000    -3.188239   -1.622545
          1 1 9  |  -1.875184   .6120274    -3.06   0.002    -3.074739    -.675629
          2 1 0  |  -2.466313   .4719332    -5.23   0.000    -3.391288   -1.541338
          2 1 1  |  -2.537731   .6022765    -4.21   0.000    -3.718175   -1.357287
          2 1 2  |  -.5581941    1.26589    -0.44   0.659      -3.0393    1.922912
          2 1 3  |  -3.086928   .8214478    -3.76   0.000     -4.69694   -1.476915
          2 1 4  |  -3.021477   1.290114    -2.34   0.019    -5.550062   -.4928922
          2 1 5  |  -1.537277   .4165829    -3.69   0.000    -2.353767   -.7207873
          2 1 6  |   .2718388   1.361167     0.20   0.842    -2.396007    2.939684
          2 1 7  |  -3.006403   .6990276    -4.30   0.000    -4.376476    -1.63633
          2 1 8  |  -2.983179   .5250053    -5.68   0.000    -4.012173   -1.954184
          2 1 9  |  -2.627279   .4680523    -5.61   0.000    -3.544647    -1.70991
          3 1 0  |  -3.366269   .7063806    -4.77   0.000    -4.750753   -1.981784
          3 1 1  |  -3.061379   .8712084    -3.51   0.000    -4.768921   -1.353837
          3 1 2  |  -2.873055   .6713573    -4.28   0.000    -4.188894   -1.557215
          3 1 3  |   -3.50836   1.046595    -3.35   0.001    -5.559654   -1.457065
          3 1 4  |  -3.071159   .8987442    -3.42   0.001    -4.832671   -1.309648
          3 1 5  |   -1.75864   .3440289    -5.11   0.000    -2.432926   -1.084354
          3 1 6  |   -2.48312   .8426031    -2.95   0.003    -4.134596   -.8316431
          3 1 7  |  -3.216044    .686206    -4.69   0.000    -4.560987   -1.871101
          3 1 8  |   -3.32024   .5312186    -6.25   0.000    -4.361412   -2.279067
          3 1 9  |  -3.014941   .6399439    -4.71   0.000    -4.269212    -1.76067
                 |
           _cons |   2.354175    .101573    23.18   0.000     2.155095    2.553255
