ten_y | Coefficient std t p_stat lower_95 upper_95q50              |
          ttrend |  -.0041047   .0020454    -2.01   0.045    -.0081136   -.0000958
                 |
  sexo1#c.ttrend |
              1  |   .0511868   .0022599    22.65   0.000     .0467575    .0556162
                 |
   sexo1#c.urate |
              0  |   .0375222   .0039123     9.59   0.000     .0298542    .0451902
              1  |   .0199677   .0038315     5.21   0.000     .0124581    .0274773
                 |
            act1 |
              1  |   4.501979   .1465735    30.71   0.000     4.214699    4.789258
              2  |   4.767863   .0962451    49.54   0.000     4.579226      4.9565
              3  |   5.486617   .0994591    55.16   0.000     5.291681    5.681554
              4  |   .5323263   .1056892     5.04   0.000     .3251786    .7394741
              5  |   3.498397    .102016    34.29   0.000     3.298449    3.698345
              6  |   2.687849   .1322954    20.32   0.000     2.428554    2.947145
              7  |   4.224269   .1133864    37.26   0.000     4.002035    4.446503
              8  |   7.001603   .0999051    70.08   0.000     6.805792    7.197414
              9  |   2.662437   .1750237    15.21   0.000     2.319396    3.005478
                 |
      covid#act1 |
            1 0  |  -.3981788   .2333721    -1.71   0.088     -.855581    .0592234
            1 1  |  -1.542822   .4626247    -3.33   0.001    -2.449552   -.6360911
            1 2  |  -1.050849   .3890067    -2.70   0.007     -1.81329   -.2884077
            1 3  |  -.5274602   .6976117    -0.76   0.450    -1.894758    .8398375
            1 4  |   .7898296   .2102044     3.76   0.000     .3778353    1.201824
            1 5  |  -1.063242   .1786215    -5.95   0.000    -1.413335   -.7131497
            1 6  |  -.9193618    .318054    -2.89   0.004    -1.542738   -.2959855
            1 7  |   .7942186    .642408     1.24   0.216    -.4648815    2.053319
            1 8  |   1.548745   .2065044     7.50   0.000     1.144002    1.953487
            1 9  |   1.213387   .6470664     1.88   0.061    -.0548435    2.481618
            2 0  |   .4218284   .2874282     1.47   0.142    -.1415223     .985179
            2 1  |  -.1305324   .4406161    -0.30   0.767    -.9941265    .7330618
            2 2  |  -1.063083   .3523028    -3.02   0.003    -1.753586   -.3725804
            2 3  |  -1.064789   .3443028    -3.09   0.002    -1.739612   -.3899659
            2 4  |   .8604624   .2925347     2.94   0.003     .2871032    1.433822
            2 5  |  -.5222753   .2438448    -2.14   0.032    -1.000204   -.0443469
            2 6  |  -1.316403   .1595817    -8.25   0.000    -1.629178   -1.003628
            2 7  |    .116807   .6736838     0.17   0.862    -1.203593    1.437207
            2 8  |    1.50614   .2359739     6.38   0.000     1.043639    1.968642
            2 9  |   1.959009    1.06596     1.84   0.066    -.1302404    4.048259
            3 0  |   1.413426   .3645442     3.88   0.000     .6989301    2.127921
            3 1  |   .1614469   .5325505     0.30   0.762    -.8823359     1.20523
            3 2  |  -.3544374   .4054926    -0.87   0.382    -1.149191    .4403159
            3 3  |  -.8231917   .3707749    -2.22   0.026    -1.549899   -.0964841
            3 4  |    1.42558   .3310714     4.31   0.000     .7766902     2.07447
            3 5  |   .1650286   .2575594     0.64   0.522    -.3397801    .6698373
            3 6  |  -1.024424   .3344078    -3.06   0.002    -1.679853   -.3689946
            3 7  |    .105823   .6158022     0.17   0.864    -1.101131    1.312777
            3 8  |   .7029037   .5921757     1.19   0.235    -.4577426     1.86355
            3 9  |    1.79207   .6307976     2.84   0.004     .5557253    3.028414
                 |
      sexo1#act1 |
            1 0  |  -2.586337   .1160956   -22.28   0.000    -2.813881   -2.358794
            1 1  |  -2.005635   .1848115   -10.85   0.000     -2.36786    -1.64341
            1 2  |   -1.33465   .1333519   -10.01   0.000    -1.596016   -1.073284
            1 3  |  -1.750815   .1276859   -13.71   0.000    -2.001076   -1.500555
            1 4  |   1.728701   .1454819    11.88   0.000     1.443561    2.013841
            1 5  |  -1.815184   .1226487   -14.80   0.000    -2.055572   -1.574796
            1 6  |   .1913032   .1296567     1.48   0.140      -.06282    .4454263
            1 7  |  -1.391076   .0959182   -14.50   0.000    -1.579073   -1.203079
            1 8  |  -3.585076   .0824179   -43.50   0.000    -3.746613    -3.42354
            1 9  |  -3.483513   .2182874   -15.96   0.000     -3.91135   -3.055677
                 |
covid#sexo1#act1 |
          1 1 0  |  -.9815041   .5973027    -1.64   0.100    -2.152199     .189191
          1 1 1  |   .4052659   .6145281     0.66   0.510    -.7991906    1.609722
          1 1 2  |   .5215092   .6019352     0.87   0.386    -.6582655    1.701284
          1 1 3  |  -2.182887   1.038289    -2.10   0.036    -4.217902   -.1478728
          1 1 4  |  -3.146983   .5256238    -5.99   0.000     -4.17719   -2.116777
          1 1 5  |  -.3177108   .4853137    -0.65   0.513    -1.268911    .6334892
          1 1 6  |  -.4908644   .6190456    -0.79   0.428    -1.704175    .7224462
          1 1 7  |  -1.010099   .7782209    -1.30   0.194    -2.535388    .5151903
          1 1 8  |  -2.431292   .2562906    -9.49   0.000    -2.933613    -1.92897
          1 1 9  |  -1.988438   .6097963    -3.26   0.001     -3.18362   -.7932554
          2 1 0  |  -2.442455   .5685781    -4.30   0.000    -3.556851    -1.32806
          2 1 1  |   -2.70032   .5646585    -4.78   0.000    -3.807034   -1.593607
          2 1 2  |  -.5379722   1.309212    -0.41   0.681    -3.103988    2.028044
          2 1 3  |   -3.30575   .7601199    -4.35   0.000    -4.795562   -1.815938
          2 1 4  |   -3.08956   .8838629    -3.50   0.000    -4.821905   -1.357216
          2 1 5  |  -1.513236   .3432373    -4.41   0.000    -2.185971   -.8405015
