ten_y | Coefficient std t p_stat lower_95 upper_95q50            |
        ttrend |  -.0076221   .0031053    -2.45   0.014    -.0137084   -.0015358
               |
sexo1#c.ttrend |
            1  |   .0294296   .0041939     7.02   0.000     .0212097    .0376495
               |
 sexo1#c.urate |
            0  |   .0827949   .0070398    11.76   0.000     .0689971    .0965928
            1  |   .0939422   .0068838    13.65   0.000       .08045    .1074344
               |
         covid |
            1  |   .1865349   .1779149     1.05   0.294     -.162175    .5352448
            2  |   .4224468   .2168754     1.95   0.051    -.0026249    .8475186
            3  |    .348549   .2799558     1.25   0.213     -.200159     .897257
               |
       1.sexo1 |  -1.099677   .1526555    -7.20   0.000    -1.398879   -.8004748
               |
   covid#sexo1 |
          1 1  |  -1.338486   .2181409    -6.14   0.000    -1.766037   -.9109336
          2 1  |  -1.929426   .3122517    -6.18   0.000    -2.541434   -1.317419
          3 1  |  -1.883627   .3325193    -5.66   0.000    -2.535358   -1.231895
               |
         _cons |   3.874567   .0772491    50.16   0.000      3.72316    4.025973
