ten_y | Coefficient std t p_stat lower_95 upper_95q75                     |
            other_ten_y |   .1547746   .0021758    71.13   0.000       .15051    .1590391
                 ttrend |   .0035586   .0056287     0.63   0.527    -.0074735    .0145907
                ttrend2 |   .0001799    .000095     1.89   0.058    -6.24e-06    .0003661
                        |
     mother_10#c.ttrend |
                     1  |  -.0329013   .0070714    -4.65   0.000     -.046761   -.0190415
                        |
    mother_10#c.ttrend2 |
                     1  |   .0006172   .0001181     5.23   0.000     .0003857    .0008486
                        |
                  covid |
                     1  |  -1.096847   .1988802    -5.52   0.000    -1.486647   -.7070468
                     2  |  -.9197824   .2287208    -4.02   0.000    -1.368069   -.4714958
                     3  |  -1.885567   .1565867   -12.04   0.000    -2.192473   -1.578661
                        |
            1.mother_10 |   1.098004   .1063909    10.32   0.000     .8894809    1.306527
                        |
        covid#mother_10 |
                   1 1  |   .7911472   .2105134     3.76   0.000     .3785465    1.203748
                   2 1  |  -.1149935   .2661417    -0.43   0.666    -.6366241     .406637
                   3 1  |   .1067029   .2213155     0.48   0.630    -.3270696    .5404753
                        |
                 35.age |   3.091501   .0340089    90.90   0.000     3.024845    3.158158
                        |
    part_time#mother_10 |
                   1 0  |  -2.750233   .0838208   -32.81   0.000     -2.91452   -2.585947
                   1 1  |  -1.100536    .042903   -25.65   0.000    -1.184625   -1.016448
                        |
      college#mother_10 |
                   1 0  |  -.5194839   .0614394    -8.46   0.000    -.6399036   -.3990642
                   1 1  |   .0401503   .0396237     1.01   0.311    -.0375111    .1178116
                        |
      less_hs#mother_10 |
                   1 0  |   -1.75322   .3385715    -5.18   0.000    -2.416811   -1.089629
                   1 1  |  -2.877082   .1087205   -26.46   0.000    -3.090171   -2.663992
                        |
     other_se#mother_10 |
                   1 0  |  -.0899335   .0943841    -0.95   0.341    -.2749239    .0950569
                   1 1  |   .2058051   .0500885     4.11   0.000      .107633    .3039772
                        |
other_college#mother_10 |
                   1 0  |  -.4890471   .0561503    -8.71   0.000    -.5991002   -.3789941
                   1 1  |  -.0395713   .0374926    -1.06   0.291    -.1130559    .0339133
                        |
other_less_hs#mother_10 |
                   1 0  |   .0138566   .2089886     0.07   0.947    -.3957554    .4234686
                   1 1  |  -1.701829   .0989048   -17.21   0.000    -1.895679   -1.507978
                        |
                  _cons |   6.929764   .0813679    85.17   0.000     6.770285    7.089243
