ten_y | Coefficient std t p_stat lower_95 upper_95q75                     |
            other_ten_y |   .2011676   .0057114    35.22   0.000     .1899733    .2123618
                 ttrend |   .0008063    .006052     0.13   0.894    -.0110554    .0126681
                ttrend2 |   .0001566   .0000977     1.60   0.109    -.0000348    .0003481
                        |
     father_10#c.ttrend |
                     1  |  -.0286694   .0083663    -3.43   0.001    -.0450671   -.0122718
                        |
    father_10#c.ttrend2 |
                     1  |   .0002878   .0001306     2.20   0.028     .0000318    .0005437
                        |
                  covid |
                     1  |  -.3251368   .2392339    -1.36   0.174    -.7940295    .1437558
                     2  |  -.3621174   .2008601    -1.80   0.071    -.7557983    .0315636
                     3  |  -.7571885   .3094497    -2.45   0.014    -1.363702   -.1506745
                        |
            1.father_10 |   1.128284    .115293     9.79   0.000     .9023123    1.354255
                        |
        covid#father_10 |
                   1 1  |   .3441885   .2316706     1.49   0.137    -.1098802    .7982572
                   2 1  |   .7433896   .2468621     3.01   0.003     .2595459    1.227233
                   3 1  |   .6083159   .3116309     1.95   0.051    -.0024732    1.219105
                        |
                 35.age |   3.030985   .0399664    75.84   0.000     2.952652    3.109318
                        |
    part_time#father_10 |
                   1 0  |  -4.458625   .1623827   -27.46   0.000    -4.776892   -4.140359
                   1 1  |  -4.238293   .1561632   -27.14   0.000    -4.544369   -3.932217
                        |
      college#father_10 |
                   1 0  |   -1.56547   .0656572   -23.84   0.000    -1.694156   -1.436783
                   1 1  |  -1.147875   .0397033   -28.91   0.000    -1.225692   -1.070057
                        |
      less_hs#father_10 |
                   1 0  |  -1.464019   .3572245    -4.10   0.000     -2.16417   -.7638677
                   1 1  |  -2.482291   .1326232   -18.72   0.000    -2.742229   -2.222353
                        |
     other_se#father_10 |
                   1 0  |   .3420404   .1134572     3.01   0.003     .1196672    .5644137
                   1 1  |   .2758543   .0616662     4.47   0.000     .1549901    .3967185
                        |
other_college#father_10 |
                   1 0  |   .2642983   .0661393     4.00   0.000     .1346668    .3939297
                   1 1  |   .2530559    .057731     4.38   0.000     .1399046    .3662072
                        |
other_less_hs#father_10 |
                   1 0  |  -1.844226   .2975318    -6.20   0.000    -2.427381   -1.261071
                   1 1  |  -1.733337   .2036327    -8.51   0.000    -2.132452   -1.334222
                        |
                  _cons |    7.93435   .0865837    91.64   0.000     7.764649    8.104052
