wife_ten_y | Coefficient std t p_stat lower_95 upper_95q75            |
        ttrend |   .0007129   .0012771     0.56   0.577    -.0017902    .0032159
               |
sexo1#c.ttrend |
            1  |   .0238939   .0015225    15.69   0.000     .0209098    .0268781
               |
 sexo1#c.urate |
            0  |  -.0146646   .0036922    -3.97   0.000    -.0219012    -.007428
            1  |  -.0266362   .0029784    -8.94   0.000    -.0324737   -.0207987
               |
       1.sexo1 |  -1.055002   .0981403   -10.75   0.000    -1.247354   -.8626498
        35.age |   3.583333   .0626526    57.19   0.000     3.460536     3.70613
               |
     sexo1#age |
         1 35  |  -.0837139   .0609889    -1.37   0.170    -.2032502    .0358225
               |
         covid |
            1  |   .3339343   .1094076     3.05   0.002     .1194987    .5483699
            2  |   .6624199   .1208545     5.48   0.000     .4255488     .899291
            3  |   .3753511   .2231751     1.68   0.093    -.0620653    .8127675
               |
   covid#sexo1 |
          1 1  |  -.2317016   .1573019    -1.47   0.141    -.5400086    .0766053
          2 1  |  -.7867229   .1495506    -5.26   0.000    -1.079837   -.4936083
          3 1  |  -1.045696   .3390616    -3.08   0.002    -1.710246   -.3811454
               |
         _cons |    9.52659   .0758626   125.58   0.000     9.377902    9.675279
