ten_y | Coefficient std t p_stat lower_95 upper_95q50            |
        ttrend |  -.0004561   .0021992    -0.21   0.836    -.0047665    .0038542
               |
sexo1#c.ttrend |
            1  |   .0445141   .0025139    17.71   0.000     .0395869    .0494412
               |
 sexo1#c.urate |
            0  |   .0530925   .0047579    11.16   0.000     .0437672    .0624178
            1  |    .035317   .0037549     9.41   0.000     .0279575    .0426764
               |
       1.sexo1 |  -1.086683   .0889766   -12.21   0.000    -1.261074   -.9122911
        35.age |   2.650283   .0561375    47.21   0.000     2.540255     2.76031
               |
     sexo1#age |
         1 35  |  -.2211075   .0674573    -3.28   0.001    -.3533217   -.0888933
               |
         covid |
            1  |   -.326902   .1798017    -1.82   0.069    -.6793078    .0255038
            2  |  -.4408774   .1409212    -3.13   0.002    -.7170787   -.1646761
            3  |  -.5240099   .1327769    -3.95   0.000    -.7842487   -.2637712
               |
   covid#sexo1 |
          1 1  |  -.8971405   .2818221    -3.18   0.001    -1.449503   -.3447778
          2 1  |   -1.61304   .1347918   -11.97   0.000    -1.877228   -1.348853
          3 1  |  -1.873733   .2222515    -8.43   0.000     -2.30934   -1.438127
               |
         _cons |   4.243313   .0597656    71.00   0.000     4.126174    4.360452
